week_monday,bias,pos,next_week_ret,target_sign,seg,year,weekly_open,pwh,pwl,close
2018-12-10,bear,-1,-0.057147,-1,explore,2018,3383.25,3472.25,3379.5,3359.75
2018-12-17,bear,-1,0.022887,1,explore,2018,3349.75,3444.75,3341.25,3167.75
2018-12-24,neutral,0,0.013965,1,explore,2018,3162.0,3371.0,3163.5,3240.25
2018-12-31,bull,1,0.019403,1,explore,2018,3249.75,3277.25,3071.0,3285.5
2019-01-07,bull,1,0.022841,1,explore,2019,3291.5,3293.5,3192.75,3349.25
2019-01-14,bull,1,-0.002335,-1,explore,2019,3342.75,3353.75,3277.5,3425.75
2019-01-21,neutral,0,0.011923,1,explore,2019,3423.5,3432.0,3321.5,3417.75
2019-01-28,bull,1,0.000578,1,explore,2019,3414.25,3427.75,3366.75,3458.5
2019-02-04,neutral,0,0.020445,1,explore,2019,3453.5,3470.25,3376.5,3460.5
2019-02-11,bull,1,0.004035,1,explore,2019,3465.0,3492.0,3435.0,3531.25
2019-02-18,bull,1,0.003878,1,explore,2019,3531.25,3532.75,3454.75,3545.5
2019-02-25,bull,1,-0.0059,-1,explore,2019,3553.75,3552.25,3518.5,3559.25
2019-03-04,neutral,0,0.011517,1,explore,2019,3568.25,3568.25,3529.25,3538.25
2019-03-11,bull,1,-0.005309,-1,explore,2019,3539.25,3574.0,3475.75,3579.0
2019-03-18,neutral,0,0.007584,1,explore,2019,3576.25,3585.75,3534.75,3560.0
2019-03-25,neutral,0,0.016239,1,explore,2019,3562.25,3615.25,3554.5,3587.0
2019-04-01,bull,1,0.004526,1,explore,2019,3593.75,3590.0,3538.75,3645.25
2019-04-08,bull,1,-0.000683,-1,explore,2019,3645.5,3647.25,3593.75,3661.75
2019-04-15,neutral,0,0.008608,1,explore,2019,3661.25,3664.0,3626.5,3659.25
2019-04-22,bull,1,0.001626,1,explore,2019,3658.0,3672.75,3638.75,3690.75
2019-04-29,bull,1,-0.016366,-1,explore,2019,3688.5,3692.0,3648.25,3696.75
2019-05-06,bear,-1,-0.006875,-1,explore,2019,3667.0,3710.5,3650.25,3636.25
2019-05-13,neutral,0,-0.008377,-1,explore,2019,3607.75,3687.5,3575.25,3611.25
2019-05-20,neutral,0,-0.022131,-1,explore,2019,3610.75,3643.25,3549.0,3581.0
2019-05-27,bear,-1,0.034983,1,explore,2019,3580.25,3625.75,3555.0,3501.75
2019-06-03,bull,1,0.004346,1,explore,2019,3490.25,3590.5,3499.25,3624.25
2019-06-10,neutral,0,0.015316,1,explore,2019,3642.5,3635.5,3478.0,3640.0
2019-06-17,bull,1,-0.001691,-1,explore,2019,3640.25,3660.75,3616.75,3695.75
2019-06-24,neutral,0,0.012536,1,explore,2019,3693.25,3714.5,3634.25,3689.5
2019-07-01,bull,1,0.006692,1,explore,2019,3715.25,3707.0,3659.75,3735.75
2019-07-08,bull,1,-0.010237,-1,explore,2019,3736.0,3751.25,3700.75,3760.75
2019-07-15,neutral,0,0.012761,1,explore,2019,3760.5,3763.25,3708.75,3722.25
2019-07-22,bull,1,-0.024405,-1,explore,2019,3719.75,3768.75,3714.75,3769.75
2019-07-29,bear,-1,-0.003467,-1,explore,2019,3767.25,3774.75,3717.75,3677.75
2019-08-05,neutral,0,-0.007708,-1,explore,2019,3674.5,3772.75,3658.75,3665.0
2019-08-12,neutral,0,-0.009899,-1,explore,2019,3664.0,3686.0,3521.0,3636.75
2019-08-19,neutral,0,0.019232,1,explore,2019,3638.25,3689.5,3563.0,3600.75
