week_monday,bias,pos,next_week_ret,target_sign,seg,year,weekly_open,pwh,pwl,close
2019-05-06,bear,-1,-0.008981,-1,explore,2019,11134.5,11250.75,11250.75,10996.0
2019-05-13,neutral,0,-0.017986,-1,explore,2019,10986.75,11203.25,10821.25,10897.25
2019-05-20,neutral,0,-0.017007,-1,explore,2019,10898.5,11027.0,10671.75,10701.25
2019-05-27,bear,-1,0.027188,1,explore,2019,10700.5,10945.25,10654.0,10519.25
2019-06-03,bull,1,0.005391,1,explore,2019,10500.5,10757.25,10515.25,10805.25
2019-06-10,bull,1,0.022714,1,explore,2019,10847.0,10838.25,10326.25,10863.5
2019-06-17,bull,1,-0.005198,-1,explore,2019,10869.5,10986.75,10808.75,11110.25
2019-06-24,neutral,0,0.014273,1,explore,2019,11102.75,11179.5,10866.75,11052.5
2019-07-01,bull,1,0.009679,1,explore,2019,11109.0,11152.75,10968.25,11210.25
2019-07-08,bull,1,-0.010359,-1,explore,2019,11213.75,11268.0,11109.0,11318.75
2019-07-15,neutral,0,0.015801,1,explore,2019,11315.0,11326.5,11102.0,11201.5
2019-07-22,bull,1,-0.027904,-1,explore,2019,11185.5,11360.25,11173.75,11378.5
2019-07-29,bear,-1,-0.003797,-1,explore,2019,11374.25,11410.5,11184.25,11061.0
2019-08-05,neutral,0,-0.004401,-1,explore,2019,11064.75,11390.5,11008.75,11019.0
2019-08-12,neutral,0,-0.009776,-1,explore,2019,11012.75,11097.25,10583.75,10970.5
2019-08-19,neutral,0,0.017145,1,explore,2019,10973.75,11148.0,10747.25,10863.25
2019-08-26,neutral,0,0.015114,1,explore,2019,10812.75,11141.0,10806.75,11049.5
2019-09-02,bull,1,0.002496,1,explore,2019,10975.25,11129.0,10670.5,11216.5
2019-09-09,neutral,0,-0.006914,-1,explore,2019,11217.0,11254.25,10940.25,11244.5
2019-09-16,neutral,0,-0.011575,-1,explore,2019,11224.25,11337.0,11103.0,11166.75
2019-09-23,bear,-1,0.00598,1,explore,2019,11170.75,11310.25,11134.5,11037.5
2019-09-30,neutral,0,0.008263,1,explore,2019,11064.0,11240.5,10977.0,11103.5
2019-10-07,bull,1,0.001943,1,explore,2019,11069.5,11177.75,10811.0,11195.25
2019-10-14,neutral,0,0.013818,1,explore,2019,11189.75,11254.5,10919.25,11217.0
2019-10-21,bull,1,0.010948,1,explore,2019,11212.0,11331.0,11143.25,11372.0
2019-10-28,bull,1,0.008437,1,explore,2019,11384.25,11377.75,11146.75,11496.5
2019-11-04,bull,1,0.005305,1,explore,2019,11500.25,11504.0,11357.0,11593.5
2019-11-11,bull,1,-0.003282,-1,explore,2019,11594.75,11618.5,11497.5,11655.0
2019-11-18,neutral,0,0.011793,1,explore,2019,11655.75,11660.0,11542.75,11616.75
2019-11-25,bull,1,-0.001468,-1,explore,2019,11623.75,11716.0,11567.0,11753.75
2019-12-02,neutral,0,0.008542,1,explore,2019,11760.25,11795.0,11623.75,11736.5
2019-12-09,bull,1,0.016031,1,explore,2019,11737.75,11793.0,11504.75,11836.75
2019-12-16,bull,1,0.006028,1,explore,2019,11844.75,11864.75,11633.25,12026.5
2019-12-23,bull,1,0.002211,1,explore,2019,12026.0,12040.5,11838.0,12099.0
2019-12-30,neutral,0,0.013875,1,explore,2019,12096.25,12159.0,12020.75,12125.75
2020-01-06,bull,1,0.015963,1,explore,2020,12100.25,12223.5,12006.75,12294.0
2020-01-13,bull,1,-0.002402,-1,explore,2020,12294.5,12371.0,11994.0,12490.25
2020-01-20,neutral,0,-0.011777,-1,explore,2020,12489.5,12505.0,12294.5,12460.25
2020-01-27,bear,-1,0.033439,1,explore,2020,12414.0,12603.25,12425.5,12313.5
2020-02-03,bull,1,0.017505,1,explore,2020,12299.5,12564.75,12241.75,12725.25
2020-02-10,bull,1,-0.013458,-1,explore,2020,12717.0,12792.75,12290.75,12948.0
2020-02-17,neutral,0,-0.078599,-1,explore,2020,12947.75,12975.0,12646.5,12773.75
2020-02-24,bear,-1,-0.042694,-1,explore,2020,12681.5,13078.75,12727.25,11769.75
2020-03-02,bear,-1,-0.004038,-1,explore,2020,11692.0,12681.5,11440.0,11267.25
2020-03-09,neutral,0,-0.083031,-1,explore,2020,11210.25,12318.75,11116.75,11221.75
2020-03-16,neutral,0,0.05826,1,explore,2020,11142.0,11695.75,10243.5,10290.0
2020-03-23,neutral,0,-0.004201,-1,explore,2020,10173.75,11211.0,10131.0,10889.5
2020-03-30,neutral,0,0.064991,1,explore,2020,10767.25,11221.25,9949.75,10843.75
2020-04-06,bull,1,0.050353,1,explore,2020,10852.0,11316.0,10696.5,11548.5
2020-04-13,bull,1,-0.003298,-1,explore,2020,11597.0,11648.0,10852.0,12130.0
2020-04-20,neutral,0,-0.004218,-1,explore,2020,12121.75,12288.75,11396.0,12090.0
2020-04-27,neutral,0,0.041552,1,explore,2020,12081.75,12167.0,11663.0,12039.0
2020-05-04,bull,1,-0.00971,-1,explore,2020,11975.25,12465.75,11975.25,12539.25
2020-05-11,neutral,0,0.024945,1,explore,2020,12520.0,12559.0,11877.75,12417.5
2020-05-18,bull,1,0.0121,1,explore,2020,12442.5,12666.75,12167.5,12727.25
2020-05-25,bull,1,0.019272,1,explore,2020,12725.5,12831.5,12431.0,12881.25
2020-06-01,bull,1,-0.012586,-1,explore,2020,12862.0,12925.0,12494.25,13129.5
2020-06-08,neutral,0,0.022466,1,explore,2020,13140.0,13167.75,12771.0,12964.25
2020-06-15,neutral,0,-0.004376,-1,explore,2020,12896.75,13476.5,12813.5,13255.5
2020-06-22,neutral,0,0.034836,1,explore,2020,13216.5,13444.5,12699.0,13197.5
2020-06-29,bull,1,0.037489,1,explore,2020,13128.5,13628.0,13156.0,13657.25
2020-07-06,bull,1,-0.015156,-1,explore,2020,13666.0,13754.5,13061.0,14169.25
2020-07-13,neutral,0,-0.011717,-1,explore,2020,14179.5,14179.25,13666.0,13954.5
2020-07-20,neutral,0,0.031289,1,explore,2020,13954.0,14390.25,13690.75,13791.0
2020-07-27,neutral,0,0.01633,1,explore,2020,13820.25,14389.75,13633.25,14222.5
2020-08-03,bull,1,0.000761,1,explore,2020,14260.75,14271.25,13732.5,14454.75
2020-08-10,neutral,0,0.029604,1,explore,2020,14472.0,14615.25,14208.25,14465.75
2020-08-17,bull,1,0.028854,1,explore,2020,14477.25,14597.75,14177.25,14894.0
2020-08-24,bull,1,-0.028909,-1,explore,2020,14912.0,14905.5,14477.0,15323.75
2020-08-31,neutral,0,-0.032391,-1,explore,2020,15335.0,15378.25,14860.25,14880.75
2020-09-07,bear,-1,-0.008421,-1,explore,2020,14863.5,15798.0,14473.25,14398.75
2020-09-14,neutral,0,0.014673,1,explore,2020,14433.25,14917.5,14267.0,14277.5
2020-09-21,neutral,0,0.006678,1,explore,2020,14277.5,14887.25,14092.5,14487.0
2020-09-28,bull,1,0.033702,1,explore,2020,14490.5,14573.0,14007.25,14583.75
2020-10-05,bull,1,-0.015423,-1,explore,2020,14635.75,14955.25,14486.5,15075.25
2020-10-12,neutral,0,0.004312,1,explore,2020,15079.25,15090.5,14548.0,14842.75
2020-10-19,neutral,0,-0.034213,-1,explore,2020,15283.75,15599.5,14842.75,14906.75
2020-10-26,bear,-1,0.072881,1,explore,2020,15000.75,15301.25,14828.5,14396.75
2020-11-02,bull,1,-0.010488,-1,explore,2020,14389.5,15046.25,14294.75,15446.0
2020-11-09,neutral,0,-0.001816,-1,explore,2020,15485.25,15469.0,14292.75,15284.0
2020-11-16,neutral,0,0.023056,1,explore,2020,15304.0,15758.5,14853.5,15256.25
2020-11-23,bull,1,0.016242,1,explore,2020,15258.25,15443.5,15155.0,15608.0
2020-11-30,bull,1,-0.00911,-1,explore,2020,15636.75,15658.25,15158.75,15861.5
2020-12-07,neutral,0,0.021903,1,explore,2020,15874.25,15890.75,15436.25,15717.0
2020-12-14,bull,1,-0.000498,-1,explore,2020,15742.5,16025.25,15565.75,16061.25
2020-12-21,neutral,0,0.011275,1,explore,2020,16104.75,16138.0,15737.5,16053.25
2020-12-28,bull,1,0.013043,1,explore,2020,16025.75,16132.25,15809.75,16234.25
2021-01-04,bull,1,-0.017937,-1,explore,2021,16237.0,16267.0,16000.5,16446.0
2021-01-11,neutral,0,0.034626,1,explore,2021,16447.5,16474.0,15840.0,16151.0
2021-01-18,bull,1,-0.026945,-1,explore,2021,16122.75,16454.25,16092.0,16710.25
2021-01-25,neutral,0,0.042236,1,explore,2021,16714.75,16772.5,16075.75,16260.0
2021-02-01,neutral,0,0.0122,1,explore,2021,16198.75,16948.5,16178.75,16946.75
2021-02-08,bull,1,-0.013335,-1,explore,2021,16969.5,16987.25,16075.5,17153.5
2021-02-15,neutral,0,-0.039292,-1,explore,2021,17177.75,17171.25,16866.0,16924.75
2021-02-22,bear,-1,-0.015206,-1,explore,2021,16933.25,17249.5,16817.5,16259.75
2021-03-01,neutral,0,0.025886,1,explore,2021,16304.5,16977.75,16012.0,16012.5
2021-03-08,neutral,0,-0.013682,-1,explore,2021,16062.75,16676.75,15556.25,16427.0
2021-03-15,neutral,0,0.007545,1,explore,2021,16429.0,16468.25,15632.5,16202.25
2021-03-22,neutral,0,0.021394,1,explore,2021,16178.5,16645.0,16039.5,16324.5
2021-03-29,bull,1,0.030797,1,explore,2021,16324.75,16529.75,15967.5,16673.75
2021-04-05,bull,1,0.011637,1,explore,2021,16701.75,16748.5,16134.5,17187.25
2021-04-12,bull,1,-0.005895,-1,explore,2021,17175.0,17198.75,16662.0,17387.25
2021-04-19,neutral,0,-0.004455,-1,explore,2021,17347.0,17416.75,17089.5,17284.75
2021-04-26,neutral,0,-0.00815,-1,explore,2021,17272.75,17410.25,17058.0,17207.75
2021-05-03,bear,-1,-0.01891,-1,explore,2021,17237.0,17421.75,17176.0,17067.5
2021-05-10,neutral,0,0.001075,1,explore,2021,17076.0,17305.25,16738.5,16744.75
2021-05-17,neutral,0,0.016793,1,explore,2021,16738.25,17109.5,16272.5,16762.75
2021-05-24,bull,1,0.004708,1,explore,2021,16747.75,16927.5,16312.0,17044.25
2021-05-31,bull,1,0.013665,1,explore,2021,17056.5,17121.0,16714.0,17124.5
2021-06-07,bull,1,0.002837,1,explore,2021,17130.0,17141.75,16820.0,17358.5
2021-06-14,bull,1,0.017463,1,explore,2021,17365.75,17363.0,17049.25,17407.75
2021-06-21,bull,1,0.021158,1,explore,2021,17395.0,17578.5,17202.75,17711.75
2021-06-28,bull,1,0.005349,1,explore,2021,17720.5,17794.75,17331.5,18086.5
2021-07-05,bull,1,-0.007699,-1,explore,2021,18075.0,18101.5,17706.0,18183.25
2021-07-12,neutral,0,0.023693,1,explore,2021,18196.5,18256.5,17912.75,18043.25
2021-07-19,bull,1,-0.007701,-1,explore,2021,18048.5,18368.75,18030.0,18470.75
2021-07-26,neutral,0,0.007625,1,explore,2021,18470.75,18490.25,17817.0,18328.5
2021-08-02,neutral,0,0.001638,1,explore,2021,18345.0,18507.0,18147.25,18468.25
2021-08-09,neutral,0,-0.002108,-1,explore,2021,18464.0,18545.0,18221.5,18498.5
2021-08-16,neutral,0,0.018405,1,explore,2021,18492.75,18530.0,18313.75,18459.5
2021-08-23,bull,1,0.011969,1,explore,2021,18465.0,18511.75,18083.75,18799.25
2021-08-30,bull,1,-0.010947,-1,explore,2021,18804.5,18816.5,18460.25,19024.25
2021-09-06,neutral,0,-0.00574,-1,explore,2021,19026.5,19070.75,18792.75,18816.0
2021-09-13,bear,-1,-0.000388,-1,explore,2021,18827.0,19081.5,18808.0,18708.0
2021-09-20,neutral,0,-0.028836,-1,explore,2021,18667.0,18939.5,18658.0,18700.75
2021-09-27,bear,-1,0.001583,1,explore,2021,18700.75,18728.75,18189.5,18161.5
2021-10-04,neutral,0,0.017935,1,explore,2021,18198.75,18781.5,17919.0,18190.25
2021-10-11,bull,1,0.011152,1,explore,2021,18192.0,18383.25,17749.75,18516.5
2021-10-18,bull,1,0.026572,1,explore,2021,18528.25,18527.0,17967.5,18723.0
2021-10-25,bull,1,0.026703,1,explore,2021,18707.5,18865.75,18420.5,19220.5
2021-11-01,bull,1,-0.008057,-1,explore,2021,19257.0,19251.0,18678.5,19733.75
2021-11-08,neutral,0,0.019528,1,explore,2021,19682.0,19830.5,19150.75,19574.75
2021-11-15,bull,1,-0.026256,-1,explore,2021,19593.0,19776.25,19279.75,19957.0
2021-11-22,bear,-1,-0.017149,-1,explore,2021,19981.75,20010.5,19464.75,19433.0
2021-11-29,bear,-1,0.031925,1,explore,2021,19428.25,20149.5,19370.0,19099.75
2021-12-06,neutral,0,-0.027576,-1,explore,2021,19085.75,19838.5,18920.0,19709.5
2021-12-13,neutral,0,0.026662,1,explore,2021,19702.0,19818.0,18941.25,19166.0
2021-12-20,neutral,0,0.001105,1,explore,2021,19188.0,19835.0,19029.0,19677.0
2021-12-27,neutral,0,-0.037553,-1,explore,2021,19682.25,19733.75,18869.75,19698.75
2022-01-03,bear,-1,0.000778,1,explore,2022,19733.0,20036.5,19682.25,18959.0
