session_day,overnight_ret,rth_ret,pred,target_sign
2026-08-05,0.005248,-0.012702,-1,-1
2026-08-06,-0.008785,0.005787,1,1
2026-08-07,0.007118,0.004257,-1,1
2026-08-10,-0.00119,-0.001401,1,-1
2026-08-11,0.002537,-0.006434,-1,-1
2026-08-12,0.01162,-0.006152,-1,-1
2026-08-13,0.003489,0.010197,-1,1
2026-08-14,0.000836,-0.002869,-1,-1
2026-08-17,0.002122,-0.004583,-1,-1
2026-08-18,-0.012949,-0.004404,1,-1
2026-08-19,0.004609,-0.004622,-1,-1
2026-08-20,-0.007045,-0.00115,1,-1
2026-08-21,0.005253,-0.003427,-1,-1
2026-08-24,-0.00458,-0.003574,1,-1
2026-08-25,0.005638,-0.000282,-1,-1
2026-08-26,-0.00385,0.008801,1,1
2026-08-27,0.003151,0.003777,-1,1
2026-08-28,-0.000245,-0.004,1,-1
2026-08-31,-0.002414,0.002828,1,1
2026-09-01,-0.01388,0.000936,1,1
2026-09-02,-0.001398,0.001538,1,1
