session_day,first30_ret,lastHr_ret,pred,target_sign
2026-08-04,0.007953,0.00319,1,1
2026-08-05,0.002427,-0.001051,1,-1
2026-08-06,0.006588,-0.000584,1,-1
2026-08-07,-0.001203,0.003302,-1,1
2026-08-10,3.4e-05,0.000126,1,1
2026-08-11,-0.003569,0.003097,-1,1
2026-08-12,-0.002817,-0.002356,-1,-1
2026-08-13,0.008843,-0.000802,1,-1
2026-08-14,-0.000504,0.000723,-1,1
2026-08-17,0.000538,-0.000481,1,-1
2026-08-18,-0.001457,0.000473,-1,1
2026-08-19,-0.006726,-0.00099,-1,-1
2026-08-20,8.5e-05,0.002608,1,1
2026-08-21,-0.005675,0.001515,-1,1
2026-08-24,-0.007303,-0.002004,-1,-1
2026-08-25,0.000597,-0.000658,1,-1
2026-08-26,0.005373,0.000503,1,1
2026-08-27,-0.00138,0.002054,-1,1
2026-08-28,5.9e-05,0.000398,1,1
2026-08-31,2.5e-05,0.002619,1,1
2026-09-01,-0.000155,0.00355,-1,1
2026-09-02,-0.001246,0.001347,-1,1
