day,session,price,pdh,pdl,pdc,ema200,ema50,tree,regime,composite,open_px,close_px,realized,ret,period
2026-05-05,ASIA,28039.25,28542.75,28023.25,28431.75,25365.0484,,neutral,neutral,neutral,28039.25,28175.75,1,136.5,exploration
2026-05-05,LONDON,28175.75,28542.75,28023.25,28431.75,25365.0484,,neutral,neutral,neutral,28175.75,28376.25,1,200.5,exploration
2026-05-05,NY,28268.75,28542.75,28023.25,28431.75,25365.0484,,neutral,neutral,neutral,28376.25,28431.75,1,55.5,exploration
2026-05-06,ASIA,28503.75,29095.75,28541.0,29012.5,25401.3414,,neutral,neutral,neutral,28503.75,28631.25,1,127.5,exploration
2026-05-06,LONDON,28631.25,29095.75,28541.0,29012.5,25401.3414,,neutral,neutral,neutral,28631.25,28764.5,1,133.25,exploration
2026-05-06,NY,28753.0,29095.75,28541.0,29012.5,25401.3414,,neutral,neutral,neutral,28764.5,29007.0,1,242.5,exploration
2026-05-07,ASIA,29008.75,29240.75,28849.25,28978.0,25436.9301,28490.9878,long,long,long,29008.75,29034.0,1,25.25,exploration
2026-05-07,LONDON,29034.0,29240.75,28849.25,28978.0,25436.9301,28626.5226,long,long,long,29034.0,29077.25,1,43.25,exploration
2026-05-07,NY,29051.0,29240.75,28849.25,28978.0,25436.9301,28727.0659,neutral,long,long,29077.25,28979.5,-1,-97.75,exploration
2026-05-08,ASIA,28938.75,29679.0,28837.75,29628.25,25478.6347,28807.7447,neutral,long,long,28938.75,29132.0,1,193.25,exploration
2026-05-08,LONDON,29132.0,29679.0,28837.75,29628.25,25478.6347,28870.9716,neutral,long,long,29132.0,29406.5,1,274.5,exploration
2026-05-08,NY,29208.25,29679.0,28837.75,29628.25,25478.6347,28942.1741,neutral,long,long,29406.5,29635.25,1,228.75,exploration
2026-05-11,ASIA,29631.25,29776.25,29518.0,29719.75,25520.8349,29105.3138,neutral,long,long,29631.25,29617.75,-1,-13.5,exploration
2026-05-11,LONDON,29617.75,29776.25,29518.0,29719.75,25520.8349,29245.3677,neutral,long,long,29617.75,29606.5,-1,-11.25,exploration
2026-05-11,NY,29593.75,29776.25,29518.0,29719.75,25520.8349,29334.6323,neutral,long,long,29606.5,29723.0,1,116.5,exploration
2026-05-12,ASIA,29694.5,29752.25,29037.0,29465.75,25560.0878,29434.8709,neutral,long,long,29694.5,29515.5,-1,-179.0,exploration
2026-05-12,LONDON,29515.5,29752.25,29037.0,29465.75,25560.0878,29490.3931,neutral,long,long,29515.5,29425.25,-1,-90.25,exploration
2026-05-12,NY,29518.5,29752.25,29037.0,29465.75,25560.0878,29494.6326,neutral,long,long,29425.25,29468.75,1,43.5,exploration
2026-05-13,ASIA,29429.25,29861.0,29352.0,29775.0,25602.0272,29438.3026,neutral,neutral,neutral,29429.25,29605.5,1,176.25,exploration
2026-05-13,LONDON,29605.5,29861.0,29352.0,29775.0,25602.0272,29457.0788,neutral,long,long,29605.5,29465.0,-1,-140.5,exploration
2026-05-13,NY,29532.0,29861.0,29352.0,29775.0,25602.0272,29504.6348,neutral,long,long,29465.0,29772.75,1,307.75,exploration
2026-05-14,ASIA,29832.75,30079.5,29744.0,29983.5,25645.6239,29558.7114,neutral,long,long,29832.75,29903.75,1,71.0,exploration
2026-05-14,LONDON,29903.75,30079.5,29744.0,29983.5,25645.6239,29650.7343,neutral,long,long,29903.75,29837.5,-1,-66.25,exploration
2026-05-14,NY,29790.0,30079.5,29744.0,29983.5,25645.6239,29698.4143,neutral,long,long,29837.5,29982.5,1,145.0,exploration
2026-05-15,ASIA,29984.75,30029.25,29385.25,29527.5,25684.2496,29777.5798,neutral,long,long,29984.75,29699.25,-1,-285.5,exploration
2026-05-15,LONDON,29699.25,30029.25,29385.25,29527.5,25684.2496,29796.1774,long,neutral,long,29699.25,29438.75,-1,-260.5,exploration
2026-05-15,NY,29486.5,30029.25,29385.25,29527.5,25684.2496,29745.0317,neutral,neutral,neutral,29438.75,29526.75,1,88.0,exploration
