id,session,condition,pnl_corrected,session_day_ct,created_ms,created_ct,source
521,LONDON,S1,138.0,2026-08-18,1787127723941,2026-08-19 03:22:03.941000,system
522,LONDON,S3,-60.5,2026-08-18,1787141851173,2026-08-19 07:17:31.173000,system
523,NY,S1,118.0,2026-08-18,1787148412409,2026-08-19 09:06:52.409000,system
524,NY,S1,273.5,2026-08-18,1787156295776,2026-08-19 11:18:15.776000,system
525,ASIA,S1,-43.0,2026-08-19,1787181724764,2026-08-19 18:22:04.764000,system
526,ASIA,S2,-69.4285719999971,2026-08-19,1787189302092,2026-08-19 20:28:22.092000,system
527,ASIA,S2,-88.0,2026-08-19,1787197048862,2026-08-19 22:37:28.862000,system
528,LONDON,S1,-97.5,2026-08-19,1787214391412,2026-08-20 03:26:31.412000,system
529,LONDON,S2,168.0,2026-08-19,1787221593307,2026-08-20 05:26:33.307000,system
530,,off-plan,13.0,2026-08-19,1787231522210,2026-08-20 08:12:02.210000,system
531,NY,S3,-147.5,2026-08-19,1787233297689,2026-08-20 08:41:37.689000,system
532,NY,S1,311.0,2026-08-19,1787236917055,2026-08-20 09:41:57.055000,system
533,ASIA,S2,-54.5,2026-08-20,1787266758375,2026-08-20 17:59:18.375000,system
534,ASIA,S2,-66.0,2026-08-20,1787271748349,2026-08-20 19:22:28.349000,system
535,ASIA,S1,-31.0,2026-08-20,1787278123499,2026-08-20 21:08:43.499000,system
536,ASIA,S1,124.0,2026-08-20,1787279779762,2026-08-20 21:36:19.762000,system
537,ASIA,S1,-79.5,2026-08-20,1787289910852,2026-08-21 00:25:10.852000,system
538,ASIA,S1,30.5,2026-08-20,1787294426615,2026-08-21 01:40:26.615000,system
539,,off-plan,-84.5,2026-08-20,1787302449656,2026-08-21 03:54:09.656000,system
540,LONDON,S1,-98.0,2026-08-20,1787306680461,2026-08-21 05:04:40.461000,system
541,LONDON,S1,-83.0,2026-08-20,1787311607785,2026-08-21 06:26:47.785000,system
542,NY,S2,0.0,2026-08-20,1787320143292,2026-08-21 08:49:03.292000,system
543,NY,S2,-88.5,2026-08-20,1787325163217,2026-08-21 10:12:43.217000,system
544,NY,S1,-61.5,2026-08-20,1787327265787,2026-08-21 10:47:45.787000,system
545,,,-29.5,2026-08-23,1787542090280,2026-08-23 22:28:10.280000,system
546,,,-88.5,2026-08-23,1787573202596,2026-08-24 07:06:42.596000,system
547,NY,S2,-139.5,2026-08-23,1787580585134,2026-08-24 09:09:45.134000,system
548,NY,S1,-54.5,2026-08-23,1787583313785,2026-08-24 09:55:13.785000,system
549,NY,S2,169.5,2026-08-23,1787588810349,2026-08-24 11:26:50.349000,system
550,ASIA,S2,-84.5,2026-08-24,1787622214378,2026-08-24 20:43:34.378000,system
551,ASIA,S2,0.0,2026-08-24,1787625786798,2026-08-24 21:43:06.798000,system
552,ASIA,S2,-7.5,2026-08-24,1787627825020,2026-08-24 22:17:05.020000,system
553,ASIA,S2,-27.0,2026-08-24,1787630586859,2026-08-24 23:03:06.859000,system
554,LONDON,S2,-62.0,2026-08-24,1787641758864,2026-08-25 02:09:18.864000,system
555,LONDON,S2,168.0,2026-08-24,1787649559289,2026-08-25 04:19:19.289000,system
556,LONDON,S1,-40.0,2026-08-24,1787655848500,2026-08-25 06:04:08.500000,system
557,LONDON,S1,46.5,2026-08-24,1787656476930,2026-08-25 06:14:36.930000,system
558,LONDON,S1,-22.5,2026-08-24,1787662601774,2026-08-25 07:56:41.774000,system
559,NY,S4,-78.5,2026-08-24,1787667281458,2026-08-25 09:14:41.458000,system
560,NY,S3,81.0,2026-08-24,1787683989352,2026-08-25 13:53:09.352000,system
561,ASIA,S1,-52.0,2026-08-25,1787703104205,2026-08-25 19:11:44.205000,system
562,LONDON,S2,-98.5,2026-08-25,1787728926645,2026-08-26 02:22:06.645000,system
563,LONDON,S1,-49.5,2026-08-25,1787742765384,2026-08-26 06:12:45.384000,system
564,LONDON,S3,-69.0,2026-08-26,1787822385609,2026-08-27 04:19:45.609000,system
565,LONDON,S1,-62.5,2026-08-26,1787827992777,2026-08-27 05:53:12.777000,system
566,,,97.0,2026-08-26,1787848373019,2026-08-27 11:32:53.019000,reconcile
567,ASIA,S1,-42.0,2026-08-27,1787898124014,2026-08-28 01:22:04.014000,reconcile
568,LONDON,S1,-32.0,2026-08-27,1787919586429,2026-08-28 07:19:46.429000,reconcile
569,NY,S1,63.0,2026-08-27,1787924668684,2026-08-28 08:44:28.684000,reconcile
570,NY,S2,17.0,2026-08-27,1787937021714,2026-08-28 12:10:21.714000,reconcile
571,,,-44.5,2026-08-30,1788129513175,2026-08-30 17:38:33.175000,reconcile
575,NY,S2,32.5,2026-08-30,1788188358333,2026-08-31 09:59:18.333000,reconcile
578,NY,S1,92.0,2026-08-30,1788197208950,2026-08-31 12:26:48.950000,reconcile
580,,,39.5,2026-08-30,1788201428615,2026-08-31 13:37:08.615000,reconcile
581,LONDON,S1,190.5,2026-08-31,1788249164041,2026-09-01 02:52:44.041000,system
582,LONDON,S2,129.5,2026-08-31,1788258208858,2026-09-01 05:23:28.858000,armed_entry
583,LONDON,S2,-82.5,2026-08-31,1788262504776,2026-09-01 06:35:04.776000,system
584,LONDON,S2,106.0,2026-08-31,1788269807953,2026-09-01 08:36:47.953000,reconcile
585,NY,S1,-77.5,2026-08-31,1788273068046,2026-09-01 09:31:08.046000,armed_entry
586,NY,S3,-54.0,2026-08-31,1788287586496,2026-09-01 13:33:06.496000,reconcile
587,ASIA,S3,-62.5,2026-09-01,1788326264539,2026-09-02 00:17:44.539000,system
588,LONDON,S2,-65.0,2026-09-01,1788352865663,2026-09-02 07:41:05.663000,system
589,NY,S3,-155.0,2026-09-01,1788360064833,2026-09-02 09:41:04.833000,system
590,NY,S4,-99.0,2026-09-01,1788363437167,2026-09-02 10:37:17.167000,system
