id,trade_date,session,attempt,reject_reason,created_at
69,2026-09-01,NY,2,"arm on S2 needs EXACTLY 2 legs (split contract), got 1","2026-09-01 16:59:57.290493794+00:00"
70,2026-09-01,NY,3,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7);","2026-09-01 17:06:32.135166487+00:00"
71,2026-09-01,NY,1,"stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body)","2026-09-01 17:33:07.176072345+00:00"
72,2026-09-01,NY,2,"stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body)","2026-09-01 17:43:07.12590484+00:00"
73,2026-09-01,NY,3,"S2 breakdown_continue: a close came back across 29125.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-01 17:52:48.127935959+00:00"
74,2026-09-01,NY,1,"S1 breakdown_continue: a close came back across 29100.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-01 17:59:12.314812245+00:00"
75,2026-09-01,ASIA,1,"S1 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-01 22:10:09.487645341+00:00"
76,2026-09-01,ASIA,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level ","2026-09-01 22:15:51.851714563+00:00"
77,2026-09-01,ASIA,3,"S2 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-01 22:23:14.529859293+00:00"
78,2026-09-01,ASIA,1,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7);","2026-09-01 22:47:32.190745274+00:00"
79,2026-09-01,ASIA,2,"scenario[0].confirm2.rule ""2x5m"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)","2026-09-01 22:53:33.015469323+00:00"
80,2026-09-01,ASIA,3,"arm legs on breakdown_continue — arm_legs_sweep_reclaim_only (the split entry is the sweep_reclaim contract; other conditions arm single)","2026-09-01 23:00:41.404223272+00:00"
