level_kind,n,seated_n,avg_score,min_score,max_score,grades,cut_reasons
OB,67,6,0.1394,0.0,1.68,"A,",",max_levels: 12 seated, cap 12"
DEMAND,35,16,0.7747,0.0,1.716,"A,",",max_levels: 12 seated, cap 12"
SUPPLY,18,2,0.1907,0.0,1.716,",A","max_levels: 12 seated, cap 12,"
VWAP,10,10,1.44,1.44,1.44,A,""
ONH,9,9,1.36,1.36,1.36,A,""
ONL,9,9,1.36,1.36,1.36,A,""
PDC,9,9,1.28,0.96,1.92,"A,B",""
PDH,9,9,1.0667,0.96,1.92,"A,B",""
RTH-H,9,7,0.6756,0.0,1.28,"A,B,",",max_levels: 12 seated, cap 12"
SWG-L,7,5,0.9714,0.0,1.36,",A","max_levels: 12 seated, cap 12,"
SWG-H,6,6,1.36,1.36,1.36,A,""
RTH-L,5,5,1.6,1.6,1.6,A,""
"VWAP±2σ",5,4,1.088,0.0,1.36,"A,",",max_levels: 12 seated, cap 12"
EQH,4,0,0.0,0.0,0.0,"","max_levels: 12 seated, cap 12"
PDL,3,3,1.92,1.92,1.92,A,""
EQL,2,1,0.672,0.0,1.344,"A,",",max_levels: 12 seated, cap 12"
FVG,2,0,0.0,0.0,0.0,"","max_levels: 12 seated, cap 12"
OR-H,2,2,1.12,1.12,1.12,A,""
OR-L,2,2,1.12,1.12,1.12,A,""
eVWAP,2,2,1.36,1.36,1.36,A,""
pdVWAP,1,0,0.0,0.0,0.0,"","max_levels: 12 seated, cap 12"
