level_kind,rows_all,hold,brk,n_den,p_hold,ambiguous,floor_rule
DEMAND,90,44,41,85,0.5176,5,REPORTED
VWAP,114,43,27,70,0.6143,44,REPORTED
RTH-L,68,20,43,63,0.3175,5,REPORTED
OR-H,19,8,7,15,0.5333,4,SUPPRESSED_n_lt_30
SWG-H,29,9,6,15,0.6,14,SUPPRESSED_n_lt_30
SUPPLY,22,7,7,14,0.5,8,SUPPRESSED_n_lt_30
SWG-L,16,4,4,8,0.5,8,SUPPRESSED_n_lt_30
OR-L,10,4,3,7,0.5714,3,SUPPRESSED_n_lt_30
PDC,8,2,5,7,0.2857,1,SUPPRESSED_n_lt_30
PDH,7,2,4,6,0.3333,1,SUPPRESSED_n_lt_30
OB,9,3,2,5,0.6,4,SUPPRESSED_n_lt_30
RTH-H,7,3,2,5,0.6,2,SUPPRESSED_n_lt_30
eVWAP,10,1,4,5,0.2,5,SUPPRESSED_n_lt_30
"VWAP±2σ",4,2,2,4,0.5,0,SUPPRESSED_n_lt_30
ONH,3,3,0,3,1.0,0,SUPPRESSED_n_lt_30
ONL,3,2,1,3,0.6667,0,SUPPRESSED_n_lt_30
PDL,3,3,0,3,1.0,0,SUPPRESSED_n_lt_30
EQL,2,2,0,2,1.0,0,SUPPRESSED_n_lt_30
