ordinal,rows_all,hold,brk,n_den,p_hold,floor_rule
1,304,118,124,242,0.4876,REPORTED
2,28,2,6,8,0.25,SUPPRESSED_n_lt_30
3,25,12,2,14,0.8571,SUPPRESSED_n_lt_30
4,18,9,4,13,0.6923,SUPPRESSED_n_lt_30
5,14,4,7,11,0.3636,SUPPRESSED_n_lt_30
6,11,5,6,11,0.4545,SUPPRESSED_n_lt_30
7,8,2,4,6,0.3333,SUPPRESSED_n_lt_30
8,6,5,1,6,0.8333,SUPPRESSED_n_lt_30
9,2,1,0,1,1.0,SUPPRESSED_n_lt_30
10,2,1,1,2,0.5,SUPPRESSED_n_lt_30
11,2,1,1,2,0.5,SUPPRESSED_n_lt_30
12,2,2,0,2,1.0,SUPPRESSED_n_lt_30
13,1,0,1,1,0.0,SUPPRESSED_n_lt_30
14,1,0,1,1,0.0,SUPPRESSED_n_lt_30
