logfile,shadow_seating_lines,zero_confluent_lines,confluent_level_lines,transition_opened,transition_standdown_refusals,bias_coherent_warnings
nofx_2026-08-16.log,,0,,,,
nofx_2026-08-17.log,0,0,0,0,0,0
nofx_2026-08-18.log,0,0,0,0,0,0
nofx_2026-08-19.log,0,0,0,0,0,0
nofx_2026-08-20.log,0,0,0,0,0,0
nofx_2026-08-21.log,0,0,0,0,0,0
nofx_2026-08-22.log,0,0,0,0,0,0
nofx_2026-08-23.log,0,0,0,0,0,0
nofx_2026-08-24.log,0,0,0,3,0,0
nofx_2026-08-25.log,0,0,0,0,0,0
nofx_2026-08-26.log,0,0,0,2,0,0
nofx_2026-08-27.log,0,0,0,0,0,0
nofx_2026-08-28.log,0,0,0,0,0,0
nofx_2026-08-29.log,0,0,0,0,0,0
nofx_2026-08-30.log,2,0,4,0,0,0
nofx_2026-08-31.log,8,0,18,0,0,0
nofx_2026-09-01.log,9,7,7,0,0,0
nofx_2026-09-02.log,18,17,4,3,0,0
nofx_2026-09-03.log,7,7,0,1,0,0
nofx_2026-09-04.log,3,3,0,0,0,0
