trade_date,session,version,ai_bias,bias_label,created_at
2026-09-02,ASIA,14,neutral,"bias: AI neutral · tree neutral · regime neutral","2026-09-03 05:08:45.841316629+00:00"
2026-09-02,ASIA,15,short,"bias: AI short · tree short · regime neutral","2026-09-03 05:34:14.308317854+00:00"
2026-09-03,LONDON,1,short,"bias: AI short · tree short · regime neutral","2026-09-03 06:34:53.723760378+00:00"
2026-09-03,NY,1,short,"bias: AI short · tree neutral · regime up","2026-09-03 13:05:19.635757107+00:00"
2026-09-03,LONDON,2,neutral,"bias: AI neutral · tree neutral · regime up","2026-09-03 13:15:44.050765563+00:00"
2026-09-03,NY,2,short,"bias: AI short · tree neutral · regime up","2026-09-03 13:45:05.993352176+00:00"
2026-09-03,NY,3,long,"bias: AI long · tree long · regime up","2026-09-03 14:15:31.491335556+00:00"
2026-09-03,NY,4,long,"bias: AI long · tree long · regime up","2026-09-03 14:44:33.127680844+00:00"
2026-09-03,NY,5,long,"bias: AI long · tree long · regime up","2026-09-03 15:14:45.993329351+00:00"
2026-09-03,NY,6,long,"bias: AI long · tree long · regime up","2026-09-03 15:49:57.59345407+00:00"
2026-09-03,NY,7,long,"bias: AI long · tree long · regime up","2026-09-03 16:27:53.707887732+00:00"
2026-09-03,ASIA,1,long,"bias: AI long · tree long · regime up","2026-09-03 21:37:36.171279346+00:00"
2026-09-03,ASIA,2,neutral,"bias: AI neutral · tree long · regime up","2026-09-03 23:47:53.178711606+00:00"
2026-09-03,ASIA,3,long,"bias: AI long · tree long · regime up","2026-09-04 00:28:36.380700112+00:00"
2026-09-03,ASIA,4,short,"bias: AI short · tree neutral · regime up","2026-09-04 00:53:35.711550511+00:00"
2026-09-03,ASIA,5,short,"bias: AI short · tree neutral · regime up","2026-09-04 01:32:32.918462967+00:00"
2026-09-03,ASIA,6,long,"bias: AI long · tree long · regime up","2026-09-04 05:40:13.82205399+00:00"
2026-09-03,ASIA,7,long,"bias: AI long · tree long · regime up","2026-09-04 06:20:35.660474748+00:00"
2026-09-04,LONDON,1,long,"bias: AI long · tree long · regime up","2026-09-04 06:41:15.950737367+00:00"
2026-09-04,LONDON,2,short,"bias: AI short · tree short · regime up","2026-09-04 07:04:14.613481809+00:00"
2026-09-04,LONDON,3,short,"bias: AI short · tree short · regime up","2026-09-04 12:56:17.729046739+00:00"
2026-09-04,NY,1,neutral,"bias: AI neutral · tree short · regime up","2026-09-04 13:11:45.620506374+00:00"
2026-09-04,NY,2,long,"bias: AI long · tree long · regime up","2026-09-04 13:44:46.688576529+00:00"
