population,metric,n,p50,p80,p95,mean,max
cohort_all,mae,61,30.25,49.0,75.0,31.541,100.75
cohort_all,mfe,61,25.75,66.25,91.0,36.459,156.75
cohort_winners,mae,18,11.25,22.5,61.5,15.056,61.5
cohort_winners,mfe,18,69.25,91.0,156.75,72.556,156.75
cohort_losers,mae,43,36.75,50.0,75.0,38.442,100.75
cohort_losers,mfe,43,17.5,36.0,58.5,21.349,89.75
atr_convertible,mae,30,27.5,38.75,80.5,28.708,100.75
atr_convertible,mfe,30,25.0,47.25,71.75,27.525,73.5
atr_conv_winners,mae,9,6.0,17.25,24.75,8.806,24.75
atr_conv_winners,mfe,9,58.0,71.75,73.5,57.111,73.5
atr_conv_losers,mae,21,33.0,49.75,80.5,37.238,100.75
atr_conv_losers,mfe,21,10.25,25.75,41.5,14.845,43.5
atr_convertible,floor_pts,30,37.136,54.696,69.441,40.788,70.788
atr_convertible,mae_over_floor,30,0.721,1.08,1.55,0.728,1.605
atr_conv_winners,floor_pts,9,37.471,59.861,70.788,43.126,70.788
atr_conv_winners,mae_over_floor,9,0.104,0.51,0.661,0.217,0.661
atr_conv_losers,floor_pts,21,35.845,54.696,62.788,39.786,69.441
atr_conv_losers,mae_over_floor,21,1.014,1.362,1.55,0.947,1.605
