trade_date,session,n_plans,reasoning_names_branch
2026-08-26,ASIA,10,8
2026-08-26,LONDON,15,0
2026-08-26,NY,8,0
2026-08-27,ASIA,13,12
2026-08-27,LONDON,7,7
2026-08-27,NY,5,3
2026-08-28,LONDON,6,6
2026-08-28,NY,7,7
2026-08-30,ASIA,3,2
2026-08-31,ASIA,2,0
2026-08-31,LONDON,3,1
2026-08-31,NY,7,5
2026-08-31,WEEKLY,1,0
2026-09-01,ASIA,10,6
2026-09-01,LONDON,6,5
2026-09-01,NY,5,5
2026-09-02,ASIA,15,15
2026-09-02,LONDON,6,5
2026-09-02,NY,12,12
2026-09-03,ASIA,7,7
2026-09-03,LONDON,2,2
2026-09-03,NY,7,7
2026-09-04,LONDON,3,3
2026-09-04,NY,3,2
