condition,session,level_kind,path,era,n,wins,losses,flats,sum_pnl_corrected,mean,sd,mean_lo,mean_hi,t_stat,win_rate,wilson_lo,wilson_hi,status,excluded_unresolved,row_ids
,,,,,8,3,5,0,219.0714,27.383929,132.176851,-64.209956,118.977813,0.585983,0.3750,0.136842,0.694262,NOT ENOUGH DATA,0,"521 522 523 524 525 526 527 563"
,,DEMAND,,,1,0,1,0,-82.5000,-82.500000,0.000000,-82.500000,-82.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"583"
,,EQH,,,1,1,0,0,168.0000,168.000000,0.000000,168.000000,168.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"529"
,,ONH,,,16,3,12,1,-588.0000,-36.750000,67.495926,-69.823004,-3.676996,-2.177909,0.1875,0.065915,0.430094,NOT ENOUGH DATA,0,"535 536 537 538 540 541 550 551 552 553 554 556 557 558 589 590"
,,ONL,,,4,0,4,0,-258.0000,-64.500000,22.026499,-86.085969,-42.914031,-5.856582,0.0000,0.000000,0.489900,NOT ENOUGH DATA,0,"528 548 561 586"
,,OR-H,,,2,1,1,0,171.0000,85.500000,318.905158,-356.480000,527.480000,0.379157,0.5000,0.094529,0.905471,NOT ENOUGH DATA,0,"532 591"
,,OR-L,,,4,1,3,0,-179.0000,-44.750000,91.900762,-134.812746,45.312746,-0.973877,0.2500,0.045586,0.699364,NOT ENOUGH DATA,0,"533 534 547 560"
,,PDC,,,4,0,3,1,-252.0000,-63.000000,44.285061,-106.399360,-19.600640,-2.845203,0.0000,0.000000,0.489900,NOT ENOUGH DATA,0,"542 543 562 588"
,,PDH,,,3,2,1,0,199.0000,66.333333,100.041658,-46.874460,179.541127,1.148449,0.6667,0.207655,0.938510,NOT ENOUGH DATA,0,"555 568 569"
,,PDL,,,1,1,0,0,32.5000,32.500000,0.000000,32.500000,32.500000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,1,"575"
,,PWL,,,1,1,0,0,169.5000,169.500000,0.000000,169.500000,169.500000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"549"
,,RTH-H,,,2,0,2,0,-140.0000,-70.000000,12.020815,-86.660000,-53.340000,-8.235294,0.0000,0.000000,0.657628,NOT ENOUGH DATA,0,"544 559"
,,RTH-L,,,1,0,1,0,-147.5000,-147.500000,0.000000,-147.500000,-147.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"531"
,,SWG-H,,,1,1,0,0,92.0000,92.000000,0.000000,92.000000,92.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,1,"578"
,,SWG-L,,,4,3,1,0,348.5000,87.125000,115.382967,-25.950308,200.200308,1.510188,0.7500,0.300636,0.954414,NOT ENOUGH DATA,0,"581 582 584 585"
,,VWAP,,,5,1,4,0,-219.0000,-43.800000,35.476401,-74.896436,-12.703564,-2.760702,0.2000,0.036223,0.624472,NOT ENOUGH DATA,1,"564 565 567 570 587"
