condition,session,level_kind,path,era,n,wins,losses,flats,sum_pnl_corrected,mean,sd,mean_lo,mean_hi,t_stat,win_rate,wilson_lo,wilson_hi,status,excluded_unresolved,row_ids
acceptance,ASIA,,decision,pre-0B,2,0,2,0,-157.4286,-78.714286,13.131983,-96.914285,-60.514287,-8.476923,0.0000,0.000000,0.657628,NOT ENOUGH DATA,0,"526 527"
acceptance,LONDON,,decision,pre-0B,1,0,1,0,-60.5000,-60.500000,0.000000,-60.500000,-60.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"522"
acceptance,NY,OR-H,decision,pre-0B,1,1,0,0,311.0000,311.000000,0.000000,311.000000,311.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"532"
acceptance,NY,PDC,decision,pre-0B,2,0,1,1,-88.5000,-44.250000,62.578950,-130.980000,42.480000,-1.000000,0.0000,0.000000,0.657628,NOT ENOUGH DATA,0,"542 543"
breakout_retest,ASIA,OR-L,decision,pre-0B,1,0,1,0,-66.0000,-66.000000,0.000000,-66.000000,-66.000000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"534"
breakout_retest,LONDON,,decision,pre-0B,1,0,1,0,-49.5000,-49.500000,0.000000,-49.500000,-49.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"563"
breakout_retest,LONDON,ONH,decision,pre-0B,3,1,2,0,-16.0000,-5.333333,45.733831,-57.086035,46.419369,-0.201986,0.3333,0.061490,0.792345,NOT ENOUGH DATA,0,"556 557 558"
breakout_retest,LONDON,ONL,decision,pre-0B,1,0,1,0,-97.5000,-97.500000,0.000000,-97.500000,-97.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"528"
breakout_retest,LONDON,PDC,decision,pre-0B,1,0,1,0,-98.5000,-98.500000,0.000000,-98.500000,-98.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"562"
breakout_retest,NY,ONH,decision,post-0B,2,0,2,0,-254.0000,-127.000000,39.597980,-181.880000,-72.120000,-4.535714,0.0000,0.000000,0.657628,NOT ENOUGH DATA,0,"589 590"
hold,LONDON,PDH,decision,pre-0B,1,1,0,0,168.0000,168.000000,0.000000,168.000000,168.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"555"
reclaim,ASIA,,decision,pre-0B,1,0,1,0,-43.0000,-43.000000,0.000000,-43.000000,-43.000000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"525"
reclaim,LONDON,ONH,decision,pre-0B,2,0,2,0,-181.0000,-90.500000,10.606602,-105.200000,-75.800000,-12.066667,0.0000,0.000000,0.657628,NOT ENOUGH DATA,0,"540 541"
reclaim,LONDON,PDC,decision,pre-0B,1,0,1,0,-65.0000,-65.000000,0.000000,-65.000000,-65.000000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"588"
reclaim,NY,RTH-L,decision,pre-0B,1,0,1,0,-147.5000,-147.500000,0.000000,-147.500000,-147.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"531"
reject,ASIA,ONH,decision,pre-0B,8,2,5,1,-75.0000,-9.375000,66.343129,-55.348443,36.598443,-0.399687,0.2500,0.071478,0.590730,NOT ENOUGH DATA,0,"535 536 537 538 550 551 552 553"
reject,ASIA,OR-L,decision,pre-0B,1,0,1,0,-54.5000,-54.500000,0.000000,-54.500000,-54.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"533"
reject,ASIA,VWAP,armed,pre-0B,1,0,1,0,-42.0000,-42.000000,0.000000,-42.000000,-42.000000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"567"
reject,ASIA,VWAP,decision,pre-0B,1,0,1,0,-62.5000,-62.500000,0.000000,-62.500000,-62.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"587"
reject,LONDON,,decision,pre-0B,1,1,0,0,138.0000,138.000000,0.000000,138.000000,138.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"521"
reject,LONDON,EQH,decision,pre-0B,1,1,0,0,168.0000,168.000000,0.000000,168.000000,168.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"529"
reject,LONDON,ONH,decision,pre-0B,1,0,1,0,-62.0000,-62.000000,0.000000,-62.000000,-62.000000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"554"
reject,LONDON,SWG-L,armed,pre-0B,1,1,0,0,106.0000,106.000000,0.000000,106.000000,106.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"584"
reject,LONDON,SWG-L,decision,pre-0B,2,2,0,0,320.0000,160.000000,43.133514,100.220000,219.780000,5.245902,1.0000,0.342372,1.000000,NOT ENOUGH DATA,0,"581 582"
reject,LONDON,VWAP,decision,pre-0B,2,0,2,0,-131.5000,-65.750000,4.596194,-72.120000,-59.380000,-20.230769,0.0000,0.000000,0.657628,NOT ENOUGH DATA,0,"564 565"
reject,NY,,decision,pre-0B,2,2,0,0,391.5000,195.750000,109.955104,43.360000,348.140000,2.517685,1.0000,0.342372,1.000000,NOT ENOUGH DATA,0,"523 524"
reject,NY,ONL,decision,pre-0B,1,0,1,0,-54.5000,-54.500000,0.000000,-54.500000,-54.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"548"
reject,NY,OR-H,armed,post-0B,1,0,1,0,-140.0000,-140.000000,0.000000,-140.000000,-140.000000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"591"
reject,NY,OR-L,decision,pre-0B,2,1,1,0,-58.5000,-29.250000,155.917045,-245.340000,186.840000,-0.265306,0.5000,0.094529,0.905471,NOT ENOUGH DATA,0,"547 560"
reject,NY,PDH,decision,pre-0B,1,1,0,0,63.0000,63.000000,0.000000,63.000000,63.000000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"569"
reject,NY,PDL,decision,pre-0B,1,1,0,0,32.5000,32.500000,0.000000,32.500000,32.500000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,1,"575"
reject,NY,PWL,decision,pre-0B,1,1,0,0,169.5000,169.500000,0.000000,169.500000,169.500000,0.000000,1.0000,0.206543,1.000000,NOT ENOUGH DATA,0,"549"
reject,NY,RTH-H,decision,pre-0B,1,0,1,0,-61.5000,-61.500000,0.000000,-61.500000,-61.500000,0.000000,0.0000,0.000000,0.793457,NOT ENOUGH DATA,0,"544"
