id,side,mae,mfe,pnl,realized_move,plan_session,cited_scenario_id,source
521,SHORT,16.0,71.25,138.0,69.0,LONDON,S1,system
522,SHORT,49.25,10.25,-60.5,30.25,LONDON,S3,system
523,SHORT,11.5,79.5,118.0,59.0,NY,S1,system
524,SHORT,16.5,137.5,273.5,136.75,NY,S1,system
525,LONG,21.75,19.75,-43.0,21.5,ASIA,S1,system
526,SHORT,57.5,2.75,-69.43,34.71,ASIA,S2,system
527,SHORT,44.25,5.0,-88.0,44.0,ASIA,S2,system
528,SHORT,49.0,48.0,-97.5,48.75,LONDON,S1,system
529,SHORT,43.75,91.0,168.0,84.0,LONDON,S2,system
531,LONG,75.0,16.25,-147.5,73.75,NY,S3,system
532,SHORT,61.5,156.75,311.0,155.5,NY,S1,system
533,SHORT,30.25,36.0,-54.5,27.25,ASIA,S2,system
534,SHORT,36.75,40.5,-66.0,33.0,ASIA,S2,system
535,SHORT,17.75,7.0,-31.0,15.5,ASIA,S1,system
536,SHORT,6.75,62.25,124.0,62.0,ASIA,S1,system
537,SHORT,42.0,20.25,-79.5,39.75,ASIA,S1,system
538,SHORT,2.75,16.25,30.5,15.25,ASIA,S1,system
540,LONG,50.0,6.5,-98.0,49.0,LONDON,S1,system
541,LONG,42.25,28.0,-83.0,41.5,LONDON,S1,system
542,SHORT,35.5,89.75,0.0,0.0,NY,S2,system
543,SHORT,45.0,25.0,-88.5,44.25,NY,S2,system
544,SHORT,31.5,19.5,-61.5,30.75,NY,S1,system
547,SHORT,73.25,15.25,-139.5,69.75,NY,S2,system
548,SHORT,44.75,58.5,-54.5,27.25,NY,S1,system
549,SHORT,10.5,85.5,169.5,84.75,NY,S2,system
550,SHORT,42.5,20.25,-84.5,42.25,ASIA,S2,system
551,SHORT,0.5,69.75,0.0,0.0,ASIA,S2,system
552,SHORT,5.5,10.0,-7.5,3.75,ASIA,S2,system
553,SHORT,18.0,0.0,-27.0,13.5,ASIA,S2,system
554,SHORT,58.75,58.0,-62.0,31.0,LONDON,S2,system
555,LONG,22.5,92.0,168.0,84.0,LONDON,S2,system
556,LONG,33.5,0.75,-40.0,20.0,LONDON,S1,system
557,LONG,17.25,71.75,46.5,23.25,LONDON,S1,system
558,LONG,27.5,5.75,-22.5,11.25,LONDON,S1,system
559,LONG,100.75,23.5,-78.5,39.25,NY,S4,system
560,SHORT,3.0,50.5,81.0,40.5,NY,S3,system
561,LONG,30.0,17.5,-52.0,26.0,ASIA,S1,system
562,SHORT,51.25,25.75,-98.5,49.25,LONDON,S2,system
563,LONG,29.5,34.75,-49.5,24.75,LONDON,S1,system
564,SHORT,36.75,6.75,-69.0,34.5,LONDON,S3,system
565,SHORT,32.75,4.25,-62.5,31.25,LONDON,S1,system
567,SHORT,21.5,28.5,-42.0,21.0,ASIA,S1,reconcile
568,SHORT,17.0,1.75,-32.0,16.0,LONDON,S1,reconcile
569,SHORT,0.0,36.0,63.0,31.5,NY,S1,reconcile
570,LONG,14.5,66.25,17.0,8.5,NY,S2,reconcile
575,SHORT,6.0,41.5,32.5,16.25,NY,S2,reconcile
578,LONG,24.75,47.25,92.0,46.0,NY,S1,reconcile
581,SHORT,2.5,73.5,190.5,95.25,LONDON,S1,system
582,SHORT,11.25,69.25,129.5,64.75,LONDON,S2,armed_entry
583,LONG,43.25,25.0,-82.5,41.25,LONDON,S2,system
584,SHORT,0.0,58.0,106.0,53.0,LONDON,S2,reconcile
585,SHORT,38.75,0.0,-77.5,38.75,NY,S1,armed_entry
586,LONG,27.5,0.0,-54.0,27.0,NY,S3,reconcile
587,LONG,33.0,25.75,-62.5,31.25,ASIA,S3,system
588,LONG,33.25,0.0,-65.0,32.5,LONDON,S2,system
589,LONG,80.5,10.25,-155.0,77.5,NY,S3,system
590,LONG,49.75,1.0,-99.0,49.5,NY,S4,system
591,SHORT,75.0,43.5,-140.0,70.0,NY,S1,reconcile
