id,ct,session,attempt,reject_reason
69,"2026-09-01 11:59:57",NY,2,"arm on S2 needs EXACTLY 2 legs (split contract), got 1"
70,"2026-09-01 12:06:32",NY,3,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here"
71,"2026-09-01 12:33:07",NY,1,"stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body)"
72,"2026-09-01 12:43:07",NY,2,"stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body)"
73,"2026-09-01 12:52:48",NY,3,"S2 breakdown_continue: a close came back across 29125.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
74,"2026-09-01 12:59:12",NY,1,"S1 breakdown_continue: a close came back across 29100.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
75,"2026-09-01 17:10:09",ASIA,1,"S1 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
76,"2026-09-01 17:15:51",ASIA,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)"
77,"2026-09-01 17:23:14",ASIA,3,"S2 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
78,"2026-09-01 17:47:32",ASIA,1,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here"
79,"2026-09-01 17:53:33",ASIA,2,"scenario[0].confirm2.rule ""2x5m"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)"
80,"2026-09-01 18:00:41",ASIA,3,"arm legs on breakdown_continue — arm_legs_sweep_reclaim_only (the split entry is the sweep_reclaim contract; other conditions arm single)"
81,"2026-09-01 20:59:42",ASIA,1,"scenario[3].confirm2.rule ""touch"" not allowed for breakup_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here"
82,"2026-09-01 21:05:17",ASIA,2,"scenario[3].confirm2.rule ""displacement"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)"
83,"2026-09-01 21:14:51",ASIA,3,"S4 breakdown_continue: a close came back across 29047.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
84,"2026-09-01 21:44:29",ASIA,1,"arm on S1 needs EXACTLY 2 legs (split contract), got 1"
85,"2026-09-01 21:47:23",ASIA,2,"arm on S1 top-level entry/stop/target must equal leg 1's (legacy readers read the top-level)"
86,"2026-09-01 21:53:46",ASIA,3,"arm on S1 leg 2 must chain (wait_confirm true) on its confirm rule"
87,"2026-09-01 23:47:33",ASIA,1,"still failed after 2 retries: stream interrupted: unexpected EOF"
88,"2026-09-01 23:55:06",ASIA,2,"S3 breakup_continue: a close came back across 29068.05 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
89,"2026-09-02 01:15:50",ASIA,1,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}"
90,"2026-09-02 01:15:53",ASIA,2,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}"
91,"2026-09-02 01:15:57",ASIA,3,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}"
92,"2026-09-02 01:32:54",LONDON,1,"S1 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
93,"2026-09-02 01:35:04",LONDON,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)"
94,"2026-09-02 01:37:44",LONDON,3,"S2 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
95,"2026-09-02 12:57:32",NY,1,"S4 broken level 29001.75 is 168.0 pts from price 29169.75 (> 5.0×ATR5m=119.4 — the retest is unreachable; author a nearer broken level)"
96,"2026-09-02 13:00:14",NY,2,"S4 breakdown_continue: a close came back across 29058.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
97,"2026-09-02 13:56:32",NY,1,"too many levels: 13 (max 12)"
98,"2026-09-02 14:22:33",NY,1,"S2 breakdown_continue: a close came back across 29167.66 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
99,"2026-09-02 14:23:37",NY,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)"
100,"2026-09-02 14:25:17",NY,3,"S3 breakdown_continue: a close came back across 29109.65 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
101,"2026-09-02 18:00:42",ASIA,1,"S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
102,"2026-09-02 18:13:41",ASIA,1,"S4 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
