ts_ct,plan_version,authored_stop,composed_stop,atr5m_printed_2dp,stop_dist_pts,rr_gate_input (v2 only: entry 29285 / target 29144.5)
09-03 08:30:54,v1,29289.0,29307.93,32.17,,
09-03 08:32:54,v1,29289.0,29309.78,33.4,,
09-03 08:35:20,v1,29289.0,29308.82,32.77,,
09-03 08:36:54,v1,29289.0,29314.28,36.41,,
09-03 08:40:01,v1,29289.0,29317.13,38.3,,
09-03 08:40:54,v1,29289.0,29320.02,40.23,,
09-03 08:42:54,v1,29289.0,29321.63,41.3,,
09-03 08:46:54,v2,29340.0,29346.07,40.71,61.07,2.30064
09-03 08:48:54,v2,29340.0,29346.47,40.98,61.47,2.28567
09-03 08:50:54,v2,29340.0,29345.52,40.35,60.52,2.32155
09-03 08:52:54,v2,29340.0,29346.4,40.94,61.4,2.28827
09-03 08:55:01,v2,29340.0,29344.69,39.79,59.69,2.35383
09-03 08:56:54,v2,29340.0,29349.32,42.88,64.32,2.18439
09-03 08:58:54,v2,29340.0,29350.42,43.61,65.42,2.14766
09-03 09:00:54,v2,29340.0,29349.9,43.27,64.9,2.16487
09-03 09:02:54,v2,29340.0,29354.91,46.61,69.91,2.00973
09-03 09:05:35,v2,29340.0,29351.63,44.42,66.63,2.10866
09-03 09:06:54,v2,29340.0,29352.65,45.1,67.65,2.07687
09-03 09:08:54,v2,29340.0,29354.44,46.29,69.44,2.02333
09-03 09:10:54,v2,29340.0,29352.4,44.93,67.4,2.08457
09-03 09:12:54,v2,29340.0,29354.86,46.58,69.86,2.01117
09-03 09:15:01,v2,29340.0,29350.67,43.78,65.67,2.13949
