ct_5m_open,o,h,l,c,pts_above_raw_death_line
"2026-09-03 12:15:00",29490.5,29500.75,29484.0,29486.5,-15.75
"2026-09-03 12:20:00",29486.25,29487.5,29476.0,29482.5,-19.75
"2026-09-03 12:25:00",29483.0,29507.75,29482.0,29502.5,0.25
"2026-09-03 12:30:00",29502.5,29518.75,29502.0,29514.25,12.0
"2026-09-03 12:35:00",29514.5,29529.0,29511.5,29520.25,18.0
"2026-09-03 12:40:00",29520.5,29532.0,29519.0,29528.5,26.25
"2026-09-03 12:45:00",29529.0,29535.0,29521.25,29530.5,28.25
"2026-09-03 12:50:00",29530.75,29553.0,29525.0,29546.0,43.75
"2026-09-03 12:55:00",29546.0,29552.75,29539.75,29543.5,41.25
"2026-09-03 13:00:00",29543.5,29578.5,29543.0,29574.25,72.0
"2026-09-03 13:05:00",29574.5,29579.25,29565.25,29574.25,72.0
"2026-09-03 13:10:00",29574.5,29578.5,29569.25,29573.0,70.75
"2026-09-03 13:15:00",29573.25,29585.0,29567.5,29571.75,69.5
"2026-09-03 13:20:00",29571.75,29576.0,29564.5,29572.75,70.5
"2026-09-03 13:25:00",29572.5,29579.5,29566.5,29570.25,68.0
"2026-09-03 13:30:00",29570.25,29578.0,29563.25,29576.75,74.5
"2026-09-03 13:35:00",29576.75,29580.0,29570.0,29576.0,73.75
"2026-09-03 13:40:00",29575.25,29576.75,29559.25,29560.5,58.25
"2026-09-03 13:45:00",29560.5,29576.25,29559.5,29576.0,73.75
"2026-09-03 13:50:00",29576.0,29582.5,29564.75,29569.75,67.5
"2026-09-03 13:55:00",29570.0,29570.0,29560.25,29568.5,66.25
"2026-09-03 14:00:00",29568.25,29570.25,29552.0,29557.0,54.75
"2026-09-03 14:05:00",29557.0,29562.25,29547.25,29549.5,47.25
"2026-09-03 14:10:00",29548.25,29552.25,29532.5,29538.75,36.5
"2026-09-03 14:15:00",29538.5,29543.25,29530.25,29543.25,41.0
"2026-09-03 14:20:00",29543.25,29543.5,29526.75,29531.0,28.75
"2026-09-03 14:25:00",29530.75,29537.25,29526.25,29533.5,31.25
"2026-09-03 14:30:00",29533.25,29540.25,29523.25,29526.0,23.75
"2026-09-03 14:35:00",29526.25,29536.5,29525.5,29532.0,29.75
"2026-09-03 14:40:00",29531.75,29542.0,29521.5,29524.0,21.75
"2026-09-03 14:45:00",29524.5,29536.25,29515.75,29520.75,18.5
"2026-09-03 14:50:00",29520.75,29528.25,29509.75,29526.25,24.0
