plan_id,version,session,trade_date,created_utc,created_ct,bias_label
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-09-02,"2026-09-02 06:37:44","2026-09-02 01:37:44",
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-09-02,"2026-09-02 12:15:26","2026-09-02 07:15:26",
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,2026-09-02,"2026-09-02 12:21:59","2026-09-02 07:21:59",
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,2026-09-02,"2026-09-02 12:44:03","2026-09-02 07:44:03",
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,LONDON,2026-09-02,"2026-09-02 13:01:50","2026-09-02 08:01:50",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-09-02,"2026-09-02 13:09:44","2026-09-02 08:09:44",
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,2026-09-02,"2026-09-02 13:20:47","2026-09-02 08:20:47",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-09-02,"2026-09-02 13:45:28","2026-09-02 08:45:28",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,2026-09-02,"2026-09-02 14:21:18","2026-09-02 09:21:18",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,2026-09-02,"2026-09-02 14:45:52","2026-09-02 09:45:52",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,2026-09-02,"2026-09-02 15:22:33","2026-09-02 10:22:33",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,NY,2026-09-02,"2026-09-02 15:50:53","2026-09-02 10:50:53",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,2026-09-02,"2026-09-02 16:20:19","2026-09-02 11:20:19",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,NY,2026-09-02,"2026-09-02 16:47:10","2026-09-02 11:47:10",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,NY,2026-09-02,"2026-09-02 17:25:10","2026-09-02 12:25:10",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,2026-09-02,"2026-09-02 18:02:15","2026-09-02 13:02:15",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,NY,2026-09-02,"2026-09-02 18:28:36","2026-09-02 13:28:36",
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,NY,2026-09-02,"2026-09-02 18:56:59","2026-09-02 13:56:59",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-09-02,"2026-09-02 21:36:02","2026-09-02 16:36:02",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-09-02,"2026-09-02 22:18:29","2026-09-02 17:18:29",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-09-02,"2026-09-02 22:50:56","2026-09-02 17:50:56",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-09-02,"2026-09-02 23:04:42","2026-09-02 18:04:42",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,2026-09-02,"2026-09-02 23:21:05","2026-09-02 18:21:05",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,ASIA,2026-09-02,"2026-09-02 23:43:33","2026-09-02 18:43:33",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,ASIA,2026-09-02,"2026-09-03 00:02:39","2026-09-02 19:02:39",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,ASIA,2026-09-02,"2026-09-03 01:05:55","2026-09-02 20:05:55",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,ASIA,2026-09-02,"2026-09-03 01:38:20","2026-09-02 20:38:20",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,ASIA,2026-09-02,"2026-09-03 02:03:03","2026-09-02 21:03:03",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,ASIA,2026-09-02,"2026-09-03 02:31:58","2026-09-02 21:31:58",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,ASIA,2026-09-02,"2026-09-03 02:49:57","2026-09-02 21:49:57",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,ASIA,2026-09-02,"2026-09-03 03:12:42","2026-09-02 22:12:42",
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,14,ASIA,2026-09-02,"2026-09-03 05:08:45","2026-09-03 00:08:45","bias: AI neutral · tree neutral · regime neutral"
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,15,ASIA,2026-09-02,"2026-09-03 05:34:14","2026-09-03 00:34:14","bias: AI short · tree short · regime neutral"
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-09-03,"2026-09-03 06:34:53","2026-09-03 01:34:53","bias: AI short · tree short · regime neutral"
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-09-03,"2026-09-03 13:05:19","2026-09-03 08:05:19","bias: AI short · tree neutral · regime up"
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-09-03,"2026-09-03 13:15:44","2026-09-03 08:15:44","bias: AI neutral · tree neutral · regime up"
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-09-03,"2026-09-03 13:45:05","2026-09-03 08:45:05","bias: AI short · tree neutral · regime up"
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,2026-09-03,"2026-09-03 14:15:31","2026-09-03 09:15:31","bias: AI long · tree long · regime up"
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,2026-09-03,"2026-09-03 14:44:33","2026-09-03 09:44:33","bias: AI long · tree long · regime up"
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,2026-09-03,"2026-09-03 15:14:45","2026-09-03 10:14:45","bias: AI long · tree long · regime up"
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,NY,2026-09-03,"2026-09-03 15:49:57","2026-09-03 10:49:57","bias: AI long · tree long · regime up"
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,2026-09-03,"2026-09-03 16:27:53","2026-09-03 11:27:53","bias: AI long · tree long · regime up"
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-09-03,"2026-09-03 21:37:36","2026-09-03 16:37:36","bias: AI long · tree long · regime up"
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-09-03,"2026-09-03 23:47:53","2026-09-03 18:47:53","bias: AI neutral · tree long · regime up"
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-09-03,"2026-09-04 00:28:36","2026-09-03 19:28:36","bias: AI long · tree long · regime up"
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-09-03,"2026-09-04 00:53:35","2026-09-03 19:53:35","bias: AI short · tree neutral · regime up"
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,2026-09-03,"2026-09-04 01:32:32","2026-09-03 20:32:32","bias: AI short · tree neutral · regime up"
