id,session,scenario,side,entry_px,stop_px,target_px,state,reason_full,reason_class,created_ct,updated_ct,placed_at_broker,nearest_approach_pts,nearest_approach_ct,price_traded_through,version
23,LONDON,S1,short,29477.0,29500.21,29418.62,cancelled,gate changed: min_sl,invalidation,2026-09-01 02:55:29,2026-09-01 02:57:29,YES sig=ca315135 placed 2026-09-01 02:55:29 CT @ 29477.00,18.25,2026-09-01 02:56:00,no,2
24,LONDON,S2,short,29138.0,29162.0,29085.0,filled,,filled,2026-09-01 07:57:28,2026-09-01 17:24:00,YES sig=6b5b89c6 placed 2026-09-01 07:57:28 CT @ 29138.00,-179.25,2026-09-01 10:49:00,YES,6
25,LONDON,S3,long,29161.96,29140.0,29212.5,cancelled,"level accepted through — marketable, never placed",marketable-guard,2026-09-01 05:35:28,2026-09-01 07:10:01,NO — never on the wire,-8.71,2026-09-01 07:10:00,YES,5
26,NY,S2,short,29162.0,29189.0,29100.5,cancelled,session ended (EOD flat),session-EOD,2026-09-01 13:05:06,2026-09-01 14:45:06,NO — never on the wire,29.25,2026-09-01 14:45:00,no,5
27,NY,S1,short,29170.0,29210.0,29082.75,cancelled,"level accepted through — marketable, never placed",marketable-guard,2026-09-01 11:27:07,2026-09-01 11:27:07,NO — never on the wire,-12.5,2026-09-01 11:27:00,YES,4
28,NY,S3,long,29082.75,29055.75,29162.0,filled,,filled,2026-09-01 13:31:06,2026-09-01 17:24:00,YES sig=d5fed440 placed 2026-09-01 13:31:06 CT @ 29082.75,-81.0,2026-09-01 13:46:00,YES,5
29,ASIA,S1,long,29044.0,29025.0,29099.85,cancelled,no order_update within stale window (reconnect/reconcile),stale-arm-expiry,2026-09-01 23:21:03,2026-09-02 00:31:48,YES sig=d00abc07 placed 2026-09-01 23:21:03 CT @ 29035.25,-6.75,2026-09-02 00:06:00,YES,7
30,ASIA,S1,long,29035.25,29018.0,29071.41,cancelled,no order_update within stale window (reconnect/reconcile),stale-arm-expiry,2026-09-01 23:49:02,2026-09-02 00:07:07,YES sig=c86c5cd0 placed 2026-09-01 23:51:02 CT @ 29035.25,2.0,2026-09-02 00:06:00,no,6
31,ASIA,S3,long,29068.05,29044.0,29131.66,cancelled,no order_update within stale window (reconnect/reconcile),stale-arm-expiry,2026-09-02 00:16:32,2026-09-02 00:31:48,YES sig=dc8405f1 placed 2026-09-02 00:16:32 CT @ 29068.05,0.7,2026-09-02 00:22:00,no,7
32,NY,S3,long,29070.0,29019.6691,29171.25,cancelled,session ended (EOD flat),session-EOD,2026-09-02 10:30:30,2026-09-02 14:45:01,NO — never on the wire,55.0,2026-09-02 12:19:00,no,5
33,NY,S3,short,29166.8,29199.5,29058.75,cancelled,"level accepted through — marketable, never placed",marketable-guard,2026-09-02 14:10:29,2026-09-02 14:10:29,NO — never on the wire,-1.7,2026-09-02 14:10:00,YES,12
34,ASIA,S1,short,29199.5,29226.0,29132.5,cancelled,"level accepted through — marketable, never placed",marketable-guard,2026-09-02 22:15:01,2026-09-02 22:15:01,NO — never on the wire,-12.5,2026-09-02 22:15:00,YES,13
35,NY,S1,short,29285.0,29351.6285,29144.5,filled,,filled,2026-09-03 09:02:54,2026-09-03 10:28:29,YES sig=f2b1eb20 placed 2026-09-03 09:02:54 CT @ 29285.00,-240.0,2026-09-03 10:27:00,YES,2
36,NY,S2,short,29351.05,29418.9344,29209.25,cancelled,"level accepted through — marketable, never placed",marketable-guard,2026-09-03 09:20:47,2026-09-03 09:20:47,NO — never on the wire,-8.95,2026-09-03 09:20:00,YES,3
37,NY,S3,short,29543.75,29592.5,29397.11,cancelled,cancelled in NT8,cancelled-in-NT8,2026-09-03 11:58:33,2026-09-03 12:15:01,YES sig=43512e1d placed 2026-09-03 11:58:33 CT @ 29543.75,9.5,2026-09-03 12:00:00,no,7
