read_id,session,started_ct,binary_had_1B_call_site
1,ASIA,2026-09-03 00:00:56,NO
2,ASIA,2026-09-03 00:30:56,NO
3,LONDON,2026-09-03 01:30:56,NO
4,NY,2026-09-03 08:00:54,NO
5,LONDON,2026-09-03 08:06:54,NO
6,NY,2026-09-03 08:36:54,NO
7,NY,2026-09-03 09:06:54,NO
8,NY,2026-09-03 09:38:54,NO
9,NY,2026-09-03 10:10:54,NO
10,NY,2026-09-03 10:45:01,NO
11,NY,2026-09-03 11:20:33,NO
12,ASIA,2026-09-03 16:30:21,NO
13,ASIA,2026-09-03 18:00:24,NO
14,ASIA,2026-09-03 18:41:09,NO
15,ASIA,2026-09-03 19:18:06,NO
16,ASIA,2026-09-03 19:50:05,NO
17,ASIA,2026-09-03 20:24:03,NO
