ts_ct,session,event,reason,plan_version_in_force,plan_age_min,move_pts_15m,evidence
2026-09-02 00:03:07,ASIA,fired,proceed,2026-09-01:ASIA v7,4.8,8.25,"09-02 00:03:07 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29058.75 above 29029.88 (noise 4.08) on ASIA 2026-09-01 — waking the planner (W6, 5th wake-up)."
2026-09-02 00:13:48,ASIA,fired,proceed,2026-09-01:ASIA v7,15.5,8.25,"09-02 00:13:48 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29058.75 above 29029.88 (noise 4.17) on ASIA 2026-09-01 — waking the planner (W6, 5th wake-up)."
2026-09-02 00:16:32,ASIA,skipped,min_interval,2026-09-01:ASIA v7,18.3,23.75,09-02 00:16:32 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.04) on ASIA 2026-09-01 — SKIPPED: 3m elapsed < wake_min_interval_min (30m).
2026-09-02 00:17:48,ASIA,skipped,min_interval,2026-09-01:ASIA v7,19.5,23.75,09-02 00:17:48 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.11) on ASIA 2026-09-01 — SKIPPED: 4m elapsed < wake_min_interval_min (30m).
2026-09-02 00:19:48,ASIA,skipped,min_interval,2026-09-01:ASIA v8,0.0,23.75,09-02 00:19:48 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.19) on ASIA 2026-09-01 — SKIPPED: 6m elapsed < wake_min_interval_min (30m).
2026-09-02 00:20:22,ASIA,skipped,min_interval,2026-09-01:ASIA v8,0.6,23.75,09-02 00:20:22 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.19) on ASIA 2026-09-01 — SKIPPED: 7m elapsed < wake_min_interval_min (30m).
2026-09-02 00:21:48,ASIA,skipped,min_interval,2026-09-01:ASIA v8,2.0,23.75,09-02 00:21:48 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.19) on ASIA 2026-09-01 — SKIPPED: 8m elapsed < wake_min_interval_min (30m).
2026-09-02 00:23:48,ASIA,skipped,min_interval,2026-09-01:ASIA v8,4.0,23.75,09-02 00:23:48 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.19) on ASIA 2026-09-01 — SKIPPED: 10m elapsed < wake_min_interval_min (30m).
2026-09-02 00:25:00,ASIA,skipped,min_interval,2026-09-01:ASIA v8,5.2,23.75,09-02 00:25:00 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.19) on ASIA 2026-09-01 — SKIPPED: 11m elapsed < wake_min_interval_min (30m).
2026-09-02 00:26:04,ASIA,skipped,min_interval,2026-09-01:ASIA v8,6.3,23.75,09-02 00:26:04 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.20) on ASIA 2026-09-01 — SKIPPED: 12m elapsed < wake_min_interval_min (30m).
2026-09-02 00:27:48,ASIA,skipped,min_interval,2026-09-01:ASIA v8,8.0,23.75,09-02 00:27:48 🗓️ level wake seated Supply·4h (HTF) invalidated: close 29067.25 above 29029.88 (noise 4.21) on ASIA 2026-09-01 — SKIPPED: 14m elapsed < wake_min_interval_min (30m).
