ct_CT,scenario,stop,authored,anchor_price,anchor_stop,atr_floor,atr5m,bound
08:30:54,S1,29307.93,29289.00,29293.00,29293.50,29307.93,32.17,atr_floor
08:32:54,S1,29309.78,29289.00,29293.00,29293.50,29309.78,33.40,atr_floor
08:35:20,S1,29308.82,29289.00,29293.00,29293.50,29308.82,32.77,atr_floor
08:36:54,S1,29314.28,29289.00,29293.00,29293.50,29314.28,36.41,atr_floor
08:40:01,S1,29317.13,29289.00,29293.00,29293.50,29317.13,38.30,atr_floor
08:40:54,S1,29320.02,29289.00,29293.00,29293.50,29320.02,40.23,atr_floor
08:42:54,S1,29321.63,29289.00,29293.00,29293.50,29321.63,41.30,atr_floor
08:46:54,S1,29346.07,29340.00,29293.00,29293.50,29346.07,40.71,atr_floor
08:48:54,S1,29346.47,29340.00,29293.00,29293.50,29346.47,40.98,atr_floor
08:50:54,S1,29345.52,29340.00,29293.00,29293.50,29345.52,40.35,atr_floor
08:52:54,S1,29346.40,29340.00,29293.00,29293.50,29346.40,40.94,atr_floor
08:55:01,S1,29344.69,29340.00,29293.00,29293.50,29344.69,39.79,atr_floor
08:56:54,S1,29349.32,29340.00,29293.00,29293.50,29349.32,42.88,atr_floor
08:58:54,S1,29350.42,29340.00,29293.00,29293.50,29350.42,43.61,atr_floor
09:00:54,S1,29349.90,29340.00,29293.00,29293.50,29349.90,43.27,atr_floor
09:02:54,S1,29354.91,29340.00,29293.00,29293.50,29354.91,46.61,atr_floor
09:05:35,S1,29351.63,29340.00,29293.00,29293.50,29351.63,44.42,atr_floor
09:06:54,S1,29352.65,29340.00,29293.00,29293.50,29352.65,45.10,atr_floor
09:08:54,S1,29354.44,29340.00,29293.00,29293.50,29354.44,46.29,atr_floor
09:10:54,S1,29352.40,29340.00,29293.00,29293.50,29352.40,44.93,atr_floor
09:12:54,S1,29354.86,29340.00,29293.00,29293.50,29354.86,46.58,atr_floor
09:15:01,S1,29350.67,29340.00,29293.00,29293.50,29350.67,43.78,atr_floor
