open_time_ms,ct,o,h,l,c,v
1788411600000,"2026-09-03 00:00:00",29207.75,29208.75,29205.0,29206.75,622.0
1788411660000,"2026-09-03 00:01:00",29206.75,29207.25,29189.75,29189.75,2330.0
1788411720000,"2026-09-03 00:02:00",29190.25,29193.75,29189.0,29190.25,810.0
1788411780000,"2026-09-03 00:03:00",29190.0,29190.5,29180.5,29182.5,1542.0
1788411840000,"2026-09-03 00:04:00",29182.25,29184.75,29176.5,29177.0,1143.0
1788411900000,"2026-09-03 00:05:00",29176.75,29179.25,29171.25,29177.25,1422.0
1788411960000,"2026-09-03 00:06:00",29177.0,29177.5,29167.75,29169.25,1312.0
1788412020000,"2026-09-03 00:07:00",29169.75,29172.25,29165.75,29169.0,814.0
1788412080000,"2026-09-03 00:08:00",29168.25,29169.0,29161.5,29166.0,1009.0
1788412140000,"2026-09-03 00:09:00",29166.25,29167.5,29156.75,29162.0,1504.0
1788412200000,"2026-09-03 00:10:00",29162.0,29168.0,29156.0,29158.0,1365.0
1788412260000,"2026-09-03 00:11:00",29157.5,29160.25,29153.0,29157.25,1086.0
1788412320000,"2026-09-03 00:12:00",29157.0,29161.25,29152.75,29153.0,926.0
1788412380000,"2026-09-03 00:13:00",29153.0,29158.25,29148.0,29152.5,1356.0
1788412440000,"2026-09-03 00:14:00",29152.5,29153.25,29141.0,29148.5,1836.0
1788412500000,"2026-09-03 00:15:00",29148.0,29149.25,29140.0,29144.75,1273.0
1788412560000,"2026-09-03 00:16:00",29144.5,29147.5,29135.0,29138.0,1616.0
1788412620000,"2026-09-03 00:17:00",29137.25,29140.25,29120.75,29125.75,3714.0
1788412680000,"2026-09-03 00:18:00",29126.25,29134.25,29116.5,29123.5,2897.0
1788412740000,"2026-09-03 00:19:00",29123.5,29124.25,29105.25,29110.25,2841.0
1788412800000,"2026-09-03 00:20:00",29109.75,29115.25,29100.75,29104.75,2230.0
1788412860000,"2026-09-03 00:21:00",29104.25,29107.75,29095.0,29099.5,2940.0
1788412920000,"2026-09-03 00:22:00",29099.5,29107.25,29086.0,29089.75,2417.0
1788412980000,"2026-09-03 00:23:00",29089.5,29092.5,29075.0,29090.75,3013.0
1788413040000,"2026-09-03 00:24:00",29090.5,29096.75,29082.0,29093.5,2251.0
1788413100000,"2026-09-03 00:25:00",29093.5,29107.0,29079.25,29080.5,2851.0
1788413160000,"2026-09-03 00:26:00",29080.5,29088.0,29079.25,29080.25,1156.0
1788413220000,"2026-09-03 00:27:00",29080.25,29090.75,29075.5,29087.75,1856.0
1788413280000,"2026-09-03 00:28:00",29089.0,29108.5,29086.25,29104.0,2242.0
1788413340000,"2026-09-03 00:29:00",29102.75,29110.75,29100.75,29103.0,1392.0
1788413400000,"2026-09-03 00:30:00",29103.0,29120.0,29101.0,29106.5,2908.0
1788413460000,"2026-09-03 00:31:00",29106.0,29112.5,29097.0,29104.5,2081.0
1788413520000,"2026-09-03 00:32:00",29104.75,29115.0,29104.0,29110.5,1109.0
1788413580000,"2026-09-03 00:33:00",29111.0,29124.0,29110.0,29121.5,1611.0
1788413640000,"2026-09-03 00:34:00",29121.25,29140.25,29121.0,29138.5,2373.0
1788413700000,"2026-09-03 00:35:00",29139.0,29142.75,29128.5,29129.75,2170.0
1788413760000,"2026-09-03 00:36:00",29129.5,29133.5,29118.25,29132.25,2184.0
1788413820000,"2026-09-03 00:37:00",29131.75,29141.0,29127.25,29135.0,1799.0
1788413880000,"2026-09-03 00:38:00",29135.25,29138.0,29131.25,29132.5,1015.0
1788413940000,"2026-09-03 00:39:00",29133.25,29148.75,29133.25,29138.0,2222.0
1788414000000,"2026-09-03 00:40:00",29138.0,29138.5,29122.5,29132.5,1662.0
1788414060000,"2026-09-03 00:41:00",29132.5,29140.5,29121.5,29139.0,1848.0
