ct,o,h,l,c,v
"2026-09-03 08:55:00",29349.25,29354.75,29327.5,29329.0,6552.0
"2026-09-03 08:56:00",29329.0,29329.5,29305.0,29306.25,10031.0
"2026-09-03 08:57:00",29306.25,29316.75,29296.75,29298.25,6580.0
"2026-09-03 08:58:00",29298.25,29322.5,29297.0,29320.25,5116.0
"2026-09-03 08:59:00",29320.25,29343.0,29311.5,29332.25,5176.0
"2026-09-03 09:00:00",29332.25,29335.5,29277.0,29285.0,12796.0
"2026-09-03 09:01:00",29286.0,29287.5,29262.0,29265.0,12540.0
"2026-09-03 09:02:00",29265.25,29278.25,29250.0,29278.25,10022.0
"2026-09-03 09:03:00",29278.5,29291.75,29263.75,29291.5,8880.0
"2026-09-03 09:04:00",29291.75,29292.0,29261.25,29267.5,7033.0
"2026-09-03 09:05:00",29267.5,29283.0,29258.25,29282.75,7098.0
"2026-09-03 09:06:00",29283.0,29283.75,29262.25,29279.25,5221.0
"2026-09-03 09:07:00",29279.5,29282.5,29252.25,29253.5,6097.0
"2026-09-03 09:08:00",29252.75,29259.25,29241.5,29256.5,10013.0
"2026-09-03 09:09:00",29256.25,29273.0,29249.25,29267.5,6924.0
"2026-09-03 09:10:00",29267.75,29276.75,29249.5,29261.0,7385.0
"2026-09-03 09:11:00",29260.5,29287.75,29252.75,29287.75,6728.0
"2026-09-03 09:12:00",29287.5,29299.75,29277.25,29286.75,9503.0
"2026-09-03 09:13:00",29286.75,29298.25,29273.25,29285.75,6524.0
"2026-09-03 09:14:00",29286.0,29303.75,29286.0,29301.5,5807.0
"2026-09-03 09:15:00",29301.0,29325.5,29295.5,29315.25,11483.0
"2026-09-03 09:16:00",29315.25,29324.25,29307.5,29315.75,6058.0
"2026-09-03 09:17:00",29315.75,29329.25,29309.25,29326.5,5605.0
"2026-09-03 09:18:00",29327.0,29327.75,29314.75,29319.75,3759.0
"2026-09-03 09:19:00",29320.25,29349.5,29319.5,29342.75,8499.0
"2026-09-03 09:20:00",29343.5,29360.0,29342.25,29348.0,8048.0
"2026-09-03 09:21:00",29348.75,29351.75,29328.0,29333.5,7119.0
"2026-09-03 09:22:00",29332.75,29351.75,29332.25,29347.75,5119.0
"2026-09-03 09:23:00",29348.25,29363.75,29348.0,29354.25,6597.0
"2026-09-03 09:24:00",29354.75,29362.5,29349.0,29350.75,3856.0
"2026-09-03 09:25:00",29350.5,29353.5,29327.5,29344.75,7923.0
"2026-09-03 09:26:00",29345.25,29359.0,29340.0,29348.25,6089.0
"2026-09-03 09:27:00",29348.25,29361.75,29345.5,29361.75,4110.0
"2026-09-03 09:28:00",29361.75,29364.75,29345.5,29350.0,5063.0
"2026-09-03 09:29:00",29349.5,29355.0,29343.0,29343.25,3051.0
"2026-09-03 09:30:00",29342.75,29360.5,29337.75,29355.75,6163.0
