ct_CT,event,source,detail
2026-09-03 08:00:54,NY scheduled read (planner_read_facts id=4),db,"void=16 floor=43.52pts atr5m=29.02 regime=up/NORMAL"
2026-09-03 08:36:54,NY read behind plan v2 (planner_read_facts id=6),db,"void=14 floor=54.61pts atr5m=36.41 mult=1.5 regime=up/NORMAL scope=1m x2000 since=1788386400000 (2026-09-02 17:00 CT)"
2026-09-03 08:45:05,plan 2026-09-03:NY version 2 written,db plans.created_at (UTC 13:45:05),"S1 short 29285 stop 29340 target 29144.50 arm.enabled=true wait_confirm=true"
2026-09-03 09:02:54,arm stop composed 29354.91 (1.5xATR5m 46.61) authored 29340 WIDENED,log,"anchor ONH 29293.00 -> 29293.50; bound=atr_floor"
2026-09-03 09:02:54,armed_orders id=35 created; limit placed,log+db,"short limit 29285.00 SL 29354.91 TP 29144.50 signal f2b1eb20 band +/-100t"
2026-09-03 09:03:00-09:04:00,1m bar high 29291.75 >= 29285 -> limit fills,bars,"09:03 bar O29278.50 H29291.75 L29263.75 C29291.50"
2026-09-03 09:03:54,reconcile sees UNTRACKED NT8 SHORT @29285.00,log reconcile.go:395,"60s grace started"
2026-09-03 09:05:14,reconcile MATERIALIZES position 591,log reconcile.go:436 + db,"entry_time stamped = materialization time 1788444314627, NOT the fill"
2026-09-03 09:05:35,arm stop recomputed 29351.63 and WRITTEN to armed_orders.stop_px,log+db,"NT8 bracket NOT modified (no churn-guard line)"
2026-09-03 09:05:35,armed fill S1 recognised by the executor,log,"entry_class=armed_fill; order_update frames=1"
2026-09-03 09:06:54..09:15:01,5 phantom re-logs of the S1 arm (row already terminal),log,"stops 29352.65 29354.44 29352.40 29354.86 29350.67 - nothing placed"
2026-09-03 09:15:31,plan version 3 written,db,
2026-09-03 09:19:00,1m bar high 29349.50 (authored stop 29340 would have hit here),bars,"-55 pts = $-110"
2026-09-03 09:20:00-09:21:00,1m bar O29343.50 H29360.00 L29342.25 C29348.00,bars,"stop 29354.91 -> RoundToTick 0.25 = 29355.00 filled inside this bar"
2026-09-03 09:20:45,exit @29355.00 reason=sl pnl=-140.00,log close_sync.go:180/196 + db,"tick-exact; trader_fills id=433 nt8-exit-591"
2026-09-03 09:20:45,re-entry cooldown armed MNQ SHORT stop=29355.00,log close_sync.go:206,
2026-09-03 09:20:47,adherence graded D (off-plan) cited='' matched=false,log,"contradicts the row's later grade A"
2026-09-03 09:20:47,armed_orders id=36 (S2 short 29351.05) created AND cancelled,log+db,"price 29358.75 already above entry - marketable, never placed"
2026-09-03 09:21:28..12:22:44,92 consecutive AI decisions = wait,db decision_records,"ids 37078..37169"
2026-09-03 09:21:28..09:42:54,13 phantom re-logs of the S2 arm (row 36 terminal),log,"MANUAL-CANCEL-WINS declines same-version re-arm"
2026-09-03 10:30:29..11:15:01,12 planner wakes SKIPPED on the class-47 30m cooldown,log,"n=4..15; price ran 29367 -> 29538 in this window"
2026-09-03 11:58:33,armed_orders id=37 (S3 short 29543.75) created + placed,log+db,"signal 43512e1d"
2026-09-03 12:15:00,plan v7 DORMANT - death 2x5m close below 29502.25,log,"entries blocked"
2026-09-03 12:15:01,arm 37 cancelled ('cancelled in NT8') + 'armed cancel: no active plan - 1 order(s) disarmed',log+db,
2026-09-03 12:22:44,LAST decision cycle of the process,db,"cycle 27247"
2026-09-03 12:22:44..14:18:24,PROCESS DOWN (1h55m),log boot banners,"no cycles at all"
2026-09-03 13:15:00,session-day HIGH 29585.00,bars,"bot was down"
2026-09-03 14:18:27..15:xx,28 cycles skipped 'no balance frame yet (equity 0)',log,"NY last-entry 14:30 / flat 14:45 passed with the bot blind"
2026-09-03 15:02:19,adherence regrade cleared 4 stuck D grades incl. 591,log store/adherence_regrade.go:88,"backup 20260903-150218.db"
2026-09-03 15:04:18,591 regraded A; excursion re-run reported 'no 1m coverage' -> trade_excursions still 0 rows,log,"trader_positions.mae/mfe 75.00/43.50 survive from the 09:20:47 pass"
