plan_id,version,trade_date,session,trigger_reason,trigger_class,created_ct,degraded,scenario_id,side,entry,stop,target,condition_text,condition_ever_true,first_true_ct,followed_by_arm,bias_ai,bias_tree,bias_regime,session_direction
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,level_event  [seated OB(bear)·4h invalidated: close 29050.50 above 28711.25 (noise 4.30) on ASIA 2026-09-01],wake+change,2026-09-01 23:58:16,0,S1,long,29044,29025,29099.85,[reject] Price touches 29044.00 (SWG-L·15m) and rejects upward | confirm: touch ref=29044 side=below,YES,2026-09-02 00:02:00,arm#29 cancelled @2026-09-01 23:21:03 (no order_update within stale window (reconnect/reconcile)),doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,level_event  [seated OB(bear)·4h invalidated: close 29050.50 above 28711.25 (noise 4.30) on ASIA 2026-09-01],wake+change,2026-09-01 23:58:16,0,S2,long,,,,[reclaim] Price reclaims 29062.75 (OR-L) with a 5m close above | confirm: 1x5m_close ref=29062.75 side=above,YES,2026-09-02 00:10:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,level_event  [seated OB(bear)·4h invalidated: close 29050.50 above 28711.25 (noise 4.30) on ASIA 2026-09-01],wake+change,2026-09-01 23:58:16,0,S3,long,29068.05,29044,29131.66,[reject] Price touches 29068.05 (VWAP−1σ) and rejects upward | confirm: touch ref=29068.05 side=below,YES,2026-09-02 00:14:00,arm#31 cancelled @2026-09-02 00:16:32 (no order_update within stale window (reconnect/reconcile)) ; decision open_long @2026-09-02 00:17:45 EXECUTED,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,level_event  [seated Supply·4h (HTF) invalidated: close 29058.75 above 29029.88 (noise 4.17) on ASIA 2026-09-01],wake+change,2026-09-02 00:19:46,0,S1,long,,,,[sweep_reclaim] Sweep of ONL 29035.25 followed by a 5m close back above 29035.25; entry on that reclaim close. | confirm: touch ref=29035.25 side=below | confirm2: 1x5m_close ref=29035.25 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,level_event  [seated Supply·4h (HTF) invalidated: close 29058.75 above 29029.88 (noise 4.17) on ASIA 2026-09-01],wake+change,2026-09-02 00:19:46,0,S2,long,,,,"[reclaim] After a dip back under PDC 29058.75, a 5m close back above 29058.75; entry on that close. | confirm: 1x5m_close ref=29058.75 side=above",YES,2026-09-02 00:20:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,level_event  [seated Supply·4h (HTF) invalidated: close 29058.75 above 29029.88 (noise 4.17) on ASIA 2026-09-01],wake+change,2026-09-02 00:19:46,0,S3,long,,,,[breakout_retest] A 5m close above VWAP 29097.88 followed by a retest of 29097.88 that holds; entry at the retest or stop-entry. | confirm: touch ref=29097.88 side=above,YES,2026-09-02 00:30:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-01,ASIA,"rearmed:2x5m close back above 29035.25 (buffer 0.5×ATR14, 2× 5m closes)",rearm(lifecycle-marker overwrote authoring trigger),2026-09-02 00:47:12,0,S1,long,,,,"[sweep_reclaim] Price sweeps ONL 29035.25 with a wick below, then closes back above it | confirm: touch ref=29035.25 side=below | confirm2: 1x5m_close ref=29035.25 side=above",YES,2026-09-02 01:17:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-01,ASIA,"rearmed:2x5m close back above 29035.25 (buffer 0.5×ATR14, 2× 5m closes)",rearm(lifecycle-marker overwrote authoring trigger),2026-09-02 00:47:12,0,S2,long,,,,[reclaim] Pullback to PDC 29058.75 and 5m close back above it | confirm: 1x5m_close ref=29058.75 side=above,YES,2026-09-02 00:45:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,LONDON,planner_fail_closed,fail-closed,2026-09-02 01:37:44,0,S0,long,,,,[hold] none,N/A,,none,doc.bias=neutral/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-01,ASIA,level_event  [seated OB(bull)·1h invalidated: close 29072.50 below 29085.00 (noise 4.91) on ASIA 2026-09-01],wake+change,2026-09-02 01:51:21,0,S1,long,,,,"[sweep_reclaim] Price sweeps 29016.50 ONL, wicks below, then closes back above on 5m (reclaim close on decision TF). | confirm: touch ref=29016.5 side=below | confirm2: 1m_mss ref=29016.5 side=above",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-01,ASIA,level_event  [seated OB(bull)·1h invalidated: close 29072.50 below 29085.00 (noise 4.91) on ASIA 2026-09-01],wake+change,2026-09-02 01:51:21,0,S2,short,29317.25,29342,29212.5,[reject] Price rallies into 29317.25 RTH-H and rejects with a 5m close back below the level. | confirm: touch ref=29317.25 side=above,NO,,decision open_long @2026-09-02 01:51:52 BLOCKED:last_entry_cutoff: past last-entry 01:45 CT (ASIA),doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","DOWN -60.50 (29137.25->29076.75, n=540m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,owner_reset,owner,2026-09-02 07:15:26,0,S1,long,,,,[sweep_reclaim] Price trades below 29001.75 PDL (sweep) and then prints a 5m close back above 29001.75 (reclaim). | confirm: touch ref=29001.75 side=below | confirm2: 1x5m_close ref=29001.75 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,owner_reset,owner,2026-09-02 07:15:26,0,S2,long,,,,"[breakout_retest] Price breaks above 29171.25 ONH on the 5m, then pulls back to touch 29171.25 as support. | confirm: touch ref=29171.25 side=above",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,owner_reset,owner,2026-09-02 07:15:26,0,S3,short,29317.25,29345.25,29246.25,"[reject] Price rallies into 29317.25 RTH-H, wicks above it, and rejects without a 5m close above. | confirm: touch ref=29317.25 side=above",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29123.75 below 29246.25 (noise 6.35) on LONDON 2026-09-02],wake+change,2026-09-02 07:21:59,0,S1,long,,,,[hold] Dips to 29117.48 VWAP+1σ and holds above it; entry on the hold with a 1x5m close above 29117.48 as fallback. | confirm: time_hold ref=29117.48 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29123.75 below 29246.25 (noise 6.35) on LONDON 2026-09-02],wake+change,2026-09-02 07:21:59,0,S2,long,,,,[reclaim] Undercut of 29058.75 PDC followed by a 1x5m close back above 29058.75. | confirm: 1x5m_close ref=29058.75 side=above,YES,2026-09-02 07:20:00,decision open_long @2026-09-02 07:41:06 EXECUTED,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29123.75 below 29246.25 (noise 6.35) on LONDON 2026-09-02],wake+change,2026-09-02 07:21:59,0,S3,long,,,,[breakout_retest] Thrust through 29171.25 ONH then pullback to 29171.25; a 1x5m close above 29171.25 validates the break-retest. | confirm: 1x5m_close ref=29171.25 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29123.75 below 29246.25 (noise 6.35) on LONDON 2026-09-02],wake+change,2026-09-02 07:21:59,0,S4,short,29317.25,29350,29246.25,"[reject] First touch of 29317.25 RTH-H from below; short on the touch, structure stop beyond 29324.50. | confirm: touch ref=29317.25 side=below",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29123.75 below 29246.25 (noise 6.35) on LONDON 2026-09-02],wake+change,2026-09-02 07:21:59,0,S5,long,,,,[sweep_reclaim] Re-test of 28927.25 ONL: a sweep below 28927.25 (touch) then a 5m close back above 28927.25; leg-2 is a 1m_mss above 28927.25. | confirm: touch ref=28927.25 side=below | confirm2: 1m_mss ref=28927.25 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29107.75 below 29246.25 (noise 6.48) on LONDON 2026-09-02],wake+change,2026-09-02 07:44:03,0,S1,long,,,,"[reclaim] Pullback to VWAP 29066.56 holds; wick below 29066.56, then 5m close back above 29066.56 | confirm: 1x5m_close ref=29066.56 side=above",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29107.75 below 29246.25 (noise 6.48) on LONDON 2026-09-02],wake+change,2026-09-02 07:44:03,0,S2,long,,,,"[sweep_reclaim] Sweep below ONL 28927.25, then 5m close back above 28927.25 | confirm: touch ref=28927.25 side=below | confirm2: 1x5m_close ref=28927.25 side=above",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29107.75 below 29246.25 (noise 6.48) on LONDON 2026-09-02],wake+change,2026-09-02 07:44:03,0,S3,long,29001.75,28927.25,29171.25,[reject] First touch of RTH-L 29001.75 rejects back up; no 5m close below 29001.75 | confirm: touch ref=29001.75 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
