ts_ct,side,sl_dist_pts,mult,atr5m,threshold_pts,gate_correct,px_at_refusal,mfe30_pts,mae30_pts,mfe60_pts,mae60_pts
2026-09-03 11:48:22,long,42.8,1.5,30.7,46.05,YES,29527.5,20.5,41.0,20.5,51.5
2026-09-03 19:10:58,short,14.5,1.5,10.7,16.05,YES,29510.75,5.75,20.75,5.75,31.25
2026-09-03 19:15:17,short,15.5,1.5,10.7,16.05,YES,29508.75,0.25,29.5,0.25,33.25
2026-09-03 20:37:19,short,16.0,1.5,11.1,16.65,YES,29540.5,17.25,8.5,17.25,26.25
2026-09-03 20:40:45,short,16.2,1.5,11.2,16.80,YES,29539.75,16.5,9.25,16.5,27.0
2026-09-03 20:41:43,short,16.0,1.5,11.2,16.80,YES,29538.25,15.0,11.75,15.0,28.5
2026-09-03 20:43:12,short,9.2,1.5,11.2,16.80,YES,29539.5,16.25,14.0,16.25,27.25
2026-09-03 20:51:30,short,17.2,1.5,11.6,17.40,YES,29527.75,4.5,25.75,4.5,39.0
2026-09-03 20:57:31,short,17.2,1.5,11.8,17.70,YES,29542.25,5.25,14.25,5.25,26.25
2026-09-03 21:08:02,short,5.2,1.5,12.7,19.05,YES,29542.0,0.5,24.75,0.5,26.5
2026-09-02 07:27:51,long,22.2,1.0,29.8,29.80,YES,29108.0,5.75,73.5,5.75,75.0
2026-09-02 08:36:05,long,40.2,1.5,27.3,40.95,YES,29051.25,67.75,34.0,160.5,34.0
2026-09-02 09:27:13,long,34.8,1.5,37.4,56.10,YES,29177.75,34.0,57.5,34.0,71.5
2026-09-02 09:33:16,long,26.5,1.5,37.1,55.65,YES,29188.5,23.25,82.25,23.25,82.25
2026-09-02 09:40:09,long,22.0,1.5,37.0,55.50,YES,29193.75,9.0,87.5,14.75,87.5
2026-09-02 10:34:48,long,26.0,1.5,34.8,52.20,YES,29192.0,10.5,56.25,10.5,56.25
2026-09-02 10:36:09,long,50.8,1.5,34.8,52.20,YES,29200.0,0.0,64.25,0.0,64.25
2026-09-02 10:50:49,long,40.0,1.5,32.2,48.30,YES,29139.75,58.25,3.75,58.25,3.75
2026-09-02 17:47:43,short,21.5,1.5,17.3,25.95,YES,29188.0,20.5,1.25,21.0,30.25
2026-09-02 18:48:13,short,15.0,1.5,12.8,19.20,YES,29205.75,58.25,6.5,64.5,6.5
2026-09-02 18:49:46,short,17.8,1.5,12.8,19.20,YES,29204.75,57.25,7.5,63.5,7.5
2026-09-02 18:52:04,short,16.8,1.5,14.1,21.15,YES,29208.0,66.75,1.25,66.75,1.25
2026-09-02 18:55:11,short,18.2,1.5,14.1,21.15,YES,29204.75,63.5,3.5,63.5,3.5
2026-09-02 18:57:02,short,18.5,1.5,13.8,20.70,YES,29203.0,61.75,5.0,61.75,5.0
2026-09-02 18:57:41,short,20.2,1.5,13.8,20.70,YES,29203.0,61.75,5.0,61.75,5.0
2026-09-02 18:58:38,short,20.5,1.5,13.8,20.70,YES,29207.25,66.0,-0.25,66.0,-0.25
2026-09-02 18:59:36,short,20.0,1.5,13.8,20.70,YES,29200.5,59.25,1.25,59.25,1.25
2026-09-03 02:12:19,short,24.8,1.5,23.5,35.25,YES,29194.0,14.75,48.5,14.75,99.0
2026-09-03 02:18:29,short,30.2,1.5,23.0,34.50,YES,29201.5,22.25,44.25,22.25,91.5
2026-09-03 02:23:14,short,21.5,1.5,22.4,33.60,YES,29210.5,31.25,35.25,31.25,82.5
2026-09-03 02:24:41,short,32.8,1.5,22.4,33.60,YES,29207.0,27.75,38.75,27.75,86.0
2026-09-03 02:34:25,short,25.0,1.5,22.4,33.60,YES,29216.0,33.0,63.0,33.0,77.0
2026-09-03 02:35:28,short,33.0,1.5,22.4,33.60,YES,29202.25,19.25,79.0,19.25,90.75
2026-09-03 08:34:34,short,20.0,1.5,31.5,47.25,YES,29253.75,54.5,121.5,54.5,121.5
