window_start_ct,window_end_ct,open,close,move_pts,direction
2026-09-03 00:00,2026-09-03 00:15,29207.75,29148.50,-59.25,DOWN
2026-09-03 00:15,2026-09-03 00:30,29148.00,29103.00,-45.00,DOWN
2026-09-03 00:45,2026-09-03 01:00,29142.00,29188.75,+46.75,UP
2026-09-03 04:45,2026-09-03 05:00,29177.00,29137.00,-40.00,DOWN
2026-09-03 07:30,2026-09-03 07:45,29145.25,29189.75,+44.50,UP
2026-09-03 07:45,2026-09-03 08:00,29189.50,29244.50,+55.00,UP
2026-09-03 08:30,2026-09-03 08:45,29249.50,29345.25,+95.75,UP
2026-09-03 09:15,2026-09-03 09:30,29301.00,29343.25,+42.25,UP
2026-09-03 09:30,2026-09-03 09:45,29342.75,29283.75,-59.00,DOWN
2026-09-03 09:45,2026-09-03 10:00,29283.75,29363.25,+79.50,UP
2026-09-03 10:00,2026-09-03 10:15,29363.50,29465.00,+101.50,UP
2026-09-03 10:15,2026-09-03 10:30,29464.75,29535.50,+70.75,UP
