id,side,quantity,entry_ct,exit_ct,entry_price,exit_price,pnl_corrected,close_reason,source,plan_id,plan_version,plan_session,cited_scenario_id,adherence_grade
581,SHORT,1.0,"2026-09-01 02:52:44","2026-09-01 03:06:33",29466.0,29370.75,190.5,sync,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S1,A
582,SHORT,1.0,"2026-09-01 05:23:28","2026-09-01 06:05:34",29246.75,29182.0,129.5,sync,armed_entry,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S2,D
583,LONG,1.0,"2026-09-01 06:35:04","2026-09-01 06:56:47",29213.25,29172.0,-82.5,sync,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S2,B
584,SHORT,1.0,"2026-09-01 08:36:47","2026-09-01 08:38:19",29138.0,29085.0,106.0,sync,reconcile,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,S2,A
585,SHORT,1.0,"2026-09-01 09:31:08","2026-09-01 09:40:40",29182.0,29220.75,-77.5,sync,armed_entry,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S1,C
586,LONG,1.0,"2026-09-01 13:33:06","2026-09-01 13:41:14",29082.75,29055.75,-54.0,sync,reconcile,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S3,A
587,LONG,1.0,"2026-09-02 00:17:44","2026-09-02 01:03:41",29079.25,29048.0,-62.5,sync,system,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,ASIA,S3,B
588,LONG,1.0,"2026-09-02 07:41:05","2026-09-02 07:51:38",29082.5,29050.0,-65.0,sync,system,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S2,B
589,LONG,1.0,"2026-09-02 09:41:04","2026-09-02 09:59:27",29192.5,29115.0,-155.0,sync,system,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S3,A
590,LONG,1.0,"2026-09-02 10:37:17","2026-09-02 10:49:30",29193.25,29143.75,-99.0,sync,system,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S4,A
591,SHORT,1.0,"2026-09-03 09:05:14","2026-09-03 09:20:45",29285.0,29355.0,-140.0,sync,reconcile,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S1,A
