id,state,scenario,created_at,updated_at,c_off,u_off,c_utc,u_utc
1,cancelled,TEST-E2,"2026-08-27 16:31:36.481266909+00:00","2026-08-27 16:32:11.475432751+00:00",+00:00,+00:00,"2026-08-27 16:31:36","2026-08-27 16:32:11"
2,cancelled,TEST-E2,"2026-08-27 18:31:15.300086528+00:00","2026-08-27 18:31:42.44976647+00:00",+00:00,+00:00,"2026-08-27 18:31:15","2026-08-27 18:31:42"
3,cancelled,TEST-E2,"2026-08-27 18:39:45.231616923+00:00","2026-08-27 18:46:41.585305571+00:00",+00:00,+00:00,"2026-08-27 18:39:45","2026-08-27 18:46:41"
4,cancelled,TEST-E2,"2026-08-27 18:42:40.387592959+00:00","2026-08-27 18:43:13.789122185+00:00",+00:00,+00:00,"2026-08-27 18:42:40","2026-08-27 18:43:13"
5,filled,S1,"2026-08-27 23:52:52.930552439-05:00","2026-08-28 06:43:06.656280334+00:00",-05:00,+00:00,"2026-08-28 04:52:52","2026-08-28 06:43:06"
6,filled,S1,"2026-08-28 06:37:42.088393691-05:00","2026-08-28 13:27:26.791150278+00:00",-05:00,+00:00,"2026-08-28 11:37:42","2026-08-28 13:27:26"
7,cancelled,S4,"2026-08-28 07:36:16.423266936-05:00","2026-08-28 13:30:01.127960786+00:00",-05:00,+00:00,"2026-08-28 12:36:16","2026-08-28 13:30:01"
8,cancelled,S2,"2026-08-28 08:17:25.701957864-05:00","2026-08-28 13:30:01.237063328+00:00",-05:00,+00:00,"2026-08-28 13:17:25","2026-08-28 13:30:01"
9,filled,S1,"2026-08-28 08:35:27.681653187-05:00","2026-08-28 18:07:07.804403025+00:00",-05:00,+00:00,"2026-08-28 13:35:27","2026-08-28 18:07:07"
10,filled,S2,"2026-08-28 12:07:01.395121704-05:00","2026-08-28 17:59:07.105020866+00:00",-05:00,+00:00,"2026-08-28 17:07:01","2026-08-28 17:59:07"
11,cancelled,S3,"2026-08-28 12:07:01.395121704-05:00","2026-08-28 19:45:21.354931456+00:00",-05:00,+00:00,"2026-08-28 17:07:01","2026-08-28 19:45:21"
12,cancelled,S4,"2026-08-30 17:25:01.029309272-05:00","2026-08-30 22:36:53.215282022+00:00",-05:00,+00:00,"2026-08-30 22:25:01","2026-08-30 22:36:53"
13,cancelled,S3,"2026-08-30 19:50:01.024513137-05:00","2026-08-30 23:10:36.529773375-05:00",-05:00,-05:00,"2026-08-31 00:50:01","2026-08-31 04:10:36"
