ct,plan_version,authored_stop,entry_px,chosen_stop,anchor_label,anchor_price,anchor_stop,atr_floor,mult,atr5m,bound,phase_vs_arm35
08:30:54,1,29289.00,29259.67,29307.93,"ONH 29293.00 → beyond 29293.50",,,29307.93,1.5,32.17,atr_floor,before_arm35_created
08:32:54,1,29289.00,29259.67,29309.78,"ONH 29293.00 → beyond 29293.50",,,29309.78,1.5,33.40,atr_floor,before_arm35_created
08:35:20,1,29289.00,29259.67,29308.82,"ONH 29293.00 → beyond 29293.50",,,29308.82,1.5,32.77,atr_floor,before_arm35_created
08:36:54,1,29289.00,29259.67,29314.28,"ONH 29293.00 → beyond 29293.50",,,29314.28,1.5,36.41,atr_floor,before_arm35_created
08:40:01,1,29289.00,29259.67,29317.13,"ONH 29293.00 → beyond 29293.50",,,29317.13,1.5,38.30,atr_floor,before_arm35_created
08:40:54,1,29289.00,29259.67,29320.02,"ONH 29293.00 → beyond 29293.50",,,29320.02,1.5,40.23,atr_floor,before_arm35_created
08:42:54,1,29289.00,29259.67,29321.63,"ONH 29293.00 → beyond 29293.50",,,29321.63,1.5,41.30,atr_floor,before_arm35_created
08:46:54,2,29340.00,29285.00,29346.07,"ONH 29293.00 → beyond 29293.50",,,29346.07,1.5,40.71,atr_floor,before_arm35_created
08:48:54,2,29340.00,29285.00,29346.47,"ONH 29293.00 → beyond 29293.50",,,29346.47,1.5,40.98,atr_floor,before_arm35_created
08:50:54,2,29340.00,29285.00,29345.52,"ONH 29293.00 → beyond 29293.50",,,29345.52,1.5,40.35,atr_floor,before_arm35_created
08:52:54,2,29340.00,29285.00,29346.40,"ONH 29293.00 → beyond 29293.50",,,29346.40,1.5,40.94,atr_floor,before_arm35_created
08:55:01,2,29340.00,29285.00,29344.69,"ONH 29293.00 → beyond 29293.50",,,29344.69,1.5,39.79,atr_floor,before_arm35_created
08:56:54,2,29340.00,29285.00,29349.32,"ONH 29293.00 → beyond 29293.50",,,29349.32,1.5,42.88,atr_floor,before_arm35_created
08:58:54,2,29340.00,29285.00,29350.42,"ONH 29293.00 → beyond 29293.50",,,29350.42,1.5,43.61,atr_floor,before_arm35_created
09:00:54,2,29340.00,29285.00,29349.90,"ONH 29293.00 → beyond 29293.50",,,29349.90,1.5,43.27,atr_floor,before_arm35_created
09:02:54,2,29340.00,29285.00,29354.91,"ONH 29293.00 → beyond 29293.50",,,29354.91,1.5,46.61,atr_floor,arm35_resting
09:05:35,2,29340.00,29285.00,29351.63,"ONH 29293.00 → beyond 29293.50",,,29351.63,1.5,44.42,atr_floor,arm35_resting
09:06:54,2,29340.00,29285.00,29352.65,"ONH 29293.00 → beyond 29293.50",,,29352.65,1.5,45.10,atr_floor,AFTER_fill_0905:14
09:08:54,2,29340.00,29285.00,29354.44,"ONH 29293.00 → beyond 29293.50",,,29354.44,1.5,46.29,atr_floor,AFTER_fill_0905:14
09:10:54,2,29340.00,29285.00,29352.40,"ONH 29293.00 → beyond 29293.50",,,29352.40,1.5,44.93,atr_floor,AFTER_fill_0905:14
09:12:54,2,29340.00,29285.00,29354.86,"ONH 29293.00 → beyond 29293.50",,,29354.86,1.5,46.58,atr_floor,AFTER_fill_0905:14
09:15:01,2,29340.00,29285.00,29350.67,"ONH 29293.00 → beyond 29293.50",,,29350.67,1.5,43.78,atr_floor,AFTER_fill_0905:14
