arm_ct,session,scenario,leg_log,leg_index,limit,signal,armed_rows_now,pos_entry_order,fills_rows,slot_row_id,slot_created_at_now,slot_signal_now,verdict
2026-09-01 02:55:29,LONDON,S1,1,0,29477.00,ca315135,1,,0,23,2026-09-01 02:55:29,ca315135,survives
2026-09-01 04:55:29,LONDON,S2,1,0,29246.75,0c77307d,0,pos582 +129.5,1,24,2026-09-01 07:57:28,6b5b89c6,OVERWRITTEN (was filled)
2026-09-01 07:57:28,LONDON,S2,1,0,29138.00,6b5b89c6,1,pos584 +106.0,1,24,2026-09-01 07:57:28,6b5b89c6,survives
2026-09-01 08:55:08,NY,S2,1,0,29137.29,fd71b48f,0,,0,26,2026-09-01 13:05:06,(empty),OVERWRITTEN (was cancelled)
2026-09-01 09:21:08,NY,S1,1,0,29182.00,18a7cc55,0,pos585 -77.5,1,27,2026-09-01 11:27:07,(empty),OVERWRITTEN (was filled)
2026-09-01 13:31:06,NY,S3,1,0,29082.75,d5fed440,1,pos586 -54.0,1,28,2026-09-01 13:31:06,d5fed440,survives
2026-09-01 23:21:03,ASIA,S1,1,0,29035.25,d00abc07,1,,0,29,2026-09-01 23:21:03,d00abc07,survives
2026-09-01 23:51:02,ASIA,S1,2,1,29035.25,c86c5cd0,1,,0,30,2026-09-01 23:49:02,c86c5cd0,survives
2026-09-02 00:16:32,ASIA,S3,1,0,29068.05,dc8405f1,1,,0,31,2026-09-02 00:16:32,dc8405f1,survives
2026-09-03 09:02:54,NY,S1,1,0,29285.00,f2b1eb20,1,pos591 -140.0,1,35,2026-09-03 09:02:54,f2b1eb20,survives
2026-09-03 11:58:33,NY,S3,1,0,29543.75,43512e1d,1,,0,37,2026-09-03 11:58:33,43512e1d,survives
