id,ct,cycle_number,trader_id,plan_id,plan_version,cited_scenario_id,action,risk_check_passed,risk_check_error
37304,"2026-09-03 20:35:06",27382,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37305,"2026-09-03 20:37:51",27383,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37306,"2026-09-03 20:39:40",27384,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37307,"2026-09-03 20:42:27",27385,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37308,"2026-09-03 20:43:53",27386,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37310,"2026-09-03 20:49:04",27388,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37311,"2026-09-03 20:52:05",27389,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37313,"2026-09-03 20:54:28",27391,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37315,"2026-09-03 20:58:56",27393,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37318,"2026-09-03 21:03:22",27396,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37319,"2026-09-03 21:06:44",27397,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37320,"2026-09-03 21:09:03",27398,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37322,"2026-09-03 21:12:40",27400,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,open_short,0,"entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
