session,trade_date,version,plan_ct,wake_ct,gap_s,cands_prev_30m,nearest_wake_desc
ASIA,2026-09-01,8,"2026-09-02 00:19:46","2026-09-02 00:13:48",358,2,"seated Supply·4h (HTF) invalidated: close 29058.75 above 29029.88 (noise 4.17)"
ASIA,2026-09-01,10,"2026-09-02 01:51:21","2026-09-02 01:47:47",214,1,"seated OB(bull)·1h invalidated: close 29072.50 below 29085.00 (noise 4.91)"
LONDON,2026-09-02,3,"2026-09-02 07:21:59","2026-09-02 07:15:49",370,1,"seated OB(bull)·4h (HTF) invalidated: close 29123.75 below 29246.25 (noise 6.35)"
LONDON,2026-09-02,4,"2026-09-02 07:44:03","2026-09-02 07:34:15",588,2,"seated OB(bull)·4h (HTF) invalidated: close 29107.75 below 29246.25 (noise 6.48)"
LONDON,2026-09-02,5,"2026-09-02 08:01:50","2026-09-02 07:51:06",644,2,"seated OB(bull)·4h (HTF) invalidated: close 29069.75 below 29246.25 (noise 6.38)"
LONDON,2026-09-02,6,"2026-09-02 08:20:47","2026-09-02 08:12:30",497,2,"seated OB(bull)·1h (HTF) invalidated: close 29040.00 below 29324.50 (noise 6.47)"
NY,2026-09-02,2,"2026-09-02 08:45:28","2026-09-02 08:42:30",178,1,"seated OB(bull)·4h (HTF) invalidated: close 29098.25 below 29246.25 (noise 6.93)"
NY,2026-09-02,3,"2026-09-02 09:21:18","2026-09-02 09:12:30",528,1,"seated OB(bull)·4h (HTF) invalidated: close 29062.50 below 29246.25 (noise 7.95)"
NY,2026-09-02,4,"2026-09-02 09:45:52","2026-09-02 09:42:30",202,1,"seated OB(bull)·4h (HTF) invalidated: close 29187.50 below 29246.25 (noise 8.12)"
NY,2026-09-02,5,"2026-09-02 10:22:33","2026-09-02 10:14:30",483,1,"seated OB(bull)·4h (HTF) invalidated: close 29120.25 below 29246.25 (noise 8.57)"
NY,2026-09-02,6,"2026-09-02 10:50:53","2026-09-02 10:44:30",383,1,"seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.35)"
NY,2026-09-02,7,"2026-09-02 11:20:19","2026-09-02 11:15:00",319,1,"seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.45)"
NY,2026-09-02,8,"2026-09-02 11:47:10","2026-09-02 11:45:00",130,1,"seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.23)"
NY,2026-09-02,9,"2026-09-02 12:25:10","2026-09-02 12:16:30",520,1,"seated OB(bull)·4h (HTF) invalidated: close 29144.75 below 29246.25 (noise 7.16)"
NY,2026-09-02,10,"2026-09-02 13:02:15","2026-09-02 12:48:29",826,1,"seated OB(bull)·4h (HTF) invalidated: close 29158.75 below 29246.25 (noise 6.85)"
NY,2026-09-02,11,"2026-09-02 13:28:36","2026-09-02 13:18:29",607,1,"seated OB(bull)·4h (HTF) invalidated: close 29147.00 below 29246.25 (noise 6.46)"
NY,2026-09-02,12,"2026-09-02 13:56:59","2026-09-02 13:48:29",510,1,"seated OB(bull)·4h (HTF) invalidated: close 29136.50 below 29246.25 (noise 6.56)"
ASIA,2026-09-02,2,"2026-09-02 17:18:29","2026-09-02 17:15:00",209,1,"seated iFVG(bear)·4h (HTF) invalidated: close 29185.50 above 29004.50 (noise 5.28)"
ASIA,2026-09-02,3,"2026-09-02 17:50:56","2026-09-02 17:45:00",356,1,"seated OB(bull)·1h (HTF) invalidated: close 29195.50 below 29324.50 (noise 4.95)"
ASIA,2026-09-02,4,"2026-09-02 18:04:42","2026-09-02 17:53:14",688,2,"seated OB(bull)·1h invalidated: close 29195.50 below 29212.50 (noise 5.12)"
ASIA,2026-09-02,5,"2026-09-02 18:21:05","2026-09-02 18:07:26",819,2,"seated OB(bull)·1h (HTF) invalidated: close 29181.50 below 29324.50 (noise 4.87)"
ASIA,2026-09-02,6,"2026-09-02 18:43:33","2026-09-02 18:29:17",856,1,"seated OB(bull)·1h (HTF) invalidated: close 29172.50 below 29324.50 (noise 4.76)"
ASIA,2026-09-02,7,"2026-09-02 19:02:39","2026-09-02 19:00:23",136,1,"seated OB(bull)·1h invalidated: close 29201.00 below 29212.50 (noise 4.41)"
ASIA,2026-09-02,9,"2026-09-02 20:38:20","2026-09-02 20:33:16",304,1,"seated OB(bull)·1h invalidated: close 29176.00 below 29324.50 (noise 4.51)"
