position_id,entry_ct,exit_ct,side,pnl_corrected,excursion_row,tp_mae,tp_mfe,close_reason,binary_rev_at_trade,writer_present_in_that_rev
581,"2026-09-01 02:52:44","2026-09-01 03:06:33",SHORT,190.5,ABSENT,2.5,73.5,sync,pre-528edd78,no
582,"2026-09-01 05:23:28","2026-09-01 06:05:34",SHORT,129.5,ABSENT,11.25,69.25,sync,pre-528edd78,no
583,"2026-09-01 06:35:04","2026-09-01 06:56:47",LONG,-82.5,ABSENT,43.25,25.0,sync,pre-528edd78,no
584,"2026-09-01 08:36:47","2026-09-01 08:38:19",SHORT,106.0,ABSENT,0.0,58.0,sync,pre-528edd78,no
585,"2026-09-01 09:31:08","2026-09-01 09:40:40",SHORT,-77.5,ABSENT,38.75,0.0,sync,pre-528edd78,no
586,"2026-09-01 13:33:06","2026-09-01 13:41:14",LONG,-54.0,ABSENT,27.5,0.0,sync,pre-528edd78,no
587,"2026-09-02 00:17:44","2026-09-02 01:03:41",LONG,-62.5,ABSENT,33.0,25.75,sync,pre-528edd78,no
588,"2026-09-02 07:41:05","2026-09-02 07:51:38",LONG,-65.0,ABSENT,33.25,0.0,sync,pre-528edd78,no
589,"2026-09-02 09:41:04","2026-09-02 09:59:27",LONG,-155.0,ABSENT,80.5,10.25,sync,pre-528edd78,no
590,"2026-09-02 10:37:17","2026-09-02 10:49:30",LONG,-99.0,ABSENT,49.75,1.0,sync,pre-528edd78,no
591,"2026-09-03 09:05:14","2026-09-03 09:20:45",SHORT,-140.0,ABSENT,75.0,43.5,sync,pre-528edd78,no
