boot_date_ct,boot_time_ct,prev_wake_fire,next_wake_fire,gap_min,early_wake_enabled
09-02,00:01:06,09-01 23:43:02,09-02 00:03:07,20.1,YES
09-02,00:10:20,09-02 00:03:07,09-02 00:13:48,10.7,YES
09-02,00:11:47,09-02 00:03:07,09-02 00:13:48,10.7,YES
09-02,06:27:45,09-02 01:47:47,09-02 07:15:49,328.0,no
09-02,06:57:49,09-02 01:47:47,09-02 07:15:49,328.0,no
09-02,07:32:15,09-02 07:15:49,09-02 07:34:15,18.4,YES
09-02,07:49:06,09-02 07:34:15,09-02 07:51:06,16.9,YES
09-02,08:10:30,09-02 07:51:06,09-02 08:12:30,21.4,YES
09-02,17:51:14,09-02 17:45:00,09-02 17:53:14,8.2,YES
09-02,18:05:26,09-02 17:53:14,09-02 18:07:26,14.2,YES
09-02,18:27:17,09-02 18:07:26,09-02 18:29:17,21.9,YES
09-02,20:42:28,09-02 20:33:16,09-02 20:44:28,11.2,YES
09-02,21:19:21,09-02 21:14:28,09-02 21:21:21,6.9,YES
09-02,21:32:51,09-02 21:21:21,09-02 21:34:52,13.5,YES
09-02,22:37:35,09-02 22:04:51,09-03 00:00:56,116.1,no
09-02,22:41:58,09-02 22:04:51,09-03 00:00:56,116.1,no
09-02,23:24:56,09-02 22:04:51,09-03 00:00:56,116.1,no
09-03,10:28:29,09-03 10:10:54,09-03 10:45:01,34.1,no
09-03,11:10:33,09-03 10:45:01,09-03 11:20:33,35.5,no
09-03,14:18:24,09-03 11:20:33,09-03 18:00:24,399.9,no
09-03,14:59:03,09-03 11:20:33,09-03 18:00:24,399.9,no
09-03,15:02:18,09-03 11:20:33,09-03 18:00:24,399.9,no
09-03,18:08:56,09-03 18:00:24,09-03 18:10:56,10.5,YES
09-03,19:06:06,09-03 18:41:09,09-03 19:18:06,37.0,no
09-03,21:19:00,09-03 20:24:03,,,no_later_fire
09-03,21:48:12,09-03 20:24:03,,,no_later_fire
09-03,23:11:59,09-03 20:24:03,,,no_later_fire
09-03,23:12:54,09-03 20:24:03,,,no_later_fire
