id,atr5m_closed_proxy,closed_5m_blocks,atr_bar_ids,mfe_position_proxy,proxy_reach_2x_floor,held_complete_minutes,missing_inside_minutes,ambiguous_boundary_minutes,initial_R
521,,0,,71.25,,80,80,entry and exit minute not sequenced,
522,,0,,10.25,,15,15,entry and exit minute not sequenced,
523,,0,,79.5,,4,4,entry and exit minute not sequenced,
524,32.75,15,"421655,421656,421657,421658,421659,421650,421651,421652,421653,421654,421645,421646,421647,421648,421649,421640,421641,421642,421643,421644,421635,421636,421637,421638,421639,421630,421631,421632,421633,421634,421625,421626,421627,421628,421629,421620,421621,421622,421623,421624,421615,421616,421617,421618,421619,421610,421611,421612,421613,421614,421605,421606,421607,421608,421609,421600,421601,421602,421603,421604,421595,421596,421597,421598,421599,421590,421591,421592,421593,421594,421585,421586,421587,421588,421589",137.5,True,62,0,entry and exit minute not sequenced,
525,21.26530612244898,16,"422021,422022,422023,422024,422025,422016,422017,422018,422019,422020,422011,422012,422013,422014,422015,422006,422007,422008,422009,422010,422001,422002,422003,422004,422005,421996,421997,421998,421999,422000,421991,421992,421993,421994,421995,421986,421987,421988,421989,421990,421981,421982,421983,421984,421985,421976,421977,421978,421979,421980,421971,421972,421973,421974,421975,421966,421967,421968,421969,421970,421961,421962,421963,421964,421965,421956,421957,421958,421959,421960,421951,421952,421953,421954,421955,421946,421947,421948,421949,421950",19.75,False,36,0,entry and exit minute not sequenced,
526,25.267801485375116,41,"422146,422147,422148,422149,422150,422141,422142,422143,422144,422145,422136,422137,422138,422139,422140,422131,422132,422133,422134,422135,422126,422127,422128,422129,422130,422121,422122,422123,422124,422125,422116,422117,422118,422119,422120,422111,422112,422113,422114,422115,422106,422107,422108,422109,422110,422101,422102,422103,422104,422105,422096,422097,422098,422099,422100,422091,422092,422093,422094,422095,422086,422087,422088,422089,422090,422081,422082,422083,422084,422085,422076,422077,422078,422079,422080,422071,422072,422073,422074,422075,422066,422067,422068,422069,422070,422061,422062,422063,422064,422065,422056,422057,422058,422059,422060,422051,422052,422053,422054,422055,422046,422047,422048,422049,422050,422041,422042,422043,422044,422045,422036,422037,422038,422039,422040,422031,422032,422033,422034,422035,422026,422027,422028,422029,422030,422021,422022,422023,422024,422025,422016,422017,422018,422019,422020,422011,422012,422013,422014,422015,422006,422007,422008,422009,422010,422001,422002,422003,422004,422005,421996,421997,421998,421999,422000,421991,421992,421993,421994,421995,421986,421987,421988,421989,421990,421981,421982,421983,421984,421985,421976,421977,421978,421979,421980,421971,421972,421973,421974,421975,421966,421967,421968,421969,421970,421961,421962,421963,421964,421965,421956,421957,421958,421959,421960,421951,421952,421953,421954,421955,421946,421947,421948,421949,421950",2.75,False,47,0,entry and exit minute not sequenced,
527,24.368111135539326,67,"422276,422277,422278,422279,422280,422271,422272,422273,422274,422275,422266,422267,422268,422269,422270,422261,422262,422263,422264,422265,422256,422257,422258,422259,422260,422251,422252,422253,422254,422255,422246,422247,422248,422249,422250,422241,422242,422243,422244,422245,422236,422237,422238,422239,422240,422231,422232,422233,422234,422235,422226,422227,422228,422229,422230,422221,422222,422223,422224,422225,422216,422217,422218,422219,422220,422211,422212,422213,422214,422215,422206,422207,422208,422209,422210,422201,422202,422203,422204,422205,422196,422197,422198,422199,422200,422191,422192,422193,422194,422195,422186,422187,422188,422189,422190,422181,422182,422183,422184,422185,422176,422177,422178,422179,422180,422171,422172,422173,422174,422175,422166,422167,422168,422169,422170,422161,422162,422163,422164,422165,422156,422157,422158,422159,422160,422151,422152,422153,422154,422155,422146,422147,422148,422149,422150,422141,422142,422143,422144,422145,422136,422137,422138,422139,422140,422131,422132,422133,422134,422135,422126,422127,422128,422129,422130,422121,422122,422123,422124,422125,422116,422117,422118,422119,422120,422111,422112,422113,422114,422115,422106,422107,422108,422109,422110,422101,422102,422103,422104,422105,422096,422097,422098,422099,422100,422091,422092,422093,422094,422095,422086,422087,422088,422089,422090,422081,422082,422083,422084,422085,422076,422077,422078,422079,422080,422071,422072,422073,422074,422075,422066,422067,422068,422069,422070,422061,422062,422063,422064,422065,422056,422057,422058,422059,422060,422051,422052,422053,422054,422055,422046,422047,422048,422049,422050,422041,422042,422043,422044,422045,422036,422037,422038,422039,422040,422031,422032,422033,422034,422035,422026,422027,422028,422029,422030,422021,422022,422023,422024,422025,422016,422017,422018,422019,422020,422011,422012,422013,422014,422015,422006,422007,422008,422009,422010,422001,422002,422003,422004,422005,421996,421997,421998,421999,422000,421991,421992,421993,421994,421995,421986,421987,421988,421989,421990,421981,421982,421983,421984,421985,421976,421977,421978,421979,421980,421971,421972,421973,421974,421975,421966,421967,421968,421969,421970,421961,421962,421963,421964,421965,421956,421957,421958,421959,421960,421951,421952,421953,421954,421955,421946,421947,421948,421949,421950",5.0,False,29,0,entry and exit minute not sequenced,
528,28.276155096604477,100,"422566,422567,422568,422569,422570,422561,422562,422563,422564,422565,422556,422557,422558,422559,422560,422551,422552,422553,422554,422555,422546,422547,422548,422549,422550,422541,422542,422543,422544,422545,422536,422537,422538,422539,422540,422531,422532,422533,422534,422535,422526,422527,422528,422529,422530,422521,422522,422523,422524,422525,422516,422517,422518,422519,422520,422511,422512,422513,422514,422515,422506,422507,422508,422509,422510,422501,422502,422503,422504,422505,422496,422497,422498,422499,422500,422491,422492,422493,422494,422495,422486,422487,422488,422489,422490,422481,422482,422483,422484,422485,422476,422477,422478,422479,422480,422471,422472,422473,422474,422475,422466,422467,422468,422469,422470,422461,422462,422463,422464,422465,422456,422457,422458,422459,422460,422451,422452,422453,422454,422455,422446,422447,422448,422449,422450,422441,422442,422443,422444,422445,422436,422437,422438,422439,422440,422431,422432,422433,422434,422435,422426,422427,422428,422429,422430,422421,422422,422423,422424,422425,422416,422417,422418,422419,422420,422411,422412,422413,422414,422415,422406,422407,422408,422409,422410,422401,422402,422403,422404,422405,422396,422397,422398,422399,422400,422391,422392,422393,422394,422395,422386,422387,422388,422389,422390,422381,422382,422383,422384,422385,422376,422377,422378,422379,422380,422371,422372,422373,422374,422375,422366,422367,422368,422369,422370,422361,422362,422363,422364,422365,422356,422357,422358,422359,422360,422351,422352,422353,422354,422355,422346,422347,422348,422349,422350,422341,422342,422343,422344,422345,422336,422337,422338,422339,422340,422331,422332,422333,422334,422335,422326,422327,422328,422329,422330,422321,422322,422323,422324,422325,422316,422317,422318,422319,422320,422311,422312,422313,422314,422315,422306,422307,422308,422309,422310,422301,422302,422303,422304,422305,422296,422297,422298,422299,422300,422291,422292,422293,422294,422295,422286,422287,422288,422289,422290,422281,422282,422283,422284,422285,422276,422277,422278,422279,422280,422271,422272,422273,422274,422275,422266,422267,422268,422269,422270,422261,422262,422263,422264,422265,422256,422257,422258,422259,422260,422251,422252,422253,422254,422255,422246,422247,422248,422249,422250,422241,422242,422243,422244,422245,422236,422237,422238,422239,422240,422231,422232,422233,422234,422235,422226,422227,422228,422229,422230,422221,422222,422223,422224,422225,422216,422217,422218,422219,422220,422211,422212,422213,422214,422215,422206,422207,422208,422209,422210,422201,422202,422203,422204,422205,422196,422197,422198,422199,422200,422191,422192,422193,422194,422195,422186,422187,422188,422189,422190,422181,422182,422183,422184,422185,422176,422177,422178,422179,422180,422171,422172,422173,422174,422175,422166,422167,422168,422169,422170,422161,422162,422163,422164,422165,422156,422157,422158,422159,422160,422151,422152,422153,422154,422155,422146,422147,422148,422149,422150,422141,422142,422143,422144,422145,422136,422137,422138,422139,422140,422131,422132,422133,422134,422135,422126,422127,422128,422129,422130,422121,422122,422123,422124,422125,422116,422117,422118,422119,422120,422111,422112,422113,422114,422115,422106,422107,422108,422109,422110,422101,422102,422103,422104,422105,422096,422097,422098,422099,422100,422091,422092,422093,422094,422095,422086,422087,422088,422089,422090,422081,422082,422083,422084,422085,422076,422077,422078,422079,422080,422071,422072,422073,422074,422075",48.0,False,104,0,entry and exit minute not sequenced,
529,23.986497141372062,100,"422686,422687,422688,422689,422690,422681,422682,422683,422684,422685,422676,422677,422678,422679,422680,422671,422672,422673,422674,422675,422666,422667,422668,422669,422670,422661,422662,422663,422664,422665,422656,422657,422658,422659,422660,422651,422652,422653,422654,422655,422646,422647,422648,422649,422650,422641,422642,422643,422644,422645,422636,422637,422638,422639,422640,422631,422632,422633,422634,422635,422626,422627,422628,422629,422630,422621,422622,422623,422624,422625,422616,422617,422618,422619,422620,422611,422612,422613,422614,422615,422606,422607,422608,422609,422610,422601,422602,422603,422604,422605,422596,422597,422598,422599,422600,422591,422592,422593,422594,422595,422586,422587,422588,422589,422590,422581,422582,422583,422584,422585,422576,422577,422578,422579,422580,422571,422572,422573,422574,422575,422566,422567,422568,422569,422570,422561,422562,422563,422564,422565,422556,422557,422558,422559,422560,422551,422552,422553,422554,422555,422546,422547,422548,422549,422550,422541,422542,422543,422544,422545,422536,422537,422538,422539,422540,422531,422532,422533,422534,422535,422526,422527,422528,422529,422530,422521,422522,422523,422524,422525,422516,422517,422518,422519,422520,422511,422512,422513,422514,422515,422506,422507,422508,422509,422510,422501,422502,422503,422504,422505,422496,422497,422498,422499,422500,422491,422492,422493,422494,422495,422486,422487,422488,422489,422490,422481,422482,422483,422484,422485,422476,422477,422478,422479,422480,422471,422472,422473,422474,422475,422466,422467,422468,422469,422470,422461,422462,422463,422464,422465,422456,422457,422458,422459,422460,422451,422452,422453,422454,422455,422446,422447,422448,422449,422450,422441,422442,422443,422444,422445,422436,422437,422438,422439,422440,422431,422432,422433,422434,422435,422426,422427,422428,422429,422430,422421,422422,422423,422424,422425,422416,422417,422418,422419,422420,422411,422412,422413,422414,422415,422406,422407,422408,422409,422410,422401,422402,422403,422404,422405,422396,422397,422398,422399,422400,422391,422392,422393,422394,422395,422386,422387,422388,422389,422390,422381,422382,422383,422384,422385,422376,422377,422378,422379,422380,422371,422372,422373,422374,422375,422366,422367,422368,422369,422370,422361,422362,422363,422364,422365,422356,422357,422358,422359,422360,422351,422352,422353,422354,422355,422346,422347,422348,422349,422350,422341,422342,422343,422344,422345,422336,422337,422338,422339,422340,422331,422332,422333,422334,422335,422326,422327,422328,422329,422330,422321,422322,422323,422324,422325,422316,422317,422318,422319,422320,422311,422312,422313,422314,422315,422306,422307,422308,422309,422310,422301,422302,422303,422304,422305,422296,422297,422298,422299,422300,422291,422292,422293,422294,422295,422286,422287,422288,422289,422290,422281,422282,422283,422284,422285,422276,422277,422278,422279,422280,422271,422272,422273,422274,422275,422266,422267,422268,422269,422270,422261,422262,422263,422264,422265,422256,422257,422258,422259,422260,422251,422252,422253,422254,422255,422246,422247,422248,422249,422250,422241,422242,422243,422244,422245,422236,422237,422238,422239,422240,422231,422232,422233,422234,422235,422226,422227,422228,422229,422230,422221,422222,422223,422224,422225,422216,422217,422218,422219,422220,422211,422212,422213,422214,422215,422206,422207,422208,422209,422210,422201,422202,422203,422204,422205,422196,422197,422198,422199,422200,422191,422192,422193,422194,422195",91.0,True,54,0,entry and exit minute not sequenced,
531,38.94764574804636,100,"422881,422882,422883,422884,422885,422876,422877,422878,422879,422880,422871,422872,422873,422874,422875,422866,422867,422868,422869,422870,422861,422862,422863,422864,422865,422856,422857,422858,422859,422860,422851,422852,422853,422854,422855,422846,422847,422848,422849,422850,422841,422842,422843,422844,422845,422836,422837,422838,422839,422840,422831,422832,422833,422834,422835,422826,422827,422828,422829,422830,422821,422822,422823,422824,422825,422816,422817,422818,422819,422820,422811,422812,422813,422814,422815,422806,422807,422808,422809,422810,422801,422802,422803,422804,422805,422796,422797,422798,422799,422800,422791,422792,422793,422794,422795,422786,422787,422788,422789,422790,422781,422782,422783,422784,422785,422776,422777,422778,422779,422780,422771,422772,422773,422774,422775,422766,422767,422768,422769,422770,422761,422762,422763,422764,422765,422756,422757,422758,422759,422760,422751,422752,422753,422754,422755,422746,422747,422748,422749,422750,422741,422742,422743,422744,422745,422736,422737,422738,422739,422740,422731,422732,422733,422734,422735,422726,422727,422728,422729,422730,422721,422722,422723,422724,422725,422716,422717,422718,422719,422720,422711,422712,422713,422714,422715,422706,422707,422708,422709,422710,422701,422702,422703,422704,422705,422696,422697,422698,422699,422700,422691,422692,422693,422694,422695,422686,422687,422688,422689,422690,422681,422682,422683,422684,422685,422676,422677,422678,422679,422680,422671,422672,422673,422674,422675,422666,422667,422668,422669,422670,422661,422662,422663,422664,422665,422656,422657,422658,422659,422660,422651,422652,422653,422654,422655,422646,422647,422648,422649,422650,422641,422642,422643,422644,422645,422636,422637,422638,422639,422640,422631,422632,422633,422634,422635,422626,422627,422628,422629,422630,422621,422622,422623,422624,422625,422616,422617,422618,422619,422620,422611,422612,422613,422614,422615,422606,422607,422608,422609,422610,422601,422602,422603,422604,422605,422596,422597,422598,422599,422600,422591,422592,422593,422594,422595,422586,422587,422588,422589,422590,422581,422582,422583,422584,422585,422576,422577,422578,422579,422580,422571,422572,422573,422574,422575,422566,422567,422568,422569,422570,422561,422562,422563,422564,422565,422556,422557,422558,422559,422560,422551,422552,422553,422554,422555,422546,422547,422548,422549,422550,422541,422542,422543,422544,422545,422536,422537,422538,422539,422540,422531,422532,422533,422534,422535,422526,422527,422528,422529,422530,422521,422522,422523,422524,422525,422516,422517,422518,422519,422520,422511,422512,422513,422514,422515,422506,422507,422508,422509,422510,422501,422502,422503,422504,422505,422496,422497,422498,422499,422500,422491,422492,422493,422494,422495,422486,422487,422488,422489,422490,422481,422482,422483,422484,422485,422476,422477,422478,422479,422480,422471,422472,422473,422474,422475,422466,422467,422468,422469,422470,422461,422462,422463,422464,422465,422456,422457,422458,422459,422460,422451,422452,422453,422454,422455,422446,422447,422448,422449,422450,422441,422442,422443,422444,422445,422436,422437,422438,422439,422440,422431,422432,422433,422434,422435,422426,422427,422428,422429,422430,422421,422422,422423,422424,422425,422416,422417,422418,422419,422420,422411,422412,422413,422414,422415,422406,422407,422408,422409,422410,422401,422402,422403,422404,422405,422396,422397,422398,422399,422400,422391,422392,422393,422394,422395,422386,422387,422388,422389,422390",16.25,False,6,0,entry and exit minute not sequenced,
