plan_row_id,plan_id,version,scenario,created_at,session,condition,enabled,entry,stop,target,rr,target_at_plan_level,target_in_chain
132,2026-08-27:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,2026-08-27 18:50:22.541728778+00:00,NY,reject,True,29611.41,29638,29557.15,2.0406167732229448,True,True
141,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,S1,2026-08-28 02:49:38.209829221+00:00,ASIA,sweep_reclaim,True,29694.69,29710.5,29673.5,1.3402909550915203,True,True
141,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,S2,2026-08-28 02:49:38.209829221+00:00,ASIA,reject,True,29694.69,29704.25,29673.5,2.216527196652279,True,True
142,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,S1,2026-08-28 04:14:29.11870769+00:00,ASIA,reject,True,29676,29692,29643.5,2.03125,True,True
142,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,S2,2026-08-28 04:14:29.11870769+00:00,ASIA,sweep_reclaim,True,29700,29722,29645,2.5,False,False
142,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,S3,2026-08-28 04:14:29.11870769+00:00,ASIA,breakout_retest,True,29638,29650,29615,1.9166666666666667,False,False
143,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,S1,2026-08-28 05:00:39.924313791+00:00,ASIA,sweep_reclaim,True,29667,29681,29625,3.0,False,False
143,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,S2,2026-08-28 05:00:39.924313791+00:00,ASIA,reject,True,29671,29683,29625,3.8333333333333335,False,False
143,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,S3,2026-08-28 05:00:39.924313791+00:00,ASIA,breakout_retest,True,29621,29634,29592,2.230769230769231,False,False
144,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,S2,2026-08-28 05:44:43.231773184+00:00,ASIA,reject,True,29622.5,29631,29591,3.7058823529411766,False,False
144,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,S3,2026-08-28 05:44:43.231773184+00:00,ASIA,breakout_retest,True,29590,29602.5,29570,1.6,False,False
145,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S1,2026-08-28 06:02:44.772419143+00:00,ASIA,reject,True,29621.01,29642,29576.5,2.120533587422344,True,True
145,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S2,2026-08-28 06:02:44.772419143+00:00,ASIA,breakout_retest,True,29591.5,29621.01,29539.38,1.7661809556083297,True,True
145,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S3,2026-08-28 06:02:44.772419143+00:00,ASIA,sweep_reclaim,True,29424,29316.38,29576.5,1.4170228582048081,True,True
146,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,S1,2026-08-28 06:43:10.839025101+00:00,ASIA,reject,True,29618.47,29624,29611,1.3508137432193015,True,True
146,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,S3,2026-08-28 06:43:10.839025101+00:00,ASIA,reject,True,29642,29647,29618.47,4.705999999999767,True,True
147,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,2026-08-28 07:13:44.000374867+00:00,LONDON,reject,True,29640,29650,29619.5,2.05,True,True
147,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,2026-08-28 07:13:44.000374867+00:00,LONDON,sweep_reclaim,True,29676,29712.5,29642,0.9315068493150684,True,True
147,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S3,2026-08-28 07:13:44.000374867+00:00,LONDON,breakout_retest,True,29589,29598,29576.5,1.3888888888888888,True,True
148,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-28 11:36:41.146595211+00:00,LONDON,sweep_reclaim,True,29642,29658,29606.02,2.2487499999999727,True,True
149,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-28 12:26:52.585521637+00:00,LONDON,reject,True,29662.13,29678.25,29577.75,5.234491315136871,True,True
149,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-08-28 12:26:52.585521637+00:00,LONDON,sweep_reclaim,True,29707.5,29722.62,29678.25,1.9345238095239399,True,True
149,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,2026-08-28 12:26:52.585521637+00:00,LONDON,breakout_retest,True,29577.75,29619.5,29490.88,2.0807185628742273,True,True
149,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S4,2026-08-28 12:26:52.585521637+00:00,LONDON,sweep_reclaim,True,29402.25,29370.25,29490.88,2.769687500000032,True,True
150,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,2026-08-28 12:35:21.169044551+00:00,LONDON,breakout_retest,True,29682,29663,29722.62,2.1378947368420516,True,True
150,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S4,2026-08-28 12:35:21.169044551+00:00,LONDON,breakout_retest,True,29574,29592,29490.88,4.617777777777722,True,True
151,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,2026-08-28 12:48:28.211462402+00:00,LONDON,reject,True,29640.5,29659.5,29597.25,2.276315789473684,True,True
152,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,2026-08-28 13:16:22.385995839+00:00,LONDON,sweep_reclaim,True,29702,29726.7,29644.38,2.3327935222670964,True,True
152,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,2026-08-28 13:16:22.385995839+00:00,LONDON,reject,True,29663.45,29684,29620,2.1143552311436626,False,False
152,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S3,2026-08-28 13:16:22.385995839+00:00,LONDON,sweep_reclaim,True,29541.12,29506,29644.38,2.940205011389665,True,True
153,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,2026-08-28 13:33:59.064015046+00:00,NY,reject,True,29700,29722.62,29636.13,2.823607427055785,True,True
153,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,2026-08-28 13:33:59.064015046+00:00,NY,breakout_retest,True,29574,29594,29514.5,2.975,True,True
