plan_row_id,version,scenario,entry,target,nearest_plan_level_distance,target_distance,beyond_nearest,nearest_R
132,4,S1,29611.41,29557.15,54.2599999999984,54.2599999999984,False,2.0406167732229448
141,8,S1,29694.69,29673.5,21.18999999999869,21.18999999999869,False,1.3402909550915203
141,8,S2,29694.69,29673.5,21.18999999999869,21.18999999999869,False,2.216527196652279
142,9,S1,29676,29643.5,23.029999999998836,32.5,True,1.4393749999999272
142,9,S2,29700,29645,22.139999999999418,55,True,1.00636363636361
142,9,S3,29638,29615,14.520000000000437,23,True,1.2100000000000364
143,10,S1,29667,29625,42.349999999998545,42,False,3.024999999999896
143,10,S2,29671,29625,1.5,46,True,0.125
143,10,S3,29621,29592,1.5,29,True,0.11538461538461539
144,11,S2,29622.5,29591,3.0,31.5,True,0.35294117647058826
144,11,S3,29590,29570,13.5,20,True,1.08
145,12,S1,29621.01,29576.5,10.0099999999984,44.5099999999984,True,0.4768937589327125
145,12,S2,29591.5,29539.38,15.0,52.11999999999898,True,0.5083022704168354
145,12,S3,29424,29576.5,115.38000000000102,152.5,True,1.0721055565880144
146,13,S1,29618.47,29611,7.470000000001164,7.470000000001164,False,1.3508137432193015
146,13,S3,29642,29618.47,23.529999999998836,23.529999999998836,False,4.705999999999767
147,1,S1,29640,29619.5,20.5,20.5,False,2.05
147,1,S2,29676,29642,4.119999999998981,34,True,0.11287671232873922
147,1,S3,29589,29576.5,0.569999999999709,12.5,True,0.06333333333330099
148,2,S1,29642,29606.02,22,35.97999999999956,True,1.375
149,3,S1,29662.13,29577.75,20.13000000000102,84.38000000000102,True,1.2487593052110602
149,3,S2,29707.5,29678.25,29.25,29.25,False,1.9345238095239399
149,3,S3,29577.75,29490.88,36.63000000000102,86.86999999999898,True,0.8773652694611023
149,3,S4,29402.25,29490.88,21.75,88.63000000000102,True,0.6796875
150,4,S2,29682,29722.62,25.5,40.61999999999898,True,1.3421052631578947
150,4,S4,29574,29490.88,32.88000000000102,83.11999999999898,True,1.8266666666667233
151,5,S1,29640.5,29597.25,3.459999999999127,43.25,True,0.18210526315784878
152,6,S1,29702,29644.38,23.75,57.61999999999898,True,0.9615384615384333
152,6,S2,29663.45,29620,19.06999999999971,43.45000000000073,True,0.927980535279824
152,6,S3,29541.12,29644.38,36.63000000000102,103.26000000000204,True,1.042995444191403
153,1,S1,29700,29636.13,21.75,63.86999999999898,True,0.9615384615385049
153,1,S2,29574,29514.5,32.88000000000102,59.5,True,1.644000000000051
153,1,S3,29710,29848.75,12.619999999998981,138.75,True,0.5047999999999593
153,1,S4,29410,29490.88,14,80.88000000000102,True,0.56
155,3,S1,29631.14,29532,53.38999999999942,99.13999999999942,True,1.1901471243869532
156,4,S1,29767.5,29654,60.0,113.5,True,1.1059907834101383
157,5,S2,29480,29588.25,8.5,108.25,True,0.17
157,5,S3,29586.25,29479.5,13.56000000000131,106.75,True,0.2712000000000262
158,6,S1,29464.25,29562,30.75,97.75,True,0.6949152542372882
162,1,S2,29494.38,29543.5,8.5,49.11999999999898,True,0.38636363636363635
162,1,S4,29437,29509.5,57.38000000000102,72.5,True,2.578876404494428
163,2,S2,29371.5,29420,7.950000000000728,48.5,True,0.369767441860499
163,2,S3,29414.21,29357.25,17.459999999999127,56.95999999999913,True,0.6770065917021534
166,2,S1,29437,29498.5,61.5,61.5,False,2.9285714285714284
166,2,S2,29398.52,29498.5,33.72999999999956,99.97999999999956,True,1.6453658536585154
170,3,S1,29351.47,29280.88,70.59000000000015,70.59000000000015,False,1.237335670464523
170,3,S2,29437,29351.47,20,85.52999999999884,True,0.4678362573099415
171,4,S1,29413,29517,4,104,True,0.08040201005025126
171,4,S3,29459.08,29397.5,26.830000000001746,61.580000000001746,True,0.8747962178025195
172,5,S3,29417,29517,15.75,100,True,0.525
173,6,S3,29458.38,29394.75,15.130000000001019,63.63000000000102,True,0.6272802653400356
174,7,S2,29410.98,29517,6.020000000000437,106.02000000000044,True,0.12738044858232417
178,2,S1,29477,29418.62,29.5,58.38000000000102,True,1.2710038776389965
179,3,S2,29246.75,29182,15.119999999998981,64.75,True,0.5759999999999612
180,4,S1,29182,29154.38,27.61999999999898,27.61999999999898,False,0.9055737704917699
180,4,S2,29212.5,29323.92,15.25,111.41999999999825,True,0.3588235294117647
180,4,S3,29354,29280,30.080000000001746,74,True,0.9703225806452176
181,5,S3,29161.96,29212.5,15.540000000000873,50.54000000000087,True,0.7076502732241116
182,6,S1,29123.25,29085,22.43999999999869,38.25,True,0.9349999999999454
182,6,S2,29138,29085,14.75,53,True,0.6145833333333334
183,1,S2,29138,29085,15.25,53,True,0.7439024390243902
183,1,S3,29177.5,29122.75,39.5,54.75,True,1.9268292682926829
184,2,S1,29062.75,28970.38,92.36999999999898,92.36999999999898,False,2.8204580152671443
184,2,S2,29137.29,29062.75,12.290000000000873,74.54000000000087,True,0.37006925624815407
185,3,S1,29182,29085,4.5,97,True,0.11612903225806452
185,3,S2,29085,29062.75,22.25,22.25,False,0.55625
186,4,S1,29170,29082.75,45,87.25,True,1.125
187,5,S1,29100.5,29082.75,17.75,17.75,False,0.6016949152542372
187,5,S2,29162,29100.5,32,61.5,True,1.1851851851851851
187,5,S3,29082.75,29162,17.75,79.25,True,0.6574074074074074
193,6,S1,29035.25,29071.41,5.360000000000582,36.159999999999854,True,0.3107246376811932
193,6,S2,29040.61,29113.23,22.139999999999418,72.61999999999898,True,1.0742358078602035
194,7,S1,29044,29099.85,18.75,55.849999999998545,True,0.9868421052631579
194,7,S3,29068.05,29131.66,31.799999999999272,63.61000000000058,True,1.322245322245332
198,10,S2,29317.25,29212.5,146.0,104.75,False,5.898989898989899
199,2,S3,29317.25,29246.25,71.0,71.0,False,2.5357142857142856
200,3,S4,29317.25,29246.25,71.0,71.0,False,2.16793893129771
201,4,S3,29001.75,29171.25,57.0,169.5,True,0.7651006711409396
202,5,S1,29014.19,29171.25,44.56000000000131,157.0600000000013,True,1.553154409201929
203,1,S4,29317.25,29246.25,71.0,71.0,False,2.7572815533980584
204,6,S2,29001.75,29058.75,12.669999999998254,57.0,True,0.48730769230762516
206,3,S4,29317.25,29209.25,71.0,108.0,True,1.880794701986755
207,4,S1,29135.65,29209.25,35.599999999998545,73.59999999999854,True,0.9713506139153378
207,4,S2,29317.25,29209.25,71.0,108.0,True,1.9319727891156462
208,5,S2,29102,29209.25,41.970000000001164,107.25,True,0.999285714285742
208,5,S3,29058.75,29143.97,43.25,85.22000000000116,True,1.1161290322580646
210,7,S4,29317.25,29246.25,71.0,71.0,False,2.3089430894308944
211,8,S2,29058.75,29161.16,43.25,102.40999999999985,True,1.6168224299065421
212,9,S3,29317.25,29246.25,71.0,71.0,False,2.581818181818182
213,10,S1,29163.99,29246.25,7.259999999998399,82.2599999999984,True,0.28763866877963307
213,10,S3,29317.25,29246.25,71.0,71.0,False,2.8118811881188117
213,10,S4,29058.75,28927.25,16.0,131.5,True,0.5714285714285714
214,11,S2,29001.75,29102,41.0,100.25,True,1.4137931034482758
214,11,S4,29317.25,29246.25,71.0,71.0,False,2.5357142857142856
215,12,S3,29166.8,29058.75,12.419999999998254,108.04999999999927,True,0.379816513761406
218,3,S3,29199.68,29149,50.68000000000029,50.68000000000029,False,3.058539529269836
219,4,S1,29208.75,29149,25.159999999999854,59.75,True,1.2579999999999927
219,4,S3,29149,29058.75,12.75,90.25,True,0.6071428571428571
220,5,S1,29197.57,29149,48.56999999999971,48.56999999999971,False,3.253181513730661
221,6,S2,29209.25,29181.64,27.610000000000582,27.610000000000582,False,2.008000000000042
222,7,S1,29218.25,29149,5.75,69.25,True,0.41818181818181815
224,8,S1,29157.03,29102,15.779999999998836,55.029999999998836,True,0.8470209339773469
224,8,S2,29141.25,29102,5.0,39.25,True,0.3168567807351311
224,8,S3,29175.66,29136.25,8.659999999999854,39.409999999999854,True,0.4645922746781183
226,10,S1,29200.5,29141.25,7.119999999998981,59.25,True,0.25890909090905384
227,11,S1,29199.5,29141.25,8.25,58.25,True,0.290492957746464
228,12,S1,29208.69,29141.25,9.18999999999869,67.43999999999869,True,0.3162422573984266
228,12,S2,29132.5,29042.75,30.5,89.75,True,1.0517241379310345
229,13,S1,29199.5,29132.5,4.5,67.0,True,0.16981132075471697
230,14,S1,29228.75,29186.14,10.5,42.61000000000058,True,0.49411764705882355
230,14,S4,29255,29214.5,20,40.5,True,0.9876543209876543
233,1,S1,29259.67,29178.73,4.669999999998254,80.93999999999869,True,0.15922263893617375
234,2,S1,29219.97,29144.5,10.720000000001164,75.47000000000116,True,0.3060234085070374
235,2,S1,29285,29144.5,30,140.5,True,0.5454545454545454
236,3,S2,29351.05,29209.25,58.04999999999927,141.79999999999927,True,0.8574593796159328
239,6,S2,29481.05,29619.5,21.830000000001746,138.45000000000073,True,0.3255779269202384
239,6,S3,29543.75,29364.75,4.369999999998981,179.0,True,0.06571428571427039
240,7,S3,29543.75,29397.11,4.369999999998981,146.63999999999942,True,0.08964102564100475
244,4,S1,29548,29522.22,6.25,25.779999999998836,True,0.5952380952380952
245,5,S3,29585,29548,37,37,False,2.0555555555555554
246,6,S3,29585,29622.17,16,37.169999999998254,True,0.9411764705882353
248,1,S2,29579.5,29639.5,12.0,60.0,True,0.5671077504725937
249,2,S1,29649.59,29597.25,5.3400000000001455,52.340000000000146,True,0.2530805687204035
252,2,S1,29611.25,29720,108.75,108.75,False,0.838150289017341
252,2,S2,29720,29601,108.75,119,True,2.175
253,3,S1,29657.38,29503.38,22.38000000000102,154.0,True,0.35739380389654074
253,3,S2,29591.02,29481.5,37.27000000000044,109.52000000000044,True,0.6872579752904432
254,4,S1,29585,29481.5,31.25,103.5,True,0.6127450980392157
254,4,S2,29720,29585,22.25,135,True,0.445
255,5,S1,29720,29553.75,85,166.25,True,1.8888888888888888
256,6,S1,29579.56,29503.38,25.81000000000131,76.18000000000029,True,0.7386949055524407
256,6,S2,29720,29635,85,85,False,2.4285714285714284
