representative_id,kind,price,opened_at_ms,opened_ct,cme_day,outcome,raw_n,raw_ids,stored_ordinals,stored_ordinal,reconstructed_ordinal,ordinal_bucket,first_plan_row,plan_created_ms,plan_asof_ok
1,VWAP±2σ,29622.17165419221,1788498840000,2026-09-04T00:14:00-05:00,2026-09-03,break,1,1,1,1,1,1,245,1788485552918,True
2,OB,29633.25,1788499080000,2026-09-04T00:18:00-05:00,2026-09-03,hold,1,2,1,1,1,1,245,1788485552918,True
3,PDH,29601.0,1788496440000,2026-09-03T23:34:00-05:00,2026-09-03,hold,1,3,1,1,1,1,245,1788485552918,True
4,PDH,29601.0,1788498240000,2026-09-04T00:04:00-05:00,2026-09-03,break,1,4,2,2,2,2,245,1788485552918,True
5,ONH,29643.5,1788499200000,2026-09-04T00:20:00-05:00,2026-09-03,hold,1,5,1,1,1,1,245,1788485552918,True
6,PDC,29597.25,1788496260000,2026-09-03T23:31:00-05:00,2026-09-03,ambiguous_horizon,1,6,1,1,1,1,245,1788485552918,True
7,PDC,29597.25,1788497880000,2026-09-03T23:58:00-05:00,2026-09-03,break,1,7,2,2,2,2,245,1788485552918,True
8,RTH-H,29585.0,1788459300000,2026-09-03T13:15:00-05:00,2026-09-02,hold,1,8,1,1,1,1,245,1788485552918,False
9,RTH-H,29585.0,1788496020000,2026-09-03T23:27:00-05:00,2026-09-03,break,1,9,1,1,1,1,245,1788485552918,True
10,RTH-H,29585.0,1788497220000,2026-09-03T23:47:00-05:00,2026-09-03,ambiguous_horizon,1,10,2,2,2,2,245,1788485552918,True
11,SWG-H,29579.5,1788459300000,2026-09-03T13:15:00-05:00,2026-09-02,hold,1,11,1,1,1,1,245,1788485552918,False
12,SWG-H,29579.5,1788459960000,2026-09-03T13:26:00-05:00,2026-09-02,hold,1,12,1,1,2,2,245,1788485552918,False
13,SWG-H,29579.5,1788460500000,2026-09-03T13:35:00-05:00,2026-09-02,hold,1,13,1,1,3,3+,245,1788485552918,False
14,SWG-H,29579.5,1788461400000,2026-09-03T13:50:00-05:00,2026-09-02,hold,1,14,1,1,4,3+,245,1788485552918,False
15,SWG-H,29579.5,1788493140000,2026-09-03T22:39:00-05:00,2026-09-03,hold,1,15,1,1,1,1,245,1788485552918,True
16,SWG-H,29579.5,1788495840000,2026-09-03T23:24:00-05:00,2026-09-03,break,1,16,2,2,2,2,245,1788485552918,True
17,SWG-H,29568.5,1788458460000,2026-09-03T13:01:00-05:00,2026-09-02,ambiguous_horizon,1,17,1,1,1,1,245,1788485552918,False
18,SWG-H,29568.5,1788459540000,2026-09-03T13:19:00-05:00,2026-09-02,ambiguous_horizon,1,18,1,1,2,2,245,1788485552918,False
19,SWG-H,29568.5,1788460800000,2026-09-03T13:40:00-05:00,2026-09-02,ambiguous_horizon,1,19,1,1,3,3+,245,1788485552918,False
20,SWG-H,29568.5,1788461940000,2026-09-03T13:59:00-05:00,2026-09-02,hold,1,20,1,1,4,3+,245,1788485552918,False
21,SWG-H,29568.5,1788490440000,2026-09-03T21:54:00-05:00,2026-09-03,ambiguous_horizon,1,21,1,1,1,1,245,1788485552918,True
22,SWG-H,29568.5,1788491760000,2026-09-03T22:16:00-05:00,2026-09-03,ambiguous_horizon,1,22,2,2,2,2,245,1788485552918,True
23,SWG-H,29568.5,1788493440000,2026-09-03T22:44:00-05:00,2026-09-03,ambiguous_horizon,1,23,3,3,3,3+,245,1788485552918,True
24,SWG-H,29568.5,1788494400000,2026-09-03T23:00:00-05:00,2026-09-03,ambiguous_horizon,1,24,4,4,4,3+,245,1788485552918,True
25,SWG-H,29568.5,1788495420000,2026-09-03T23:17:00-05:00,2026-09-03,hold,1,25,5,5,5,3+,245,1788485552918,True
26,VWAP,29509.089576892293,1788449160000,2026-09-03T10:26:00-05:00,2026-09-02,break,1,26,1,1,1,1,245,1788485552918,False
27,VWAP,29509.089576892293,1788450000000,2026-09-03T10:40:00-05:00,2026-09-02,hold,1,27,1,1,2,2,245,1788485552918,False
28,VWAP,29509.089576892293,1788450240000,2026-09-03T10:44:00-05:00,2026-09-02,hold,1,28,1,1,3,3+,245,1788485552918,False
29,VWAP,29509.089576892293,1788451560000,2026-09-03T11:06:00-05:00,2026-09-02,ambiguous_horizon,1,29,1,1,4,3+,245,1788485552918,False
30,VWAP,29509.089576892293,1788452520000,2026-09-03T11:22:00-05:00,2026-09-02,break,1,30,1,1,5,3+,245,1788485552918,False
31,VWAP,29509.089576892293,1788453480000,2026-09-03T11:38:00-05:00,2026-09-02,break,1,31,1,1,6,3+,245,1788485552918,False
32,VWAP,29509.089576892293,1788454980000,2026-09-03T12:03:00-05:00,2026-09-02,break,1,32,1,1,7,3+,245,1788485552918,False
33,VWAP,29509.089576892293,1788456600000,2026-09-03T12:30:00-05:00,2026-09-02,break,1,33,1,1,8,3+,245,1788485552918,False
