dimension,cell,n,W,L,F,sum_usd,mean_usd,mean_normal95_lo,mean_normal95_hi,win_decided,win_rate,wilson_lo,wilson_hi,R_n,R_mean,R_p50,hold_p25,hold_p50,hold_p75,days,verdict,ids,R_ids
book,ALL,58,18,38,2,-466.4285719999971,-8.041871931034432,-35.03709072764657,18.953346865577707,56,0.32142857142857145,0.21400827887722296,0.4517760584399611,9,0.24837546359850868,0.2556390977443609,12.2754125,25.64085,56.30422083333333,12,descriptive; no demonstrated positive edge,"521,522,523,524,525,526,527,528,529,531,532,533,534,535,536,537,538,540,541,542,543,544,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,567,568,569,570,575,578,581,582,583,584,585,586,587,588,589,590,591","568,570,575,578,582,584,585,586,591"
condition,acceptance,6,1,4,1,4.571428000002925,0.7619046666671542,-123.59868909752814,125.12249843086244,5,0.2,0.036223160969787456,0.6244717358814612,0,,,23.7817375,34.205525,45.7313625,3,NO VERDICT: n<30,"522,526,527,532,542,543",
condition,breakout_retest,9,1,8,0,-581.5,-64.61111111111111,-102.24013986469804,-26.98208235752419,9,0.1111111111111111,0.019890371327130518,0.4350062147680602,0,,,18.337783333333334,25.314016666666667,87.44931666666666,5,NO VERDICT: n<30,"528,534,556,557,558,562,563,589,590",
condition,hold,1,1,0,0,168.0,168.0,,,1,1.0,0.20654329147389294,1.0,0,,,38.407066666666665,38.407066666666665,38.407066666666665,1,NO VERDICT: n<30,555,
condition,reclaim,5,0,5,0,-436.5,-87.3,-121.85608403740216,-52.743915962597846,5,0.0,-3.139202815737979e-17,0.43449149475208104,0,,,10.548366666666666,37.59486666666667,56.60373333333333,3,NO VERDICT: n<30,"525,531,540,541,588",
condition,reject,31,14,16,1,586.0,18.903225806451612,-18.257530599509746,56.06398221241297,30,0.4666666666666667,0.3023212722412823,0.6385798671847496,6,0.5517926761347814,0.3178780284043442,10.886741666666666,25.967683333333333,59.33385833333334,11,descriptive; no demonstrated positive edge,"521,523,524,529,533,535,536,537,538,544,547,548,549,550,551,552,553,554,560,564,565,567,569,570,575,581,582,584,585,587,591","570,575,582,584,585,591"
condition,sweep_reclaim,6,1,5,0,-207.0,-34.5,-86.27640904247158,17.27640904247159,6,0.16666666666666666,0.030052585871730285,0.563509436563646,3,-0.35845896147403683,-1.0,9.5771875,14.634875,20.117449999999998,5,NO VERDICT: n<30,"559,561,568,578,583,586","568,578,586"
side,LONG,19,4,15,0,-808.5,-42.55263157894737,-77.69353156852591,-7.41173158936882,19,0.21052631578947367,0.08507538491591575,0.43334714240266087,3,0.060087404440750114,0.2556390977443609,13.07165,21.70805,44.97599166666667,8,NO VERDICT: n<30,"525,531,540,541,555,556,557,558,559,561,563,570,578,583,586,587,588,589,590","570,578,586"
side,SHORT,39,14,23,2,342.0714280000029,8.771062256410332,-26.632992088940355,44.17511660176102,37,0.3783783783783784,0.2406378746389103,0.5389985744718004,6,0.34251949317738795,-0.3099415204678363,12.322575,29.7528,66.88185,11,descriptive; no demonstrated positive edge,"521,522,523,524,526,527,528,529,532,533,534,535,536,537,538,542,543,544,547,548,549,550,551,552,553,554,560,562,564,565,567,568,569,575,581,582,584,585,591","568,575,582,584,585,591"
plan_session,ASIA,16,2,13,1,-552.4285719999971,-34.52678574999982,-60.6253601725323,-8.428211327467334,15,0.13333333333333333,0.037360469891359285,0.3788249920651624,0,,,13.5001375,36.663133333333334,53.88390416666667,6,NO VERDICT: n<30,"525,526,527,533,534,535,536,537,538,550,551,552,553,561,567,587",
plan_session,LONDON,21,7,14,0,24.0,1.1428571428571428,-42.72663673766686,45.01235102338115,21,0.3333333333333333,0.17194536432683688,0.546269243427897,3,1.225,2.2083333333333335,12.6444,25.314016666666667,75.30853333333333,9,NO VERDICT: n<30,"521,522,528,529,540,541,554,555,556,557,558,562,563,564,565,568,581,582,583,584,588","568,582,584"
plan_session,NY,21,9,11,1,62.0,2.9523809523809526,-54.322486174871685,60.22724807963358,20,0.45,0.25819502085709295,0.6579179916924003,6,-0.23993680460223704,-0.3721804511278195,9.545233333333334,18.376083333333334,38.65825,10,NO VERDICT: n<30,"523,524,531,532,542,543,544,547,548,549,559,560,569,570,575,578,585,586,589,590,591","570,575,578,585,586,591"
hour,0,2,0,2,0,-142.0,-71.0,-87.66,-54.34,2,0.0,0.0,0.6576280471103807,0,,,52.09194166666667,58.228516666666664,64.36509166666667,2,NO VERDICT: n<30,"537,587",
hour,1,2,1,1,0,-11.5,-5.75,-76.8,65.3,2,0.5,0.09452865480086611,0.905471345199134,0,,,12.3680375,20.155825,27.9436125,2,NO VERDICT: n<30,"538,567",
hour,10,3,0,3,0,-249.0,-83.0,-104.8915417456149,-61.1084582543851,3,0.0,0.0,0.5615060804490177,0,,,8.138266666666667,12.2192,17.005291666666665,2,NO VERDICT: n<30,"543,544,590",
hour,11,2,2,0,0,443.0,221.5,119.58000000000001,323.41999999999996,2,1.0,0.3423719528896193,1.0,0,,,69.67496249999999,76.08789166666666,82.50082083333334,2,NO VERDICT: n<30,"524,549",
hour,12,2,2,0,0,109.0,54.5,-19.0,128.0,2,1.0,0.3423719528896193,1.0,2,0.5901311066611252,0.5901311066611252,57.552616666666665,71.10861666666668,84.66461666666667,2,NO VERDICT: n<30,"570,578","570,578"
hour,13,2,1,1,0,27.0,13.5,-118.79999999999998,145.79999999999998,2,0.5,0.09452865480086611,0.905471345199134,1,-1.0,-1.0,15.377591666666667,22.626966666666668,29.87634166666667,2,NO VERDICT: n<30,"560,586",586
hour,17,1,0,1,0,-54.5,-54.5,,,1,0.0,0.0,0.7934567085261071,0,,,73.415,73.415,73.415,1,NO VERDICT: n<30,533,
hour,18,1,0,1,0,-43.0,-43.0,,,1,0.0,0.0,0.7934567085261071,0,,,37.59486666666667,37.59486666666667,37.59486666666667,1,NO VERDICT: n<30,525,
hour,19,2,0,2,0,-118.0,-59.0,-72.72,-45.28,2,0.0,0.0,0.6576280471103807,0,,,32.30540416666666,50.68670833333333,69.0680125,2,NO VERDICT: n<30,"534,561",
hour,2,3,1,2,0,30.0,10.0,-168.0914645156621,188.0914645156621,3,0.3333333333333333,0.061490315276160515,0.7923450448735121,0,,,44.568191666666664,75.30853333333333,147.50946666666664,3,NO VERDICT: n<30,"554,562,581",
hour,20,2,0,2,0,-153.92857199999708,-76.96428599999854,-91.7342854400014,-62.194286559995675,2,0.0,0.0,0.6576280471103807,0,,,48.1529625,48.216858333333334,48.28075416666667,2,NO VERDICT: n<30,"526,550",
hour,21,3,1,1,1,93.0,31.0,-61.812433075172265,123.81243307517227,2,0.5,0.09452865480086611,0.905471345199134,0,,,19.097966666666665,25.967683333333333,68.603375,2,NO VERDICT: n<30,"535,536,551",
hour,22,2,0,2,0,-95.5,-47.75,-126.63999999999999,31.139999999999986,2,0.0,0.0,0.6576280471103807,0,,,9.477599999999999,16.236,22.9944,2,NO VERDICT: n<30,"527,552",
