id,plan,v,session,scenario,side,entry_px,stop_px,target_px,rr,stop_pts,state,reason,entry_class,fill_price,li,lc,kind,condition,created_ct,updated_ct
5,2026-08-27:ASIA:8d,12,ASIA,S1,short,29621.01,29642.0,29576.5,2.12,20.99,filled,fill@29621.00,armed_fill,0.0,0,0,"","","2026-08-27 23:52:52","2026-08-28 01:43:06"
6,2026-08-28:LONDON:,6,LONDON,S1,short,29702.0,29726.7,29644.38,2.33,24.7,filled,fill@29642.00,armed_fill,0.0,0,0,"","","2026-08-28 06:37:42","2026-08-28 08:27:26"
7,2026-08-28:LONDON:,4,LONDON,S4,short,29574.0,29592.0,29490.88,4.62,18.0,cancelled,"no active plan",armed_fill,0.0,0,0,"","","2026-08-28 07:36:16","2026-08-28 08:30:01"
8,2026-08-28:LONDON:,6,LONDON,S2,short,29663.45,29684.0,29620.0,2.11,20.55,cancelled,"cancelled in NT8",armed_fill,0.0,0,0,"","","2026-08-28 08:17:25","2026-08-28 08:30:01"
9,2026-08-28:NY:8d5c,6,NY,S1,long,29464.25,29420.0,29562.0,2.21,44.25,filled,fill@29700.00,armed_fill,0.0,0,0,"","","2026-08-28 08:35:27","2026-08-28 13:07:07"
10,2026-08-28:NY:8d5c,5,NY,S2,long,29480.0,29430.0,29588.25,2.17,50.0,filled,fill@29463.25,armed_fill,0.0,0,0,"","","2026-08-28 12:07:01","2026-08-28 12:59:07"
11,2026-08-28:NY:8d5c,5,NY,S3,short,29586.25,29636.25,29479.5,2.13,50.0,cancelled,"session ended (EOD flat)",armed_fill,0.0,0,0,"","","2026-08-28 12:07:01","2026-08-28 14:45:21"
12,2026-08-30:ASIA:8d,1,ASIA,S4,long,29437.0,29414.75,29509.5,3.26,22.25,cancelled,"gate changed: min_sl",armed_fill,0.0,0,0,"","","2026-08-30 17:25:01","2026-08-30 17:36:53"
13,2026-08-30:ASIA:8d,2,ASIA,S3,short,29414.21,29440.0,29357.25,2.21,25.79,cancelled,e7_incident_kill:manual_cancel_respected,"",0.0,0,0,limit,"","2026-08-30 19:50:01","2026-08-30 23:10:36"
14,2026-08-30:ASIA:8d,2,ASIA,S2,long,29371.5,29350.0,29420.0,2.26,21.5,cancelled,e7_incident_kill:manual_cancel_respected,"",0.0,0,0,limit,"","2026-08-30 23:10:36","2026-08-30 23:10:36"
17,2026-08-31:LONDON:,2,LONDON,S1,long,29437.0,29416.0,29498.5,2.93,21.0,cancelled,"level accepted through — marketable, never placed",armed_fill,0.0,0,0,limit,"","2026-08-31 08:13:51","2026-08-31 08:15:51"
18,2026-08-31:LONDON:,2,LONDON,S2,long,29398.52,29378.02,29498.5,4.88,20.5,cancelled,"gate changed: min_sl",armed_fill,0.0,0,0,limit,"","2026-08-31 08:13:51","2026-08-31 08:17:51"
19,2026-08-31:NY:8d5c,7,NY,S2,long,29410.98,29363.72,29517.0,2.24,47.26,cancelled,"session ended (EOD flat)","",0.0,0,0,limit,"","2026-08-31 14:35:28","2026-08-31 14:45:28"
20,2026-08-31:NY:8d5c,6,NY,S3,short,29458.38,29482.5,29394.75,2.64,24.12,filled,fill@29459.00,armed_fill,29459.0,0,0,limit,"","2026-08-31 12:00:01","2026-08-31 13:09:28"
21,2026-08-31:NY:8d5c,4,NY,S1,long,29413.0,29363.25,29517.0,2.09,49.75,filled,fill@29413.00,armed_fill,29413.0,0,0,limit,"","2026-08-31 12:20:01","2026-08-31 12:25:29"
22,2026-08-31:NY:8d5c,5,NY,S3,long,29417.0,29387.0,29517.0,3.33,30.0,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,1,2,"","","2026-08-31 12:41:29","2026-08-31 13:09:28"
23,2026-09-01:LONDON:,2,LONDON,S1,short,29477.0,29500.21,29418.62,2.52,23.21,cancelled,"gate changed: min_sl",armed_fill,0.0,0,0,limit,"","2026-09-01 02:55:29","2026-09-01 02:57:29"
24,2026-09-01:LONDON:,6,LONDON,S2,short,29138.0,29162.0,29085.0,2.21,24.0,filled,"","",29138.0,0,0,limit,"","2026-09-01 07:57:28","2026-09-01 17:24:00"
25,2026-09-01:LONDON:,5,LONDON,S3,long,29161.96,29140.0,29212.5,2.3,21.96,cancelled,"level accepted through — marketable, never placed",armed_fill,0.0,0,0,limit,"","2026-09-01 05:35:28","2026-09-01 07:10:01"
26,2026-09-01:NY:8d5c,5,NY,S2,short,29162.0,29189.0,29100.5,2.28,27.0,cancelled,"session ended (EOD flat)","",0.0,0,0,limit,"","2026-09-01 13:05:06","2026-09-01 14:45:06"
27,2026-09-01:NY:8d5c,4,NY,S1,short,29170.0,29210.0,29082.75,2.18,40.0,cancelled,"level accepted through — marketable, never placed","",0.0,0,0,limit,"","2026-09-01 11:27:07","2026-09-01 11:27:07"
28,2026-09-01:NY:8d5c,5,NY,S3,long,29082.75,29055.75,29162.0,2.94,27.0,filled,"",armed_fill,29082.75,0,0,limit,"","2026-09-01 13:31:06","2026-09-01 17:24:00"
29,2026-09-01:ASIA:8d,7,ASIA,S1,long,29044.0,29025.0,29099.85,2.94,19.0,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,limit,"","2026-09-01 23:21:03","2026-09-02 00:31:48"
30,2026-09-01:ASIA:8d,6,ASIA,S1,long,29035.25,29018.0,29071.41,2.1,17.25,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,1,2,"","","2026-09-01 23:49:02","2026-09-02 00:07:07"
31,2026-09-01:ASIA:8d,7,ASIA,S3,long,29068.05,29044.0,29131.66,2.64,24.05,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,limit,"","2026-09-02 00:16:32","2026-09-02 00:31:48"
32,2026-09-02:NY:8d5c,5,NY,S3,long,29070.0,29019.6691311683,29171.25,2.01,50.33,cancelled,"session ended (EOD flat)",armed_fill,0.0,1,2,"","","2026-09-02 10:30:30","2026-09-02 14:45:01"
33,2026-09-02:NY:8d5c,12,NY,S3,short,29166.8,29199.5,29058.75,3.3,32.7,cancelled,"level accepted through — marketable, never placed",armed_fill,0.0,0,0,limit,"","2026-09-02 14:10:29","2026-09-02 14:10:29"
34,2026-09-02:ASIA:8d,13,ASIA,S1,short,29199.5,29226.0,29132.5,2.53,26.5,cancelled,"level accepted through — marketable, never placed",armed_fill,0.0,0,0,limit,"","2026-09-02 22:15:01","2026-09-02 22:15:01"
35,2026-09-03:NY:8d5c,2,NY,S1,short,29285.0,29351.6284728996,29144.5,2.11,66.63,filled,"",armed_fill,29285.0,0,0,limit,"","2026-09-03 09:02:54","2026-09-03 10:28:29"
36,2026-09-03:NY:8d5c,3,NY,S2,short,29351.05,29418.9343631416,29209.25,2.09,67.88,cancelled,"level accepted through — marketable, never placed",armed_fill,0.0,0,0,limit,"","2026-09-03 09:20:47","2026-09-03 09:20:47"
37,2026-09-03:NY:8d5c,7,NY,S3,short,29543.75,29592.5,29397.11,3.01,48.75,cancelled,"cancelled in NT8",armed_fill,0.0,0,0,limit,"","2026-09-03 11:58:33","2026-09-03 12:15:01"
38,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.6203704191,29481.5,2.01,54.6,cancelled,"gate changed: rr","",0.0,0,0,stop_entry,sweep_reclaim,"2026-09-04 10:05:00","2026-09-04 10:06:05"
39,2026-09-04:NY:8d5c,3,NY,S1,SHORT,29657.38,29720.5,29503.38,2.44,63.12,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,limit,reject,"2026-09-04 09:10:08","2026-09-04 09:26:06"
62,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"gate changed: rr",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:10:04","2026-09-04 10:12:04"
65,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"gate changed: rr",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:15:01","2026-09-04 10:18:03"
67,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"gate changed: rr",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:16:03","2026-09-04 10:18:03"
70,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"gate changed: rr",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:20:03","2026-09-04 10:22:03"
73,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:25:01","2026-09-04 10:40:01"
75,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,2.01,54.56,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:26:02","2026-09-04 10:42:01"
77,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,2.01,54.56,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:28:02","2026-09-04 10:44:01"
79,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:30:02","2026-09-04 10:46:01"
81,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:32:02","2026-09-04 10:48:00"
83,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:34:01","2026-09-04 10:50:00"
85,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:36:01","2026-09-04 10:52:00"
87,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:38:01","2026-09-04 10:53:10"
89,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:40:01","2026-09-04 10:53:10"
91,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:42:01","2026-09-04 10:53:11"
