id,source,plan_session,side,qty,entry_price,exit_price,entry_ct,exit_ct,hold_min,entry_time,exit_time,realized_pnl,pnl_corrected,close_reason,mae,mfe,entry_confidence,plan_id,plan_version,cited_scenario_id,plan_matched,adherence_grade,plan_band,plan_link_note,entry_order_id,exit_order_id
521,system,LONDON,SHORT,1.0,29623.5,29554.5,"2026-08-19 03:22:03","2026-08-19 04:43:36",81.5,1787127723941,1787132616909,138.0,138.0,sync,16.0,71.25,64,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,1,A,"",backfill:reconstructed,<nil>,1155bb01-4607-4592-9dce-e3cd0b143718
522,system,LONDON,SHORT,1.0,29558.25,29588.5,"2026-08-19 07:17:31","2026-08-19 07:33:04",15.6,1787141851173,1787142784995,-60.5,-60.5,sync,49.25,10.25,63,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,1,B,"",backfill:reconstructed,<nil>,31fa7391-4f66-49dc-a189-bfb82bb92223
523,system,NY,SHORT,1.0,29466.5,29407.5,"2026-08-19 09:06:52","2026-08-19 09:11:09",4.3,1787148412409,1787148669853,118.0,118.0,sync,11.5,79.5,62,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,1,A,"",backfill:reconstructed,<nil>,cfd6d2f8-1caf-48e8-94a0-ca4fe4b43dfb
524,system,NY,SHORT,1.0,29650.75,29514.0,"2026-08-19 11:18:15","2026-08-19 12:21:31",63.3,1787156295776,1787160091498,273.5,273.5,sync,16.5,137.5,65,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,1,B,"",backfill:reconstructed,<nil>,07ab6d26-e856-4d24-85b8-e6ffbd29363a
525,system,ASIA,LONG,1.0,29647.0,29625.5,"2026-08-19 18:22:04","2026-08-19 18:59:40",37.6,1787181724764,1787183980456,-43.0,-43.0,sync,21.75,19.75,63,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,1,B,"",backfill:reconstructed,<nil>,7a497c53-6bb9-487f-99ef-5dffbc62cb48
526,system,ASIA,SHORT,1.0,29626.25,29660.964286,"2026-08-19 20:28:22","2026-08-19 21:16:27",48.1,1787189302092,1787192187436,-1458.00000000002,-69.4285719999971,sync,57.5,2.75,63,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,1,A,"",backfill:reconstructed,<nil>,Close
527,system,ASIA,SHORT,1.0,29604.5,29648.5,"2026-08-19 22:37:28","2026-08-19 23:07:14",29.8,1787197048862,1787198834030,-88.0,-88.0,sync,44.25,5.0,65,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,1,A,"",backfill:reconstructed,<nil>,5721a277-5c69-4b8e-b323-1011ff072beb
528,system,LONDON,SHORT,1.0,29503.25,29552.0,"2026-08-20 03:26:31","2026-08-20 05:11:44",105.2,1787214391412,1787220704886,-97.5,-97.5,sync,49.0,48.0,63,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,1,A,"",backfill:reconstructed,<nil>,9a273bb2-a526-45af-8741-08c9e8a81ff7
529,system,LONDON,SHORT,1.0,29539.25,29455.25,"2026-08-20 05:26:33","2026-08-20 06:21:57",55.4,1787221593307,1787224917648,168.0,168.0,sync,43.75,91.0,64,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,1,B,"",backfill:reconstructed,<nil>,f9990e3a-206b-4160-9285-ea84d02f3d85
530,system,"",SHORT,1.0,29342.25,29335.75,"2026-08-20 08:12:02","2026-08-20 08:15:26",3.4,1787231522210,1787231726009,13.0,13.0,sync,6.25,10.0,62,UNRESOLVABLE,2,off-plan,0,D,"",unresolvable:off-plan-cite,<nil>,Close
