pid,ver,sess,td,lc,sid,cond,dirn,q,arm_en,e,sl,tp,tc,wc,entry_mode,sl_pts,tp_field
2026-08-15:NY,1,NY,2026-08-15,expired,S0,hold,long,B,False,,,,,,,,
2026-08-15:NY,2,NY,2026-08-15,expired,S1,reclaim,long,B,False,,,,"[30218, 30219.5, 30223.5, 30280.75, 30287.25]",,,,
2026-08-15:NY,2,NY,2026-08-15,expired,S2,reject,short,B,False,,,,"[30154.75, 30150, 30025]",,,,
2026-08-15:NY,2,NY,2026-08-15,expired,S3,breakout_retest,short,B,False,,,,[30025],,,,
2026-08-16:ASIA,1,ASIA,2026-08-16,active,S1,reclaim,long,B,False,,,,"[30192.25, 30200.5]",,,,
2026-08-16:ASIA,1,ASIA,2026-08-16,active,S2,breakout_retest,long,B,False,,,,[30234.75],,,,
2026-08-16:ASIA,1,ASIA,2026-08-16,active,S3,reject,short,B,False,,,,"[30148.25, 30146.75]",,,,
2026-08-16:ASIA,2,ASIA,2026-08-16,active,S1,reject,short,B,False,,,,"[30192.25, 30166.25, 30147.5]",,,,
2026-08-16:ASIA,2,ASIA,2026-08-16,active,S2,hold,long,B,False,,,,[30203],,,,
2026-08-16:ASIA,2,ASIA,2026-08-16,active,S3,acceptance,short,B,False,,,,"[30166.25, 30147.5]",,,,
2026-08-16:ASIA,3,ASIA,2026-08-16,active,S1,reclaim,long,B,False,,,,"[30230, 30260]",,,,
2026-08-16:ASIA,3,ASIA,2026-08-16,active,S2,hold,long,B,False,,,,"[30203, 30230]",,,,
2026-08-16:ASIA,3,ASIA,2026-08-16,active,S3,reject,short,B,False,,,,"[30191.25, 30166.25]",,,,
2026-08-16:ASIA,4,ASIA,2026-08-16,active,S1,hold,long,B,False,,,,[30203],,,,
2026-08-16:ASIA,4,ASIA,2026-08-16,active,S2,reject,short,A,False,,,,"[30191.25, 30166.25, 30148.25]",,,,
2026-08-16:ASIA,4,ASIA,2026-08-16,active,S3,acceptance,short,B,False,,,,"[30148.25, 30146.75]",,,,
2026-08-16:ASIA,5,ASIA,2026-08-16,active,S1,hold,long,A,False,,,,"[30166.25, 30199.5, 30203]",,,,
2026-08-16:ASIA,5,ASIA,2026-08-16,active,S2,reject,short,B,False,,,,"[30166.25, 30148.25]",,,,
2026-08-16:ASIA,6,ASIA,2026-08-16,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-16:NY,1,NY,2026-08-16,active,S1,sweep_reclaim,long,A,False,,,,"[30075.5, 30154.75, 30200]",,,,
2026-08-16:NY,1,NY,2026-08-16,active,S2,reject,short,B,False,,,,"[30200, 30154.75]",,,,
2026-08-16:NY,1,NY,2026-08-16,active,S3,breakout_retest,long,B,False,,,,"[30280.75, 30287.25]",,,,
2026-08-16:NY,2,NY,2026-08-16,active,S1,sweep_reclaim,long,A,False,,,,"[30154.75, 30200, 30280.75]",,,,
2026-08-16:NY,2,NY,2026-08-16,active,S2,reject,short,B,False,,,,"[30200, 30154.75]",,,,
2026-08-16:NY,2,NY,2026-08-16,active,S3,breakout_retest,long,A,False,,,,"[30280.75, 30287.25]",,,,
2026-08-17:ASIA,1,ASIA,2026-08-17,active,S1,hold,long,B,False,,,,"[30234.5, 30254.75]",,,,
2026-08-17:ASIA,1,ASIA,2026-08-17,active,S2,reject,short,B,False,,,,"[30234.5, 30219.5, 30214.75]",,,,
2026-08-17:ASIA,1,ASIA,2026-08-17,active,S3,sweep_reclaim,long,B,False,,,,"[30214.75, 30234.5]",,,,
2026-08-17:ASIA,2,ASIA,2026-08-17,active,S1,sweep_reclaim,long,B,False,,,,"[30166.25, 30190.5, 30203.12]",,,,
2026-08-17:ASIA,2,ASIA,2026-08-17,active,S2,reject,short,B,False,,,,[30069.75],,,,
2026-08-17:ASIA,3,ASIA,2026-08-17,active,S1,reclaim,long,B,False,,,,"[30166.25, 30190.5, 30203.12]",,,,
2026-08-17:ASIA,3,ASIA,2026-08-17,active,S2,reject,short,B,False,,,,[30062],,,,
2026-08-17:ASIA,3,ASIA,2026-08-17,active,S3,sweep_reclaim,long,B,False,,,,"[30104, 30166.25]",,,,
2026-08-17:ASIA,4,ASIA,2026-08-17,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-17:ASIA,5,ASIA,2026-08-17,active,S1,sweep_reclaim,long,B,False,,,,"[30086.25, 30090.25, 30124.25]",,,,
2026-08-17:ASIA,5,ASIA,2026-08-17,active,S2,reject,short,B,False,,,,[29853],,,,
2026-08-17:ASIA,5,ASIA,2026-08-17,active,S3,breakout_retest,long,B,False,,,,"[30124.25, 30166.25, 30190.5]",,,,
2026-08-17:ASIA,6,ASIA,2026-08-17,active,S1,reject,short,A,False,,,,[29853],,,,
2026-08-17:ASIA,6,ASIA,2026-08-17,active,S2,sweep_reclaim,long,B,False,,,,"[29919, 30079, 30124.25]",,,,
2026-08-17:LONDON,1,LONDON,2026-08-17,active,S1,hold,long,A,False,,,,[30327.5],,,,
2026-08-17:LONDON,1,LONDON,2026-08-17,active,S2,sweep_reclaim,long,B,False,,,,"[30254.75, 30327.5]",,,,
2026-08-17:LONDON,1,LONDON,2026-08-17,active,S3,reject,short,B,False,,,,"[30254.75, 30234.5]",,,,
2026-08-17:NY,1,NY,2026-08-17,active,S1,hold,long,B,False,,,,"[30287.25, 30339.75]",,,,
2026-08-17:NY,1,NY,2026-08-17,active,S2,acceptance,short,B,False,,,,[30166.25],,,,
2026-08-17:NY,1,NY,2026-08-17,active,S3,breakout_retest,long,B,False,,,,[30339.75],,,,
2026-08-17:NY,2,NY,2026-08-17,active,S1,hold,long,B,False,,,,"[30222.5, 30225, 30265.75]",,,,
2026-08-17:NY,2,NY,2026-08-17,active,S2,sweep_reclaim,long,A,False,,,,"[30222.5, 30225, 30265.75]",,,,
2026-08-17:NY,2,NY,2026-08-17,active,S3,reject,short,B,False,,,,"[30217.75, 30190.5]",,,,
2026-08-17:NY,3,NY,2026-08-17,active,S1,reclaim,long,A,False,,,,"[30227.25, 30234.5, 30254.75]",,,,
2026-08-17:NY,3,NY,2026-08-17,active,S2,breakout_retest,long,B,False,,,,"[30254.75, 30265.75, 30339.75]",,,,
2026-08-17:NY,3,NY,2026-08-17,active,S3,reject,short,B,False,,,,"[30190.5, 30166.25]",,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-18,active,S1,acceptance,short,A,False,,,,[29551.5],,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-18,active,S2,reject,short,A,False,,,,"[29568.25, 29551.5]",,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-18,active,S3,reclaim,long,B,False,,,,"[29644.5, 29755]",,,,
