id,source,session,side,entry_ct,hour_ct,hold_min,entry,exit,pnl,pnl_pts,cond,quality,rule,scen_dir,plan_bias,regime,day_type,stop,stop_pts,stop_src,tgt,plan_rr,R,mfe,mae,mfe_over_stop,mae_over_stop,nt8_stop,nt8_stop_pts,nt8src,close_reason,grade,conf,plan_ver,cited
521,system,LONDON,short,08-19 03:22,3,81.5,29623.5,29554.5,138.0,69.0,reject,B,,short,neutral,,balance,29646.25,22.75,decision#30040,29554.5,3.03,3.03,71.25,16.0,3.13,0.7,,,,sync,A,64,3,S1
522,system,LONDON,short,08-19 07:17,7,15.6,29558.25,29588.5,-60.5,-30.25,acceptance,B,,short,neutral,,balance,29588.5,30.25,decision#30071,29441,3.88,-1.0,10.25,49.25,0.34,1.63,,,,sync,B,63,3,S3
523,system,NY,short,08-19 09:06,9,4.3,29466.5,29407.5,118.0,59.0,reject,B,,short,short,,balance,29515.25,48.75,decision#30084,29407.75,1.21,1.21,79.5,11.5,1.63,0.24,,,,sync,A,62,2,S1
524,system,NY,short,08-19 11:18,11,63.3,29650.75,29514.0,273.5,136.75,reject,B,,short,short,,balance (short-lean pullback),29672.5,21.75,decision#30123,29514,6.29,6.29,137.5,16.5,6.32,0.76,,,,sync,B,65,3,S1
525,system,ASIA,long,08-19 18:22,18,37.6,29647.0,29625.5,-43.0,-21.5,reclaim,B,,long,neutral,,balance,29625.5,21.5,decision#30297,29770,5.72,-1.0,19.75,21.75,0.92,1.01,,,,sync,B,63,1,S1
526,system,ASIA,short,08-19 20:28,20,48.1,29626.25,29660.964286,-69.42857199999708,-34.71,acceptance,A,,short,short,,balance,29688.5,62.25,decision#30357,29500,2.03,-0.56,2.75,57.5,0.04,0.92,,,,sync,A,63,4,S2
527,system,ASIA,short,08-19 22:37,22,29.8,29604.5,29648.5,-88.0,-44.0,acceptance,A,,short,short,,balance,29648.25,43.75,decision#30417,29470,3.07,-1.01,5.0,44.25,0.11,1.01,,,,sync,A,65,4,S2
528,system,LONDON,short,08-20 03:26,3,105.2,29503.25,29552.0,-97.5,-48.75,breakout_retest,A,1x5m_close,short,short,,trend_down,29552,48.75,decision#30557,29375.75,2.62,-1.0,48.0,49.0,0.98,1.01,,,,sync,A,63,2,S1
529,system,LONDON,short,08-20 05:26,5,55.4,29539.25,29455.25,168.0,84.0,reject,B,2x5m_close,short,short,,trend_down,29584.5,45.25,decision#30616,29455.25,1.86,1.86,91.0,43.75,2.01,0.97,,,,sync,B,64,2,S2
530,system,,short,08-20 08:12,8,3.4,29342.25,29335.75,13.0,6.5,,,,,,,,29380.25,38.0,decision#30698,29240.25,2.68,0.17,10.0,6.25,0.26,0.16,,,,sync,D,62,2,off-plan
531,system,NY,long,08-20 08:41,8,6.8,29443.75,29370.0,-147.5,-73.75,reclaim,B,15m_close,long,short,,balance,29370,73.75,decision#30713,29688.5,3.32,-1.0,16.25,75.0,0.22,1.02,,,,sync,A,65,1,S3
532,system,NY,short,08-20 09:41,9,203.8,29395.75,29240.25,311.0,155.5,acceptance,A,2x5m_close,short,short,,trend,29461.5,65.75,decision#30744,29240.25,2.37,2.37,156.75,61.5,2.38,0.94,,,,sync,A,64,2,S1
533,system,ASIA,short,08-20 17:59,17,73.4,29322.25,29349.5,-54.5,-27.25,reject,B,1x5m_close,short,short,,trend,29349.5,27.25,decision#30962,29238.5,3.07,-1.0,36.0,30.25,1.32,1.11,,,,sync,B,61,1,S2
534,system,ASIA,short,08-20 19:22,19,87.4,29332.25,29365.25,-66.0,-33.0,breakout_retest,B,1x5m_close,short,short,,trend-down,29365.25,33.0,decision#31002,29240.25,2.79,-1.0,40.5,36.75,1.23,1.11,,,,sync,A,68,2,S2
535,system,ASIA,short,08-20 21:08,21,12.2,29360.75,29376.25,-31.0,-15.5,reject,A,1x5m_close,short,short,,trend-down,29376.25,15.5,decision#31057,29273.5,5.63,-1.0,7.0,17.75,0.45,1.15,,,,sync,A,65,2,S1
536,system,ASIA,short,08-20 21:36,21,111.2,29393.0,29331.0,124.0,62.0,reject,A,2x5m_close,short,short,,trend-down,29411.25,18.25,decision#31070,29331,3.4,3.4,62.25,6.75,3.41,0.37,,,,sync,A,65,3,S1
537,system,ASIA,short,08-21 00:25,0,70.5,29360.25,29400.0,-79.5,-39.75,reject,A,2x5m_close,short,short,,trend-down,29400,39.75,decision#31155,29256,2.62,-1.0,20.25,42.0,0.51,1.06,,,,sync,B,62,3,S1
538,system,ASIA,short,08-21 01:40,1,4.6,29388.25,29373.0,30.5,15.25,reject,A,2x5m_close,short,short,,trend-down,29406.25,18.0,decision#31192,29338.5,2.76,0.85,16.25,2.75,0.9,0.15,,,,sync,B,65,3,S1
539,system,,short,08-21 03:54,3,66.0,29453.0,29495.25,-84.5,-42.25,,,,,,,,29495.25,42.25,decision#31255,29358.25,2.24,-1.0,42.25,43.0,1.0,1.02,,,,sync,C,62,2,off-plan
540,system,LONDON,long,08-21 05:04,5,56.6,29509.0,29460.0,-98.0,-49.0,reclaim,A,1x5m_close,long,long,,balance,29460,49.0,decision#31289,29638.5,2.64,-1.0,6.5,50.0,0.13,1.02,,,,sync,B,65,3,S1
541,system,LONDON,long,08-21 06:26,6,106.9,29511.75,29470.25,-83.0,-41.5,reclaim,A,1x5m_close,long,long,,balance,29470.25,41.5,decision#31331,29686.75,4.22,-1.0,28.0,42.25,0.67,1.02,,,,sync,B,68,3,S1
542,system,NY,short,08-21 08:49,8,38.7,29310.0,29310.0,0.0,-0.0,acceptance,A,2x5m_close,short,short,,trend-down,29402.75,92.75,decision#31401,29202.75,1.16,-0.0,89.75,35.5,0.97,0.38,,,,sync,A,64,1,S2
543,system,NY,short,08-21 10:12,10,21.8,29355.75,29400.0,-88.5,-44.25,acceptance,A,2x5m_close,short,short,,trend-down,29400,44.25,decision#31443,29202.5,3.46,-1.0,25.0,45.0,0.56,1.02,,,,sync,A,62,1,S2
544,system,NY,short,08-21 10:47,10,4.1,29445.0,29475.75,-61.5,-30.75,reject,B,1x5m_close,short,short,,trend-down,29475.75,30.75,decision#31462,29358.25,2.82,-1.0,19.5,31.5,0.63,1.02,,,,sync,A,64,1,S1
545,system,,long,08-23 22:28,22,4.3,29298.5,29283.75,-29.5,-14.75,,,,,,,,29283.75,14.75,decision#31749,29354.75,3.81,-1.0,3.0,15.25,0.2,1.03,,,,sync,D,62,0,
546,system,,long,08-24 07:06,7,26.2,29222.5,29178.25,-88.5,-44.25,,,,,,,,29178.75,43.75,decision#31993,29362,3.19,-1.01,9.75,51.0,0.22,1.17,,,,sync,F,63,0,
547,system,NY,short,08-24 09:09,9,21.1,28968.75,29038.5,-139.5,-69.75,reject,C,1x5m_close,short,short,,trend-down,29038.5,69.75,decision#32044,28789.5,2.57,-1.0,15.25,73.25,0.22,1.05,,,,sync,A,62,2,S2
548,system,NY,short,08-24 09:55,9,33.8,29092.75,29120.0,-54.5,-27.25,reject,C,1x5m_close,short,short,,trend,29120,27.25,decision#32065,28990,3.77,-1.0,58.5,44.75,2.15,1.64,,,,sync,A,64,3,S1
549,system,NY,short,08-24 11:26,11,88.9,29201.5,29116.75,169.5,84.75,reject,C,1x5m_close,short,short,,trend_down,29240.25,38.75,decision#32108,29116.75,2.19,2.19,85.5,10.5,2.21,0.27,,,,sync,B,64,8,S2
550,system,ASIA,short,08-24 20:43,20,48.3,29123.75,29166.0,-84.5,-42.25,reject,C,1x5m_close,short,short,,trend,29166,42.25,decision#32344,29082.5,0.98,-1.0,20.25,42.5,0.48,1.01,,,,sync,A,62,3,S2
551,system,ASIA,short,08-24 21:43,21,26.0,29163.0,29163.0,0.0,-0.0,reject,C,1x5m_close,short,short,,trend,29169.5,6.5,decision#32374,29080.5,12.69,-0.0,69.75,0.5,10.73,0.08,,,,sync,A,64,3,S2
552,system,ASIA,short,08-24 22:17,22,2.7,29166.25,29170.0,-7.5,-3.75,reject,C,1x5m_close,short,short,,trend,29170,3.75,decision#32390,29096,18.73,-1.0,10.0,5.5,2.67,1.47,,,,sync,A,63,3,S2
553,system,ASIA,short,08-24 23:03,23,2.3,29178.5,29192.0,-27.0,-13.5,reject,B,1x5m_close,short,short,,trend_down,29192,13.5,decision#32402,29082.5,7.11,-1.0,0.0,18.0,0.0,1.33,,,,sync,B,62,4,S2
