id,source,session,side,entry_ct,hour,hold_min,cond,rule,quality,stop_src,stop_pts,atr5m,stop_atr,plan_rr,pnl_usd,pnl_pts,R,mfe,mae,mfe_over_stop,mae_over_stop,reached_2R_actual,reached_2R_minstop,plan_bias,day_type,grade
521,system,LONDON,short,08-19 03:22,3,81.5,reject,,B,decision#30040,22.75,,,3.03,138.0,69.0,3.03,71.25,16.0,3.13,0.7,True,,neutral,balance,A
522,system,LONDON,short,08-19 07:17,7,15.6,acceptance,,B,decision#30071,30.25,,,3.88,-60.5,-30.25,-1.0,10.25,49.25,0.34,1.63,False,,neutral,balance,B
523,system,NY,short,08-19 09:06,9,4.3,reject,,B,decision#30084,48.75,,,1.21,118.0,59.0,1.21,79.5,11.5,1.63,0.24,False,,short,balance,A
524,system,NY,short,08-19 11:18,11,63.3,reject,,B,decision#30123,21.75,32.93,0.66,6.29,273.5,136.75,6.29,137.5,16.5,6.32,0.76,True,True,short,balance (short-lean pullback),B
525,system,ASIA,long,08-19 18:22,18,37.6,reclaim,,B,decision#30297,21.5,21.26,1.01,5.72,-43.0,-21.5,-1.0,19.75,21.75,0.92,1.01,False,False,neutral,balance,B
526,system,ASIA,short,08-19 20:28,20,48.1,acceptance,,A,decision#30357,62.25,25.27,2.46,2.03,-69.42857199999708,-34.71,-0.56,2.75,57.5,0.04,0.92,False,False,short,balance,A
527,system,ASIA,short,08-19 22:37,22,29.8,acceptance,,A,decision#30417,43.75,24.37,1.8,3.07,-88.0,-44.0,-1.01,5.0,44.25,0.11,1.01,False,False,short,balance,A
528,system,LONDON,short,08-20 03:26,3,105.2,breakout_retest,1x5m_close,A,decision#30557,48.75,28.27,1.72,2.62,-97.5,-48.75,-1.0,48.0,49.0,0.98,1.01,False,False,short,trend_down,A
529,system,LONDON,short,08-20 05:26,5,55.4,reject,2x5m_close,B,decision#30616,45.25,23.99,1.89,1.86,168.0,84.0,1.86,91.0,43.75,2.01,0.97,True,True,short,trend_down,B
530,system,,short,08-20 08:12,8,3.4,,,,decision#30698,38.0,31.42,1.21,2.68,13.0,6.5,0.17,10.0,6.25,0.26,0.16,False,False,,,D
531,system,NY,long,08-20 08:41,8,6.8,reclaim,15m_close,B,decision#30713,73.75,38.95,1.89,3.32,-147.5,-73.75,-1.0,16.25,75.0,0.22,1.02,False,False,short,balance,A
532,system,NY,short,08-20 09:41,9,203.8,acceptance,2x5m_close,A,decision#30744,65.75,61.08,1.08,2.37,311.0,155.5,2.37,156.75,61.5,2.38,0.94,True,False,short,trend,A
533,system,ASIA,short,08-20 17:59,17,73.4,reject,1x5m_close,B,decision#30962,27.25,19.17,1.42,3.07,-54.5,-27.25,-1.0,36.0,30.25,1.32,1.11,False,False,short,trend,B
534,system,ASIA,short,08-20 19:22,19,87.4,breakout_retest,1x5m_close,B,decision#31002,33.0,22.57,1.46,2.79,-66.0,-33.0,-1.0,40.5,36.75,1.23,1.11,False,False,short,trend-down,A
535,system,ASIA,short,08-20 21:08,21,12.2,reject,1x5m_close,A,decision#31057,15.5,25.61,0.61,5.63,-31.0,-15.5,-1.0,7.0,17.75,0.45,1.15,False,False,short,trend-down,A
536,system,ASIA,short,08-20 21:36,21,111.2,reject,2x5m_close,A,decision#31070,18.25,22.2,0.82,3.4,124.0,62.0,3.4,62.25,6.75,3.41,0.37,True,False,short,trend-down,A
537,system,ASIA,short,08-21 00:25,0,70.5,reject,2x5m_close,A,decision#31155,39.75,16.58,2.4,2.62,-79.5,-39.75,-1.0,20.25,42.0,0.51,1.06,False,False,short,trend-down,B
538,system,ASIA,short,08-21 01:40,1,4.6,reject,2x5m_close,A,decision#31192,18.0,16.31,1.1,2.76,30.5,15.25,0.85,16.25,2.75,0.9,0.15,False,False,short,trend-down,B
539,system,,short,08-21 03:54,3,66.0,,,,decision#31255,42.25,20.17,2.09,2.24,-84.5,-42.25,-1.0,42.25,43.0,1.0,1.02,False,False,,,C
540,system,LONDON,long,08-21 05:04,5,56.6,reclaim,1x5m_close,A,decision#31289,49.0,18.49,2.65,2.64,-98.0,-49.0,-1.0,6.5,50.0,0.13,1.02,False,False,long,balance,B
541,system,LONDON,long,08-21 06:26,6,106.9,reclaim,1x5m_close,A,decision#31331,41.5,19.94,2.08,4.22,-83.0,-41.5,-1.0,28.0,42.25,0.67,1.02,False,False,long,balance,B
542,system,NY,short,08-21 08:49,8,38.7,acceptance,2x5m_close,A,decision#31401,92.75,32.3,2.87,1.16,0.0,-0.0,-0.0,89.75,35.5,0.97,0.38,False,False,short,trend-down,A
543,system,NY,short,08-21 10:12,10,21.8,acceptance,2x5m_close,A,decision#31443,44.25,42.76,1.03,3.46,-88.5,-44.25,-1.0,25.0,45.0,0.56,1.02,False,False,short,trend-down,A
544,system,NY,short,08-21 10:47,10,4.1,reject,1x5m_close,B,decision#31462,30.75,39.59,0.78,2.82,-61.5,-30.75,-1.0,19.5,31.5,0.63,1.02,False,False,short,trend-down,A
545,system,,long,08-23 22:28,22,4.3,,,,decision#31749,14.75,26.48,0.56,3.81,-29.5,-14.75,-1.0,3.0,15.25,0.2,1.03,False,False,,,D
546,system,,long,08-24 07:06,7,26.2,,,,decision#31993,43.75,25.1,1.74,3.19,-88.5,-44.25,-1.01,9.75,51.0,0.22,1.17,False,False,,,F
547,system,NY,short,08-24 09:09,9,21.1,reject,1x5m_close,C,decision#32044,69.75,49.11,1.42,2.57,-139.5,-69.75,-1.0,15.25,73.25,0.22,1.05,False,False,short,trend-down,A
548,system,NY,short,08-24 09:55,9,33.8,reject,1x5m_close,C,decision#32065,27.25,45.49,0.6,3.77,-54.5,-27.25,-1.0,58.5,44.75,2.15,1.64,True,False,short,trend,A
549,system,NY,short,08-24 11:26,11,88.9,reject,1x5m_close,C,decision#32108,38.75,34.61,1.12,2.19,169.5,84.75,2.19,85.5,10.5,2.21,0.27,True,False,short,trend_down,B
550,system,ASIA,short,08-24 20:43,20,48.3,reject,1x5m_close,C,decision#32344,42.25,27.91,1.51,0.98,-84.5,-42.25,-1.0,20.25,42.5,0.48,1.01,False,False,short,trend,A
551,system,ASIA,short,08-24 21:43,21,26.0,reject,1x5m_close,C,decision#32374,6.5,27.42,0.24,12.69,0.0,-0.0,-0.0,69.75,0.5,10.73,0.08,True,False,short,trend,A
552,system,ASIA,short,08-24 22:17,22,2.7,reject,1x5m_close,C,decision#32390,3.75,26.91,0.14,18.73,-7.5,-3.75,-1.0,10.0,5.5,2.67,1.47,True,False,short,trend,A
553,system,ASIA,short,08-24 23:03,23,2.3,reject,1x5m_close,B,decision#32402,13.5,22.71,0.59,7.11,-27.0,-13.5,-1.0,0.0,18.0,0.0,1.33,False,False,short,trend_down,B
554,system,LONDON,short,08-25 02:09,2,75.3,reject,1x5m_close,C,decision#32486,31.0,20.31,1.53,2.23,-62.0,-31.0,-1.0,58.0,58.75,1.87,1.9,False,False,neutral,balance,A
555,system,LONDON,long,08-25 04:19,4,38.4,hold,1x5m_close,C,decision#32546,31.25,27.94,1.12,2.69,168.0,84.0,2.69,92.0,22.5,2.94,0.72,True,True,long,trend,A
556,system,LONDON,long,08-25 06:04,6,5.6,breakout_retest,2x5m_close,C,decision#32599,19.75,21.41,0.92,4.06,-40.0,-20.0,-1.01,0.75,33.5,0.04,1.7,False,False,long,trend,B
557,system,LONDON,long,08-25 06:14,6,76.3,breakout_retest,2x5m_close,C,decision#32605,40.0,22.9,1.75,2.6,46.5,23.25,0.58,71.75,17.25,1.79,0.43,False,True,long,trend,B
558,system,LONDON,long,08-25 07:56,7,18.3,breakout_retest,2x5m_close,C,decision#32656,29.25,22.77,1.28,2.9,-22.5,-11.25,-0.38,5.75,27.5,0.2,0.94,False,False,long,trend,B
559,system,NY,long,08-25 09:14,9,15.3,sweep_reclaim,1x5m_close,C,decision#32687,39.25,41.58,0.94,4.43,-78.5,-39.25,-1.0,23.5,100.75,0.6,2.57,False,False,long,trend,A
560,system,NY,short,08-25 13:53,13,37.1,reject,1x5m_close,C,decision#32807,21.0,19.72,1.06,2.71,81.0,40.5,1.93,50.5,3.0,2.4,0.14,True,False,short,trend,A
561,system,ASIA,long,08-25 19:11,19,13.9,sweep_reclaim,1x5m_close,C,decision#32923,26.0,16.1,1.61,3.41,-52.0,-26.0,-1.0,17.5,30.0,0.67,1.15,False,False,long,balance,A
562,system,LONDON,short,08-26 02:22,2,219.7,breakout_retest,1x5m_close,A,decision#33115,49.25,22.08,2.23,1.69,-98.5,-49.25,-1.0,25.75,51.25,0.52,1.04,False,False,short,trend-down,A
563,system,LONDON,long,08-26 06:12,6,25.3,breakout_retest,15m_close,A,decision#33229,24.75,19.2,1.29,2.67,-49.5,-24.75,-1.0,34.75,29.5,1.4,1.19,False,False,long,balance,B
564,system,LONDON,short,08-27 04:19,4,12.6,reject,15m_close,C,decision#33793,34.5,26.58,1.3,4.51,-69.0,-34.5,-1.0,6.75,36.75,0.2,1.07,False,False,short,balance,A
565,system,LONDON,short,08-27 05:53,5,12.4,reject,1x5m_close,B,decision#33841,31.25,20.44,1.53,3.35,-62.5,-31.25,-1.0,4.25,32.75,0.14,1.05,False,False,neutral,trend,B
566,reconcile,,long,08-27 11:32,11,28.9,,,,,,36.52,,,97.0,48.5,,,,,,,,,,F
567,reconcile,ASIA,short,08-28 01:22,1,35.7,reject,1x5m_close,B,armed_orders#5,21.0,13.56,1.55,2.12,-42.0,-21.0,-1.0,28.5,21.5,1.36,1.02,False,False,short,balance,B
568,reconcile,LONDON,short,08-28 07:19,7,3.3,sweep_reclaim,1x5m_close,A,armed_orders#6,84.7,15.56,5.44,0.03,-32.0,-16.0,-0.19,1.75,17.0,0.02,0.2,False,False,short,balance,B
569,reconcile,NY,short,08-28 08:44,8,1.0,reject,1x5m_close,B,plan_arm,22.62,25.63,0.88,2.82,63.0,31.5,1.39,36.0,0.0,1.59,0.0,False,False,neutral,balance,A
570,reconcile,NY,long,08-28 12:10,12,98.2,reject,1x5m_close,B,armed_orders#10,33.25,47.38,0.7,3.76,17.0,8.5,0.26,66.25,14.5,1.99,0.44,False,False,long,balance,C
571,reconcile,,long,08-30 17:38,17,34.7,,,,,,22.4,,,-44.5,-22.25,,17.0,22.5,,,,False,,,F
575,reconcile,NY,short,08-31 09:59,9,16.2,reject,touch,A,plan_arm,42.75,40.11,1.07,2.0,32.5,16.25,0.38,41.5,6.0,0.97,0.14,False,False,short,trend-down,A
578,reconcile,NY,long,08-31 12:26,12,44.0,sweep_reclaim,touch,B,armed_orders#21,49.75,24.88,2.0,2.09,92.0,46.0,0.92,47.25,24.75,0.95,0.5,False,False,long,balance,C
580,reconcile,,short,08-31 13:37,13,1.2,,,,,,21.79,,,39.5,19.75,,20.75,0.0,,,,False,,,D
581,system,LONDON,short,09-01 02:52,2,13.8,reject,touch,A,decision#35508,34.25,24.35,1.41,2.5,190.5,95.25,2.78,73.5,2.5,2.15,0.07,True,True,short,balance,A
582,armed_entry,LONDON,short,09-01 05:23,5,42.1,reject,touch,B,plan_arm,26.25,24.3,1.08,2.47,129.5,64.75,2.47,69.25,11.25,2.64,0.43,True,False,short,trend,D
583,system,LONDON,long,09-01 06:35,6,21.7,sweep_reclaim,1x5m_close,B,decision#35621,41.25,20.79,1.98,3.41,-82.5,-41.25,-1.0,25.0,43.25,0.61,1.05,False,False,short,trend-down,B
584,reconcile,LONDON,short,09-01 08:36,8,1.5,reject,touch,B,armed_orders#24,24.0,24.39,0.98,2.21,106.0,53.0,2.21,58.0,0.0,2.42,0.0,True,False,short,trend,A
585,armed_entry,NY,short,09-01 09:31,9,9.5,reject,touch,B,plan_arm,38.75,37.23,1.04,2.5,-77.5,-38.75,-1.0,0.0,38.75,0.0,1.0,False,False,short,trend-down,C
586,reconcile,NY,long,09-01 13:33,13,8.1,sweep_reclaim,touch,B,armed_orders#28,27.0,26.71,1.01,2.94,-54.0,-27.0,-1.0,0.0,27.5,0.0,1.02,False,False,short,trend,A
587,system,ASIA,long,09-02 00:17,0,46.0,reject,touch,B,decision#36122,31.25,15.5,2.02,1.09,-62.5,-31.25,-1.0,25.75,33.0,0.82,1.06,False,False,long,trend,B
588,system,LONDON,long,09-02 07:41,7,10.5,reclaim,1x5m_close,B,decision#36336,32.5,29.68,1.09,2.54,-65.0,-32.5,-1.0,0.0,33.25,0.0,1.02,False,False,long,balance,B
589,system,NY,long,09-02 09:41,9,18.4,breakout_retest,1x5m_close,B,decision#36394,77.5,37.42,2.07,1.61,-155.0,-77.5,-1.0,10.25,80.5,0.13,1.04,False,False,long,balance,A
590,system,NY,long,09-02 10:37,10,12.2,breakout_retest,1x5m_close,C,decision#36422,49.5,33.73,1.47,2.51,-99.0,-49.5,-1.0,1.0,49.75,0.02,1.01,False,False,long,balance,A
591,reconcile,NY,short,09-03 09:05,9,15.5,reject,touch,B,armed_orders#35,66.63,46.61,1.43,2.11,-140.0,-70.0,-1.05,43.5,75.0,0.65,1.13,False,False,short,balance,A
