level_kind  n    hold  brk  amb  p_hold_resolved  amb_share  first_at                             last_at                            
----------  ---  ----  ---  ---  ---------------  ---------  -----------------------------------  -----------------------------------
VWAP        199  82    50   67   0.6212           0.337      2026-09-04 05:30:54.843866109+00:00  2026-09-04 17:01:01.803598528+00:00
RTH-L       140  42    82   16   0.3387           0.114      2026-09-04 12:45:01.084477552+00:00  2026-09-04 17:01:01.805476476+00:00
DEMAND      139  56    72   11   0.4375           0.079      2026-09-04 12:45:01.083367041+00:00  2026-09-04 17:01:01.821638476+00:00
SWG-H       29   9     6    14   0.6              0.483      2026-09-04 05:30:54.842283731+00:00  2026-09-04 06:10:50.021794059+00:00
OR-H        22   9     9    4    0.5              0.182      2026-09-04 13:32:00.593282568+00:00  2026-09-04 14:26:06.323540986+00:00
SUPPLY      22   7     7    8    0.5              0.364      2026-09-04 12:45:01.082231476+00:00  2026-09-04 13:46:09.989549238+00:00
POC         20   9     5    6    0.6429           0.3        2026-09-04 16:25:08.27667646+00:00   2026-09-04 16:25:08.278896556+00:00
SWG-L       16   4     4    8    0.5              0.5        2026-09-04 06:10:49.998355637+00:00  2026-09-04 07:00:46.649464182+00:00
OR-L        12   4     4    4    0.5              0.333      2026-09-04 13:32:00.610115821+00:00  2026-09-04 17:01:01.803895173+00:00
PDC         12   5     6    1    0.4545           0.083      2026-09-04 05:30:54.840570643+00:00  2026-09-04 14:58:05.502402614+00:00
RTH-H       12   7     3    2    0.7              0.167      2026-09-04 05:30:54.841939694+00:00  2026-09-04 17:01:01.803747054+00:00
OB          11   5     2    4    0.7143           0.364      2026-09-04 05:30:54.828095636+00:00  2026-09-04 14:26:06.33212482+00:00 
PDH         10   4     5    1    0.4444           0.1        2026-09-04 05:30:54.82826849+00:00   2026-09-04 14:26:06.323159381+00:00
eVWAP       10   1     4    5    0.2              0.5        2026-09-04 06:10:50.000524148+00:00  2026-09-04 06:30:48.517035653+00:00
PDL         8    8     0    0    1.0              0.0        2026-09-04 12:45:01.087539851+00:00  2026-09-04 17:01:01.821854419+00:00
ONL         4    3     1    0    0.75             0.0        2026-09-04 05:30:54.846166533+00:00  2026-09-04 15:55:10.587402896+00:00
VWAP±2σ     4    2     2    0    0.5              0.0        2026-09-04 05:30:54.82771663+00:00   2026-09-04 07:00:46.669315376+00:00
ONH         3    3     0    0    1.0              0.0        2026-09-04 05:30:54.828480783+00:00  2026-09-04 12:45:01.083231146+00:00
EQL         2    2     0    0    1.0              0.0        2026-09-04 06:30:48.492093948+00:00  2026-09-04 06:30:48.492287217+00:00
FVG         2    0     2    0    0.0              0.0        2026-09-04 16:25:08.279136301+00:00  2026-09-04 17:01:01.804122561+00:00
