level_kind  episodes  raw_rows  prices  hold  brk  amb  p_hold  conflicting  max_copies
----------  --------  --------  ------  ----  ---  ---  ------  -----------  ----------
VWAP        199       199       15      82    50   67   0.621   0            1         
SWG-H       29        29        3       9     6    14   0.6     0            1         
SUPPLY      22        22        2       7     7    8    0.5     0            1         
OR-H        22        22        2       9     9    4    0.5     0            1         
POC         20        20        1       9     5    6    0.643   0            1         
DEMAND      18        139       2       8     9    1    0.471   1            11        
SWG-L       16        16        3       4     4    8    0.5     0            1         
RTH-L       14        140       1       4     8    2    0.333   1            11        
RTH-H       12        12        1       7     3    2    0.7     0            1         
PDC         12        12        1       5     6    1    0.455   0            1         
OR-L        12        12        1       4     4    4    0.5     0            1         
OB          11        11        4       5     2    4    0.714   0            1         
eVWAP       10        10        2       1     4    5    0.2     0            1         
PDH         10        10        1       4     5    1    0.444   0            1         
VWAP±2σ     4         4         3       2     2    0    0.5     0            1         
ONL         4         4         1       3     1    0    0.75    0            1         
ONH         3         3         3       3     0    0    1.0     0            1         
PDL         2         8         2       2     0    0    1.0     0            5         
EQL         2         2         1       2     0    0    1.0     0            1         
FVG         1         2         1       0     1    0    0.0     0            2         
k      episodes  raw
-----  --------  ---
TOTAL  423       677
level_kind  level_price  opened_at_ms   outs                     ords  c 
----------  -----------  -------------  -----------------------  ----  --
DEMAND      29278.0      1788444000000  hold,break               1     5 
RTH-L       29199.25     1788427260000  break,ambiguous_horizon  1     11
level_price  opened_ct            outcome            ordinal  session  plan_version  bars_to_exit  mfe_pts  mae_pts
-----------  -------------------  -----------------  -------  -------  ------------  ------------  -------  -------
29199.25     2026-09-02 22:10:00  break              1        NY       0             8             29.5     -3.75  
29199.25     2026-09-02 22:10:00  break              1        LONDON   2             8             29.5     -3.75  
29199.25     2026-09-02 22:10:00  break              1        LONDON   3             8             29.5     -3.75  
29199.25     2026-09-03 00:01:00  break              1        NY       0             2             18.75    0.0    
29199.25     2026-09-03 00:01:00  break              1        NY       1             2             18.75    0.0    
29199.25     2026-09-03 00:01:00  break              1        LONDON   2             2             18.75    0.0    
29199.25     2026-09-03 00:01:00  break              1        NY       2             2             18.75    0.0    
29199.25     2026-09-03 00:01:00  break              1        LONDON   3             2             18.75    0.0    
29199.25     2026-09-03 00:01:00  break              1        NY       3             2             18.75    0.0    
29199.25     2026-09-03 00:01:00  break              1        NY       3             2             18.75    0.0    
29199.25     2026-09-03 01:06:00  hold               1        NY       0             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        NY       1             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        LONDON   2             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        NY       2             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        LONDON   3             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        NY       3             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        NY       3             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        NY       3             3             0.0      -23.25 
29199.25     2026-09-03 01:06:00  hold               1        NY       3             3             0.0      -23.25 
29199.25     2026-09-03 02:03:00  break              1        NY       0             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       1             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        LONDON   2             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       2             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        LONDON   3             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       3             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       3             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       3             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       3             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       4             2             34.0     -9.0   
29199.25     2026-09-03 02:03:00  break              1        NY       5             2             34.0     -9.0   
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       0             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       1             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        LONDON   2             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       2             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        LONDON   3             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       3             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       3             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       3             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       3             13            10.25    -8.25  
29199.25     2026-09-03 02:07:00  ambiguous_horizon  1        NY       4             13            10.25    -8.25  
