kind,episodes,hold,break,ambiguous,p_hold,wilson_lo,wilson_hi,amb_share,days,levels,mean_mfe_pts,mean_mae_pts
RN25,754,293,286,175,0.506,0.4654,0.5466,0.232,10,79,15.89,-16.64
RN50,378,147,139,92,0.514,0.4563,0.5713,0.243,10,39,16.15,-16.44
RN100,372,154,136,82,0.531,0.4736,0.5877,0.22,10,39,15.65,-16.49
PDC,127,48,41,38,0.5393,0.4363,0.6391,0.299,10,10,14.51,-16.47
SETT,110,42,35,33,0.5455,0.4347,0.6519,0.3,9,9,13.83,-15.23
POC,103,37,33,33,0.5286,0.4132,0.641,0.32,9,9,16.37,-17.03
VAL,103,39,32,32,0.5493,0.434,0.6595,0.311,7,7,15.8,-16.44
VAH,94,33,40,21,0.4521,0.3431,0.5658,0.223,7,7,16.07,-15.42
VWAP@0830,70,23,29,18,0.4423,0.3159,0.5766,0.257,7,7,19.96,-19.42
MID-O,63,20,29,14,0.4082,0.2822,0.5475,0.222,7,7,21.58,-17.0
OR-H,61,24,27,10,0.4706,0.3405,0.6048,0.164,9,9,18.75,-18.95
OR-L,61,30,22,9,0.5769,0.4419,0.7013,0.148,10,10,15.08,-21.12
RTH-H,59,28,17,14,0.6222,0.4763,0.7489,0.237,6,6,14.02,-19.28
RTH-L,58,27,16,15,0.6279,0.4786,0.7562,0.259,5,5,14.87,-19.62
PDL,56,26,17,13,0.6047,0.4558,0.7363,0.232,4,4,15.14,-19.42
VWAP+2σ@0830,47,22,16,9,0.5789,0.4219,0.7215,0.191,6,6,11.85,-20.07
VWAP+1σ@0830,46,21,23,2,0.4773,0.3375,0.6206,0.043,8,8,20.06,-21.89
ONH,40,15,20,5,0.4286,0.2798,0.5914,0.125,5,5,17.31,-15.59
IB-H,36,15,10,11,0.6,0.4074,0.766,0.306,8,8,15.14,-15.44
VWAP-1σ@0830,34,17,16,1,0.5152,0.3522,0.675,0.029,6,6,18.2,-23.65
PDH,28,11,11,6,0.5,0.3072,0.6928,0.214,5,5,15.63,-15.31
ONL,25,12,11,2,0.5217,0.3296,0.7076,0.08,4,4,18.81,-20.45
VWAP-2σ@0830,24,12,10,2,0.5455,0.3466,0.7308,0.083,5,5,16.71,-19.37
PDH_cal,21,9,7,5,0.5625,0.3318,0.769,0.238,5,5,14.56,-18.68
IB-L,21,9,9,3,0.5,0.2903,0.7097,0.143,3,3,18.58,-15.38
PWL,3,2,0,1,1.0,0.3424,1.0,0.333,1,1,9.17,-20.83
