seated-level rows evaluated: 2215 (plans with >=15 bars after created_at, non-WEEKLY)

== by AI grade
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
A                       1767     68.5      504     359     348   0.584 [0.551,0.616] |     4483    4305      0.510    101.1
C                        304     73.7       76      80      68   0.487 [0.410,0.565] |      804     823      0.494     72.0
B                        144     72.9       43      41      21   0.512 [0.407,0.616] |      420     460      0.477     68.5

== by machine_grade
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
A                       1400     69.7      407     281     288   0.592 [0.554,0.628] |     3656    3674      0.499     95.8
(none)                   411     65.9      102      97      72   0.513 [0.444,0.581] |      991     837      0.542    116.2
C                        273     72.5       74      65      59   0.532 [0.450,0.613] |      691     681      0.504     72.2
B                        131     72.5       40      37      18   0.519 [0.410,0.627] |      369     396      0.482     67.5

== by kind family
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
OB                       255     58.0       50      55      43   0.476 [0.383,0.571] |      545     663      0.451    127.6
VWAP*                    248     85.1       83      64      64   0.565 [0.484,0.642] |      923     989      0.483     40.8
ONH                      166     77.1       54      34      40   0.614 [0.509,0.709] |      554     559      0.498     67.5
ONL                      159     70.4       50      34      28   0.595 [0.488,0.694] |      436     326      0.572     91.5
PDC                      143     77.6       41      48      22   0.461 [0.361,0.564] |      439     474      0.481     79.8
PDH                      134     59.0       28      19      32   0.596 [0.453,0.724] |      201     187      0.518    176.6
SUPPLY                   105     61.0       35       8      21   0.814 [0.674,0.903] |      236     229      0.508    110.1
RTH-H                    104     58.7       22       3      36   0.880 [0.700,0.958] |      177     136      0.565    141.8
PDL                      101     26.7       12      12       3   0.500 [0.314,0.686] |      161      99      0.619    162.3
EQL                      100     88.0       30      34      24   0.469 [0.352,0.589] |      364     308      0.542     58.7
OR-H                      89     68.5       26      19      16   0.578 [0.433,0.710] |      146     101      0.591     76.4
EQH                       89     85.4       35      20      21   0.636 [0.504,0.751] |      313     270      0.537     63.4
RTH-L                     88     40.9        9       8      19   0.529 [0.310,0.738] |      105      78      0.574    141.2
SWG-H                     84     88.1       35      26      13   0.574 [0.449,0.690] |      244     269      0.476     44.1
OR-L                      80     72.5       24      20      14   0.545 [0.401,0.683] |      176     158      0.527     73.8
DEMAND                    80     62.5       18      26       6   0.409 [0.277,0.556] |      178     203      0.467    135.8
SWG-L                     78     89.7       25      34      11   0.424 [0.306,0.551] |      253     269      0.485     45.0
POC                       27    100.0       12       5      10   0.706 [0.469,0.867] |       72      76      0.486     50.0
nPOC                      18     44.4        5       1       2   0.833 [0.436,0.970] |       41      29      0.586    193.5
eVWAP                     18     88.9       11       3       2   0.786 [0.524,0.924] |       45      71      0.388     40.5
IFVG                      15     60.0        4       1       4   0.800 [0.376,0.964] |       25      26      0.490     87.3
RN                         8    100.0        4       1       3   0.800 [0.376,0.964] |       31      40      0.437     26.4
PWL                        7    100.0        7       0       0   1.000 [0.646,1.000] |       14       0      1.000     83.4
FVG                        7     71.4        2       2       1   0.500 [0.150,0.850] |       10      20      0.333     91.5
pdVWAP                     6     50.0        0       2       1   0.000 [0.000,0.658] |       12       4      0.750     86.1

== by kind family x grade (n>=8)
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
('VWAP*', 'A')           248     85.1       83      64      64   0.565 [0.484,0.642] |      923     989      0.483     40.8
('OB', 'A')              157     43.3       26      19      23   0.578 [0.433,0.710] |      253     301      0.457    161.3
('ONL', 'A')             151     71.5       49      31      28   0.613 [0.503,0.712] |      421     318      0.570     92.6
('ONH', 'A')             143     74.1       48      31      27   0.608 [0.497,0.708] |      465     496      0.484     71.2
('PDH', 'A')             110     55.5       20      14      27   0.588 [0.422,0.736] |      164     153      0.517    198.9
('PDL', 'A')             101     26.7       12      12       3   0.500 [0.314,0.686] |      161      99      0.619    162.3
('EQL', 'A')             100     88.0       30      34      24   0.469 [0.352,0.589] |      364     308      0.542     58.7
('OB', 'C')               95     82.1       22      36      20   0.379 [0.266,0.508] |      284     348      0.449     72.4
('EQH', 'A')              89     85.4       35      20      21   0.636 [0.504,0.751] |      313     270      0.537     63.4
('RTH-H', 'A')            89     52.8       16       0      31   1.000 [0.806,1.000] |       99      61      0.619    158.8
('SWG-H', 'A')            84     88.1       35      26      13   0.574 [0.449,0.690] |      244     269      0.476     44.1
('RTH-L', 'A')            82     43.9        9       8      19   0.529 [0.310,0.738] |      105      78      0.574    141.2
('PDC', 'B')              78     74.4       20      30       8   0.400 [0.276,0.538] |      253     278      0.476     54.1
('SWG-L', 'A')            78     89.7       25      34      11   0.424 [0.306,0.551] |      253     269      0.485     45.0
('SUPPLY', 'C')           72     70.8       28       6      17   0.824 [0.665,0.917] |      187     163      0.534     83.6
('PDC', 'A')              65     81.5       21      18      14   0.538 [0.386,0.684] |      186     196      0.487    110.6
('OR-H', 'A')             50     68.0       16       8      10   0.667 [0.467,0.820] |       73      58      0.557     96.0
