DEDUPED seated levels (one per session-day x label x price): 985 from 47 plan-sessions

== by AI grade
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
A                        906   16   79.2   294   228   196   0.563 [0.520,0.605] |  2892  2815  0.507   69.8
C                         63   10   82.5    11    18    23   0.379 [0.227,0.560] |   213   241  0.469   74.5
B                         16    4   56.2     5     1     3   0.833 [0.436,0.970] |    50    69  0.420  135.4

== by machine_grade
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
A                        714   11   80.0   238   178   155   0.572 [0.524,0.619] |  2332  2343  0.499   65.8
(none)                   205   16   77.1    58    54    46   0.518 [0.426,0.608] |   612   543  0.530   84.3
C                         55    9   80.0    11    14    19   0.440 [0.267,0.629] |   179   196  0.477   78.3
B                         11    4   54.5     3     1     2   0.750 [0.301,0.954] |    32    43  0.427  135.3

== by kind family
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
VWAP*                    247    9   85.0    83    64    63   0.565 [0.484,0.642] |   913   982  0.482   41.0
OB                        92   11   69.6    23    19    22   0.548 [0.399,0.688] |   252   279  0.475  117.0
EQL                       87   14   88.5    26    29    22   0.473 [0.347,0.602] |   305   254  0.546   57.0
EQH                       75   11   86.7    32    13    20   0.711 [0.566,0.823] |   273   236  0.536   56.0
SWG-H                     61    8   88.5    26    17    11   0.605 [0.456,0.736] |   181   192  0.485   40.6
SWG-L                     56    8   91.1    17    25     9   0.405 [0.270,0.555] |   179   192  0.482   46.5
ONL                       48   14   85.4    16    16     9   0.500 [0.336,0.664] |   201   148  0.576   48.0
ONH                       47   15   83.0    12     9    18   0.571 [0.365,0.755] |   168   162  0.509   35.7
SUPPLY                    32   11   56.2     9     3     6   0.750 [0.468,0.911] |    73    74  0.497  118.5
DEMAND                    31   10   58.1     6     8     4   0.429 [0.214,0.674] |    53    69  0.434  129.3
PDH                       30   11   46.7     5     5     4   0.500 [0.237,0.763] |    73    70  0.510  178.7
OR-H                      22   13   77.3     6     7     4   0.462 [0.232,0.709] |    62    44  0.585   74.0
PDC                       22   13   81.8     6     5     7   0.545 [0.280,0.787] |    70    77  0.476  105.4
