t0,session,day,label,fam,grade,mgrade,instr,px,first,n_eps,hold,brk,amb,dist,mfe1,mae1
1787091182000,ASIA,2026-08-18,IB-L,IB*,A,,sell breakdown,29568.25,hold,6,3,1,2,56.75,17.75,-30.0
1787091182000,ASIA,2026-08-18,ONH,ONH,A,,buy reclaim,29582.5,hold,8,5,3,0,42.5,0.0,-27.25
1787091182000,ASIA,2026-08-18,EQL,EQL,A,,sell breakdown,29564.5,hold,8,3,3,2,60.5,14.0,-33.75
1787091182000,ASIA,2026-08-18,ONL,ONL,A,,cover short,29551.5,hold,13,3,5,5,73.5,0.0,-30.0
1787091182000,ASIA,2026-08-18,OR-L,OR-L,A,,sell rejection,29644.5,break,2,0,2,0,19.5,21.75,-16.75
1787091182000,ASIA,2026-08-18,OR-H,OR-H,A,,target,29755.0,untouched,0,0,0,0,130.0,0,0
1787091182000,ASIA,2026-08-18,PDC,PDC,A,,target,29919.0,untouched,0,0,0,0,294.0,0,0
1787091182000,ASIA,2026-08-18,RTH-L,RTH-L,A,,target,30079.0,untouched,0,0,0,0,454.0,0,0
1787102739000,ASIA,2026-08-18,EQH,EQH,A,,break trigger,29586.25,hold,8,5,3,0,38.75,0.0,-23.5
1787102739000,ASIA,2026-08-18,EQH,EQH,A,,breakdown,29582.5,hold,8,5,3,0,42.5,0.0,-27.25
1787102739000,ASIA,2026-08-18,ONH,ONH,A,,fade,29602.0,ambiguous_horizon,6,1,3,2,23.0,22.25,-22.0
1787102739000,ASIA,2026-08-18,ONL,ONL,A,,target,29441.0,untouched,0,0,0,0,184.0,0,0
1787102739000,ASIA,2026-08-18,PDL,PDL,A,,target,29853.0,untouched,0,0,0,0,228.0,0,0
1787121004000,ASIA,2026-08-18,EQH,EQH,A,,monitor,29478.25,untouched,0,0,0,0,146.75,0,0
1787121004000,ASIA,2026-08-18,PDC,PDC,A,,monitor,29496.25,hold,3,3,0,0,128.75,0.0,-29.5
1787121004000,ASIA,2026-08-18,RTH-L,RTH-L,A,,monitor,29514.0,hold,6,2,4,0,111.0,3.75,-29.0
1787121004000,ASIA,2026-08-18,PDL,PDL,A,,monitor,29441.0,untouched,0,0,0,0,184.0,0,0
1787121004000,ASIA,2026-08-18,ONL,ONL,A,,monitor,29430.25,untouched,0,0,0,0,194.75,0,0
1787121004000,ASIA,2026-08-18,ONH,ONH,A,,monitor,29609.75,break,7,3,2,2,15.25,27.25,0.0
1787121004000,ASIA,2026-08-18,RTH-H,RTH-H,A,,monitor,29770.0,untouched,0,0,0,0,145.0,0,0
1787121004000,ASIA,2026-08-18,PDH,PDH,A,,monitor,29920.0,untouched,0,0,0,0,295.0,0,0
1787122700000,LONDON,2026-08-19,EQH,EQH,A,,reject_reclaim,29552.5,hold,13,4,5,4,72.5,0.0,-29.0
1787122700000,LONDON,2026-08-19,PDH,PDH,A,,target,29919.25,untouched,0,0,0,0,294.25,0,0
1787122700000,LONDON,2026-08-19,PDC,PDC,A,,target,29505.75,hold,3,2,0,1,119.25,7.0,-30.5
1787124754000,LONDON,2026-08-19,EQH,EQH,A,,short trigger on 5m close below; support while above,29555.0,hold,11,4,3,4,70.0,4.5,-26.5
1787127620000,LONDON,2026-08-19,ONH,ONH,A,,short trigger / fade first touch,29641.25,ambiguous_horizon,2,0,1,1,16.25,12.5,-13.5
1787127620000,LONDON,2026-08-19,EQL,EQL,A,,first short target / dip-buy zone,29554.5,hold,11,4,3,4,70.5,4.0,-27.0
1787146181000,NY,2026-08-19,ONH,ONH,A,,reclaim trigger,29759.0,untouched,0,0,0,0,134.0,0,0
1787146181000,NY,2026-08-19,EQH,EQH,A,,support/reclaim,29584.5,hold,8,5,3,0,40.5,0.0,-25.25
1787148248000,NY,2026-08-19,EQL,EQL,A,,pivot; watch acceptance above/below,29496.25,hold,3,3,0,0,128.75,0.0,-29.5
1787148248000,NY,2026-08-19,OR-H,OR-H,A,,long target,29742.0,untouched,0,0,0,0,117.0,0,0
1787151067000,NY,2026-08-19,OR-L,OR-L,A,,fade on rejection; flip long on 15m close above,29648.25,ambiguous_horizon,2,0,1,1,23.25,19.0,-20.5
1787176961000,ASIA,2026-08-19,nPOC,nPOC,A,,reclaim for longs / lose for shorts,29553.12,break,3,1,1,1,58.13000000000102,25.11999999999898,-24.88000000000102
