id,plan_id,version,scenario,condition,side,entry_px,stop_px,target_px,state,state_reason,kind,placement_seq,signal_id,created_at,updated_at
1,TEST-E2:88a1eb20-2e90-4573-be8e-2e7d5b6b9417,0,TEST-E2,,long,29580.0,29540.0,29660.0,cancelled,test seam cancel,,0,88a1eb20-2e90-4573-be8e-2e7d5b6b9417,2026-08-27 16:31:36.481266909+00:00,2026-08-27 16:32:11.475432751+00:00
2,TEST-E2:78be209a-b6fd-4b33-abe5-71b7d3480a0c,0,TEST-E2,,long,29000.0,28960.0,29080.0,cancelled,test seam cancel,,0,78be209a-b6fd-4b33-abe5-71b7d3480a0c,2026-08-27 18:31:15.300086528+00:00,2026-08-27 18:31:42.44976647+00:00
3,TEST-E2:efe72b44-d367-4495-8c2d-6781d56f0a83,0,TEST-E2,,long,29050.0,29010.0,29130.0,cancelled,test seam cancel,,0,efe72b44-d367-4495-8c2d-6781d56f0a83,2026-08-27 18:39:45.231616923+00:00,2026-08-27 18:46:41.585305571+00:00
4,TEST-E2:f3ba7740-a561-4581-b526-a6bcf5d9c009,0,TEST-E2,,long,29100.0,29060.0,29180.0,cancelled,test seam cancel,,0,f3ba7740-a561-4581-b526-a6bcf5d9c009,2026-08-27 18:42:40.387592959+00:00,2026-08-27 18:43:13.789122185+00:00
5,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S1,,short,29621.01,29642.0,29576.5,filled,fill@29621.00,,0,f14ea5dd-206e-47c7-af92-b421e4cac885,2026-08-27 23:52:52.930552439-05:00,2026-08-28 06:43:06.656280334+00:00
6,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,,short,29702.0,29726.7,29644.38,filled,fill@29642.00,,0,888bcd99-e89a-4d9d-b989-cf2db1b238df,2026-08-28 06:37:42.088393691-05:00,2026-08-28 13:27:26.791150278+00:00
7,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S4,,short,29574.0,29592.0,29490.88,cancelled,no active plan,,0,,2026-08-28 07:36:16.423266936-05:00,2026-08-28 13:30:01.127960786+00:00
8,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,,short,29663.45,29684.0,29620.0,cancelled,cancelled in NT8,,0,a3c6df2c-50a7-4853-966a-79d1111269d3,2026-08-28 08:17:25.701957864-05:00,2026-08-28 13:30:01.237063328+00:00
9,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,,long,29464.25,29420.0,29562.0,filled,fill@29700.00,,0,57cff804-4116-4b87-8ae5-2a60597fbb32,2026-08-28 08:35:27.681653187-05:00,2026-08-28 18:07:07.804403025+00:00
10,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S2,,long,29480.0,29430.0,29588.25,filled,fill@29463.25,,0,54ece976-6d62-4350-8234-ddac5a06e65f,2026-08-28 12:07:01.395121704-05:00,2026-08-28 17:59:07.105020866+00:00
11,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,,short,29586.25,29636.25,29479.5,cancelled,session ended (EOD flat),,0,,2026-08-28 12:07:01.395121704-05:00,2026-08-28 19:45:21.354931456+00:00
