case,open_time_ms,o,h,l,c
strict_first_37304,1788485760000,29538.75,29542.0,29538.0,29542.0
strict_first_37304,1788485820000,29542.0,29549.25,29540.25,29540.5
strict_first_37304,1788485880000,29540.25,29541.25,29535.75,29539.25
strict_first_37304,1788485940000,29539.75,29540.5,29536.25,29538.5
strict_first_37304,1788486000000,29537.25,29542.75,29537.25,29539.75
strict_first_37304,1788486060000,29540.0,29541.75,29537.5,29538.25
strict_first_37304,1788486120000,29539.0,29542.0,29538.75,29539.0
strict_first_37304,1788486180000,29538.75,29540.0,29534.25,29539.5
strict_first_37304,1788486240000,29540.0,29546.5,29538.5,29545.0
strict_first_37304,1788486300000,29545.0,29545.75,29536.5,29537.75
strict_first_37304,1788486360000,29537.75,29539.75,29536.5,29537.0
strict_first_37304,1788486420000,29537.25,29538.5,29536.0,29537.25
strict_first_37304,1788486480000,29537.25,29537.75,29533.75,29535.0
strict_first_37304,1788486540000,29535.5,29537.25,29531.0,29532.75
strict_first_37304,1788486600000,29532.5,29532.75,29526.0,29530.75
strict_first_37304,1788486660000,29531.0,29531.5,29527.25,29527.75
strict_first_37304,1788486720000,29528.5,29533.0,29528.0,29531.0
strict_first_37304,1788486780000,29531.5,29541.0,29529.25,29535.0
strict_first_37304,1788486840000,29535.0,29535.0,29527.25,29527.5
strict_first_37304,1788486900000,29528.0,29531.0,29523.25,29530.75
strict_first_37304,1788486960000,29531.0,29538.5,29530.5,29538.0
strict_first_37304,1788487020000,29538.25,29548.0,29536.0,29542.25
strict_first_37304,1788487080000,29542.75,29549.0,29541.75,29547.0
strict_first_37304,1788487140000,29547.0,29548.75,29545.75,29547.75
strict_first_37304,1788487200000,29548.25,29548.5,29544.25,29545.75
strict_first_37304,1788487260000,29545.0,29546.75,29537.0,29540.0
strict_first_37304,1788487320000,29541.0,29545.0,29540.75,29544.5
strict_first_37304,1788487380000,29545.0,29547.75,29542.0,29542.5
strict_first_37304,1788487440000,29542.5,29542.5,29539.25,29539.5
strict_first_37304,1788487500000,29539.75,29546.0,29539.0,29544.75
strict_first_37304,1788487560000,29544.5,29545.25,29541.75,29544.5
strict_first_37304,1788487620000,29544.5,29545.0,29543.25,29543.75
strict_first_37304,1788487680000,29543.75,29545.75,29542.0,29542.0
strict_first_37304,1788487740000,29541.75,29547.0,29541.5,29546.25
strict_first_37304,1788487800000,29546.0,29548.0,29544.75,29545.25
strict_first_37304,1788487860000,29545.75,29550.0,29545.0,29549.0
strict_first_37304,1788487920000,29548.75,29553.5,29548.75,29550.25
strict_first_37304,1788487980000,29550.0,29550.25,29545.0,29548.5
strict_first_37304,1788488040000,29548.25,29551.5,29547.5,29550.0
strict_first_37304,1788488100000,29550.0,29550.5,29548.75,29549.5
strict_first_37304,1788488160000,29550.0,29550.75,29547.5,29549.5
strict_first_37304,1788488220000,29549.0,29551.25,29547.75,29550.5
strict_first_37304,1788488280000,29550.5,29551.25,29547.5,29550.5
strict_first_37304,1788488340000,29550.5,29551.25,29549.25,29550.75
strict_first_37304,1788488400000,29550.25,29550.75,29547.0,29549.5
strict_first_37304,1788488460000,29549.75,29553.5,29547.0,29551.5
strict_first_37304,1788488520000,29551.25,29552.5,29550.5,29551.5
strict_first_37304,1788488580000,29550.5,29554.75,29550.5,29553.25
strict_first_37304,1788488640000,29553.5,29556.5,29553.5,29554.5
strict_first_37304,1788488700000,29554.75,29555.75,29552.25,29555.25
strict_first_37304,1788488760000,29554.75,29556.0,29553.0,29556.0
strict_first_37304,1788488820000,29555.75,29556.25,29553.5,29553.5
strict_first_37304,1788488880000,29553.25,29554.25,29552.5,29554.0
strict_first_37304,1788488940000,29554.0,29555.25,29552.75,29555.25
strict_first_37304,1788489000000,29555.0,29566.0,29555.0,29565.0
minsl_cycle27229,1788454140000,29527.75,29533.0,29524.5,29530.75
minsl_cycle27229,1788454200000,29530.5,29532.75,29525.0,29530.25
minsl_cycle27229,1788454260000,29530.0,29532.75,29520.0,29525.5
minsl_cycle27229,1788454320000,29525.5,29525.5,29518.25,29519.75
minsl_cycle27229,1788454380000,29519.25,29521.5,29516.25,29518.25
minsl_cycle27229,1788454440000,29517.75,29523.0,29516.75,29520.5
minsl_cycle27229,1788454500000,29521.25,29526.5,29519.5,29525.75
minsl_cycle27229,1788454560000,29525.5,29528.75,29521.0,29523.75
minsl_cycle27229,1788454620000,29524.25,29540.25,29523.75,29539.25
minsl_cycle27229,1788454680000,29539.25,29548.0,29530.5,29532.0
minsl_cycle27229,1788454740000,29532.0,29533.0,29525.5,29527.75
