id,timestamp,plan_id,plan_version,cited_scenario_id,execution_log,risk_check_error
36640,2026-09-02 23:48:49.460042542+00:00,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,"[""AI call duration: 36043 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29231.00 too close (25.25 \u003c 450.56 = 1.5×ATR5m)""]",entry_gate: entry_gate: stop 29231.00 too close (25.25 < 450.56 = 1.5×ATR5m)
36641,2026-09-02 23:50:36.259409601+00:00,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,"[""AI call duration: 50125 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29226.50 too close (21.00 \u003c 450.56 = 1.5×ATR5m)""]",entry_gate: entry_gate: stop 29226.50 too close (21.00 < 450.56 = 1.5×ATR5m)
36642,2026-09-02 23:52:33.457783323+00:00,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,"[""AI call duration: 29310 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29230.00 too close (22.00 \u003c 450.56 = 1.5×ATR5m)""]",entry_gate: entry_gate: stop 29230.00 too close (22.00 < 450.56 = 1.5×ATR5m)
36645,2026-09-03 00:00:23.260187049+00:00,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,"[""AI call duration: 46385 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.42 below floor 2.00 at execution price 29197.0000 (SL 29228.0000 TP 29153.0000)""]",entry_gate: entry_gate: R:R 1.42 below floor 2.00 at execution price 29197.0000 (SL 29228.0000 TP 29153.0000)
36703,2026-09-03 01:53:52.582859887+00:00,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,S2,"[""AI call duration: 79711 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.73 below floor 2.00 at execution price 29159.7500 (SL 29193.2500 TP 29101.7500)""]",entry_gate: entry_gate: R:R 1.73 below floor 2.00 at execution price 29159.7500 (SL 29193.2500 TP 29101.7500)
36864,2026-09-03 07:12:56.120731912+00:00,2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,"[""AI call duration: 36469 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.76 below floor 2.00 at execution price 29193.2500 (SL 29242.0000 TP 29107.2500)""]",entry_gate: entry_gate: R:R 1.76 below floor 2.00 at execution price 29193.2500 (SL 29242.0000 TP 29107.2500)
37304,2026-09-04 01:35:06.219368968+00:00,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,"[""AI call duration: 60074 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37305,2026-09-04 01:37:51.598175366+00:00,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,"[""AI call duration: 31852 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37306,2026-09-04 01:39:40.877842879+00:00,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,"[""AI call duration: 95399 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37307,2026-09-04 01:42:27.961590429+00:00,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,"[""AI call duration: 44451 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
