id,trade_date,session,plan_id,version,bias_ai,bias_tree,bias_regime,tokens_in,created_at
1,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-03 05:00:56.789821087+00:00
2,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-03 05:30:56.646475494+00:00
3,2026-09-03,LONDON,,0,,,up/NORMAL,0,2026-09-03 06:30:56.445000524+00:00
4,2026-09-03,NY,,0,,,up/NORMAL,0,2026-09-03 13:00:54.901118232+00:00
5,2026-09-03,LONDON,,0,,,up/NORMAL,0,2026-09-03 13:06:54.87814869+00:00
6,2026-09-03,NY,,0,,,up/NORMAL,0,2026-09-03 13:36:54.786850044+00:00
7,2026-09-03,NY,,0,,,up/NORMAL,0,2026-09-03 14:06:54.682659757+00:00
8,2026-09-03,NY,,0,,,up/NORMAL,0,2026-09-03 14:38:54.576697912+00:00
9,2026-09-03,NY,,0,,,up/NORMAL,0,2026-09-03 15:10:54.42821407+00:00
10,2026-09-03,NY,,0,,,up/NORMAL,0,2026-09-03 15:45:01.061941686+00:00
11,2026-09-03,NY,,0,,,up/NORMAL,0,2026-09-03 16:20:33.304865215+00:00
12,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-03 21:30:21.037865295+00:00
13,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-03 23:00:24.77738496+00:00
14,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-03 23:41:09.977360686+00:00
15,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-04 00:18:06.387153659+00:00
16,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-04 00:50:05.081048931+00:00
17,2026-09-03,ASIA,,0,,,up/NORMAL,0,2026-09-04 01:24:03.589160112+00:00
18,2026-09-04,ASIA,,0,,,up/NORMAL,0,2026-09-04 05:30:54.847415688+00:00
19,2026-09-04,ASIA,,0,,,up/NORMAL,0,2026-09-04 06:10:50.022331592+00:00
20,2026-09-04,LONDON,,0,,,up/NORMAL,0,2026-09-04 06:30:48.519751941+00:00
21,2026-09-04,LONDON,,0,,,up/NORMAL,0,2026-09-04 07:00:46.669860678+00:00
22,2026-09-04,LONDON,,0,,,up/NORMAL,0,2026-09-04 12:45:01.088784673+00:00
23,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 13:00:38.490677651+00:00
24,2026-09-04,LONDON,,0,,,up/NORMAL,0,2026-09-04 13:17:32.490258419+00:00
25,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 13:32:00.632949016+00:00
26,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 13:46:10.083417136+00:00
27,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 14:26:06.335835574+00:00
28,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 14:58:05.523794913+00:00
29,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 15:28:02.516688712+00:00
30,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 15:55:10.609966776+00:00
31,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 16:25:08.294553595+00:00
32,2026-09-04,NY,,0,,,up/NORMAL,0,2026-09-04 17:01:01.822523157+00:00
