plan_rowid,plan_id,version,trade_date,session,trigger_reason,lifecycle,created_at,prompt_hash
162,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-30,ASIA,e7_incident_kill:manual_cancel_respected,no_trade,2026-08-30 22:08:56.532686042+00:00,30cebc96fe8b
163,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-30,ASIA,e7_incident_kill:manual_cancel_respected,no_trade,2026-08-30 23:35:34.353909887+00:00,023fd225cea1
164,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-30,ASIA,planner_fail_closed,no_trade,2026-08-31 06:06:50.529175609+00:00,c39d98e8e55d
165,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-31,LONDON,planner_fail_closed,no_trade,2026-08-31 11:50:50.477203606+00:00,d0f7312ae3d9
166,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-31,LONDON,owner_reset,active,2026-08-31 12:40:35.635911784+00:00,5631f606e3a0
167,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-31,LONDON,planner_fail_closed,no_trade,2026-08-31 13:33:54.052197028+00:00,b992aeb6cce6
168,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-31,NY,planner_fail_closed,no_trade,2026-08-31 13:47:19.159722616+00:00,521ff16d49b9
169,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-31,NY,planner_fail_closed,no_trade,2026-08-31 14:33:18.205052745+00:00,efac4a1dd75f
170,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-31,NY,owner_reset,active,2026-08-31 14:52:26.136763364+00:00,28250aa44112
171,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-08-31,NY,level_event,active,2026-08-31 16:58:55.105300828+00:00,d28c0e1358e2
172,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-08-31,NY,level_event,active,2026-08-31 17:30:09.506461703+00:00,03ad7e8aac91
173,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-08-31,NY,"rearmed:2x5m close back above 29426.92 (buffer 0.5×ATR14, 2× 5m closes)",active,2026-08-31 17:53:49.126973847+00:00,ceed00291f0a
174,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-08-31,NY,level_event,active,2026-08-31 19:34:06.907129435+00:00,831b3010cc51
175,2026-08-31:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-31,ASIA,planner_fail_closed,no_trade,2026-08-31 22:18:32.424311885+00:00,81b3f0e2f9f5
176,2026-08-31:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-31,ASIA,planner_fail_closed,no_trade,2026-09-01 06:01:09.185985264+00:00,96a1e67c7feb
177,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-01,LONDON,planner_fail_closed,no_trade,2026-09-01 06:49:31.611303979+00:00,cd35f43c207c
178,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-01,LONDON,level_event,active,2026-09-01 07:48:27.147608044+00:00,5c418f643e51
179,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-01,LONDON,"dormant:flip:flip-condition: 2x5m close above 29231.63 (buffer 0.5×ATR14, 2× 5m closes) → bias long",dormant,2026-09-01 09:52:43.58927415+00:00,514aed56019f
180,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-01,LONDON,level_event,active,2026-09-01 10:34:30.471875347+00:00,91815c3c6fee
181,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-01,LONDON,level_event,active,2026-09-01 12:07:32.457995675+00:00,2025d634b059
182,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-01,LONDON,level_event,active,2026-09-01 12:56:33.428824441+00:00,df0f3f534838
183,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-01,NY,NY_scheduled_read,active,2026-09-01 13:06:46.843606074+00:00,7b72ac4ce972
184,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-01,NY,"dormant:death:death-condition: 2x5m close above 29125.00 (buffer 0.5×ATR14, 2× 5m closes)",dormant,2026-09-01 13:53:16.675232915+00:00,48bd23120c0b
185,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-01,NY,"dormant:flip:flip-condition: 2x5m close above 29177.50 (buffer 0.5×ATR14, 8× 5m closes) → bias long",dormant,2026-09-01 14:20:44.334636695+00:00,92522aa1545a
186,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-01,NY,"rearmed:2x5m close back below 29212.50 (buffer 0.5×ATR14, 2× 5m closes)",active,2026-09-01 15:24:39.84200611+00:00,5ea956d287c1
187,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-01,NY,level_event,active,2026-09-01 18:00:02.422545628+00:00,f7633096e790
188,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-01,ASIA,planner_fail_closed,no_trade,2026-09-01 22:23:14.552368773+00:00,1338de68604e
189,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-01,ASIA,planner_fail_closed,no_trade,2026-09-01 23:00:41.426172254+00:00,c9ab05d2b5b2
190,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-01,ASIA,planner_fail_closed,no_trade,2026-09-02 02:14:52.024318062+00:00,4cd15a2a2dfa
191,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-01,ASIA,planner_fail_closed,no_trade,2026-09-02 02:53:46.232301994+00:00,2fc284e847db
192,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-01,ASIA,owner_reset,active,2026-09-02 04:12:44.863744197+00:00,78ec3821da13
193,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-01,ASIA,level_event,active,2026-09-02 04:20:29.111842193+00:00,f829290e7cb4
194,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,level_event,active,2026-09-02 04:58:16.814850757+00:00,7d2cab340f2e
195,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,level_event,active,2026-09-02 05:19:46.268265315+00:00,2c0e1f24f56f
196,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-01,ASIA,"rearmed:2x5m close back above 29035.25 (buffer 0.5×ATR14, 2× 5m closes)",active,2026-09-02 05:47:12.316108722+00:00,6c1be0f4e1de
197,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,LONDON,planner_fail_closed,no_trade,2026-09-02 06:37:44.942514709+00:00,ae539d43b6ce
198,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-01,ASIA,level_event,active,2026-09-02 06:51:21.943448972+00:00,32eb0e98d722
199,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,owner_reset,active,2026-09-02 12:15:26.91598776+00:00,ce542e4ea097
200,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,level_event,active,2026-09-02 12:21:59.485958261+00:00,8850bf818af3
201,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,level_event,active,2026-09-02 12:44:03.782123565+00:00,9348c2c97b74
202,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,level_event,active,2026-09-02 13:01:50.097892616+00:00,6387138d8cd9
203,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,"dormant:flip:flip-condition: 5m_close close above 29058.75 (buffer 0.5×ATR14, 6× 5m closes) → bias long",dormant,2026-09-02 13:09:44.227918797+00:00,fd183956f54c
204,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,level_event,active,2026-09-02 13:20:47.995221513+00:00,d036fcfc9ab0
