reject_ids,attempts,session,trade_date,first_reject,last_reject,within_reject_span_seconds,next_plan_rowid,next_trigger,first_reject_to_next_plan_seconds,quality
"75,76,77","1,2,3",ASIA,2026-09-01,2026-09-01 22:10:09.487645341+00:00,2026-09-01 22:23:14.529859293+00:00,785.042214,188,planner_fail_closed,785.064723,temporal association only; no read UUID; not measured model latency
"78,79,80","1,2,3",ASIA,2026-09-01,2026-09-01 22:47:32.190745274+00:00,2026-09-01 23:00:41.404223272+00:00,789.213478,189,planner_fail_closed,789.235427,temporal association only; no read UUID; not measured model latency
"81,82,83","1,2,3",ASIA,2026-09-01,2026-09-02 01:59:42.273354695+00:00,2026-09-02 02:14:51.999313692+00:00,909.725959,190,planner_fail_closed,909.750964,temporal association only; no read UUID; not measured model latency
"84,85,86","1,2,3",ASIA,2026-09-01,2026-09-02 02:44:29.846250866+00:00,2026-09-02 02:53:46.214997939+00:00,556.368747,191,planner_fail_closed,556.386051,temporal association only; no read UUID; not measured model latency
"87,88","1,2",ASIA,2026-09-01,2026-09-02 04:47:33.214108988+00:00,2026-09-02 04:55:06.862471759+00:00,453.648363,194,level_event,643.600742,temporal association only; no read UUID; not measured model latency
"89,90,91","1,2,3",ASIA,2026-09-01,2026-09-02 06:15:50.866011681+00:00,2026-09-02 06:15:57.061892751+00:00,6.195881,198,level_event,2131.077437,temporal association only; no read UUID; not measured model latency
"69,70","2,3",NY,2026-09-01,2026-09-01 16:59:57.290493794+00:00,2026-09-01 17:06:32.135166487+00:00,394.844673,,,,temporal association only; no read UUID; not measured model latency
"71,72,73","1,2,3",NY,2026-09-01,2026-09-01 17:33:07.176072345+00:00,2026-09-01 17:52:48.127935959+00:00,1180.951863,,,,temporal association only; no read UUID; not measured model latency
74,1,NY,2026-09-01,2026-09-01 17:59:12.314812245+00:00,2026-09-01 17:59:12.314812245+00:00,0.0,187,level_event,50.107733,temporal association only; no read UUID; not measured model latency
101,1,ASIA,2026-09-02,2026-09-02 23:00:42.373653348+00:00,2026-09-02 23:00:42.373653348+00:00,0.0,219,level_event,240.074032,temporal association only; no read UUID; not measured model latency
102,1,ASIA,2026-09-02,2026-09-02 23:13:41.032929248+00:00,2026-09-02 23:13:41.032929248+00:00,0.0,220,level_event,444.577875,temporal association only; no read UUID; not measured model latency
"103,104","1,2",ASIA,2026-09-02,2026-09-02 23:38:26.345870526+00:00,2026-09-02 23:39:44.072010617+00:00,77.72614,221,level_event,306.740403,temporal association only; no read UUID; not measured model latency
"105,106,107","1,2,3",ASIA,2026-09-02,2026-09-03 00:35:00.100535207+00:00,2026-09-03 00:38:17.296230867+00:00,197.195695,,,,temporal association only; no read UUID; not measured model latency
108,1,ASIA,2026-09-02,2026-09-03 01:03:55.812458031+00:00,2026-09-03 01:03:55.812458031+00:00,0.0,,,,temporal association only; no read UUID; not measured model latency
"109,110","1,2",ASIA,2026-09-02,2026-09-03 01:36:47.044612667+00:00,2026-09-03 01:58:23.970399044+00:00,1296.925787,226,level_event,1576.401555,temporal association only; no read UUID; not measured model latency
111,1,ASIA,2026-09-02,2026-09-03 02:29:06.627854454+00:00,2026-09-03 02:29:06.627854454+00:00,0.0,227,level_event,171.975456,temporal association only; no read UUID; not measured model latency
"112,113","1,2",ASIA,2026-09-02,2026-09-03 02:44:50.070835612+00:00,2026-09-03 02:46:34.08408331+00:00,104.013248,228,level_event,307.860387,temporal association only; no read UUID; not measured model latency
114,1,ASIA,2026-09-02,2026-09-03 05:07:05.001164352+00:00,2026-09-03 05:07:05.001164352+00:00,0.0,230,level_event,100.840152,temporal association only; no read UUID; not measured model latency
115,1,ASIA,2026-09-02,2026-09-03 05:33:15.599192784+00:00,2026-09-03 05:33:15.599192784+00:00,0.0,,,,temporal association only; no read UUID; not measured model latency
"92,93,94","1,2,3",LONDON,2026-09-02,2026-09-02 06:32:54.270889137+00:00,2026-09-02 06:37:44.932552231+00:00,290.661663,197,planner_fail_closed,290.671625,temporal association only; no read UUID; not measured model latency
"95,96","1,2",NY,2026-09-02,2026-09-02 17:57:32.340532114+00:00,2026-09-02 18:00:14.040648259+00:00,161.700116,213,level_event,283.199545,temporal association only; no read UUID; not measured model latency
97,1,NY,2026-09-02,2026-09-02 18:56:32.05844239+00:00,2026-09-02 18:56:32.05844239+00:00,0.0,215,level_event,27.053355,temporal association only; no read UUID; not measured model latency
"98,99,100","1,2,3",NY,2026-09-02,2026-09-02 19:22:33.240975743+00:00,2026-09-02 19:25:17.058558805+00:00,163.817583,,,,temporal association only; no read UUID; not measured model latency
116,1,ASIA,2026-09-03,2026-09-04 05:37:17.294777906+00:00,2026-09-04 05:37:17.294777906+00:00,0.0,246,level_event,176.527276,temporal association only; no read UUID; not measured model latency
117,1,LONDON,2026-09-04,2026-09-04 12:52:37.160447359+00:00,2026-09-04 12:52:37.160447359+00:00,0.0,250,level_event,220.568599,temporal association only; no read UUID; not measured model latency
"121,122","1,2",LONDON,2026-09-04,2026-09-04 13:25:34.473894771+00:00,2026-09-04 13:28:32.704571189+00:00,178.230677,,,,temporal association only; no read UUID; not measured model latency
"118,119,120","1,2,3",NY,2026-09-04,2026-09-04 13:07:20.964657245+00:00,2026-09-04 13:11:45.602575556+00:00,264.637918,251,planner_fail_closed,264.655849,temporal association only; no read UUID; not measured model latency
123,1,NY,2026-09-04,2026-09-04 13:41:25.949209682+00:00,2026-09-04 13:41:25.949209682+00:00,0.0,252,owner_reset,200.739367,temporal association only; no read UUID; not measured model latency
"124,125,126","1,2,3",NY,2026-09-04,2026-09-04 14:37:05.828372965+00:00,2026-09-04 14:43:31.398312564+00:00,385.56994,,,,temporal association only; no read UUID; not measured model latency
"127,128,129","1,2,3",NY,2026-09-04,2026-09-04 15:00:52.329703824+00:00,2026-09-04 15:05:36.434197573+00:00,284.104494,,,,temporal association only; no read UUID; not measured model latency
"130,131,132","1,2,3",NY,2026-09-04,2026-09-04 15:30:39.920532388+00:00,2026-09-04 15:34:21.28301676+00:00,221.362484,254,level_event,1970.601171,temporal association only; no read UUID; not measured model latency
