opportunity_version_key,geometry_hash,plan_rowid,plan_id,version,scenario,condition,direction,lifecycle,rule,confirm2_rule,ref_price,arm_enabled,start_ct,end_ct,expected_bars,stored_bars,complete_grid,first_touch_bar_ms,touch_proxy,full_confirm_supported,full_live_fire
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S1|idx0,7d9e6151bb3c2000,162,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,sweep_reclaim,long,no_trade,2x5m_close,,29501,False,2026-08-30T17:08:56.532686-05:00,2026-08-30T18:35:34.353909-05:00,86,86,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S2|idx1,ac4492c08d384597,162,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,reject,long,no_trade,2x5m_close,,29494.38,True,2026-08-30T17:08:56.532686-05:00,2026-08-30T18:35:34.353909-05:00,86,86,True,1788128400000,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S3|idx2,850e4a0b02635976,162,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S3,breakout_retest,long,no_trade,2x5m_close,,29509.5,False,2026-08-30T17:08:56.532686-05:00,2026-08-30T18:35:34.353909-05:00,86,86,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S4|idx3,146aadce32ac05d6,162,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S4,sweep_reclaim,long,no_trade,15m_close,,29437,True,2026-08-30T17:08:56.532686-05:00,2026-08-30T18:35:34.353909-05:00,86,86,True,1788129360000,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S1|idx0,188f012d46f1a69e,163,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,breakdown_continue,short,no_trade,1x5m_close,,29371.5,False,2026-08-30T18:35:34.353909-05:00,2026-08-31T01:06:50.529175-05:00,390,390,True,1788132960000,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S2|idx1,a1eaff392855d8fd,163,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,sweep_reclaim,long,no_trade,touch,1x5m_close,29371.5,True,2026-08-30T18:35:34.353909-05:00,2026-08-31T01:06:50.529175-05:00,390,390,True,1788132960000,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S3|idx2,6e042ebc0725eedb,163,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S3,reject,short,no_trade,touch,,29414.21,True,2026-08-30T18:35:34.353909-05:00,2026-08-31T01:06:50.529175-05:00,390,390,True,1788152220000,EXCLUDED_INACTIVE,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v3|S0|idx0,7bd4db634c80bf5d,164,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S0,hold,long,no_trade,,,,False,2026-08-31T01:06:50.529175-05:00,2026-08-31T02:00:00-05:00,53,53,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S0|idx0,7bd4db634c80bf5d,165,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S0,hold,long,no_trade,,,,False,2026-08-31T06:50:50.477203-05:00,2026-08-31T07:40:35.635911-05:00,49,49,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S1|idx0,ded1b79887ddf572,166,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,reject,long,active,touch,,29437,True,2026-08-31T07:40:35.635911-05:00,2026-08-31T08:30:00-05:00,49,49,True,1788182880000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
