position_id,pnl_corrected,plan_id,plan_version,plan_rowid,plan_precedes_entry,scenario,condition,same_trader_side_abs180s_candidates,exact_executed_candidates,ticket_id,decision_record_minus_fill_seconds,ticket_stop,ticket_target,initial_broker_risk_verified,mae_mfe_kind
521,138.0,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,31,True,S1,reject,30040,30040,30040,1.006162,29646.25,29554.5,False,position-field proxy; censored; not trade_excursions
522,-60.5,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,31,True,S3,acceptance,30071,30071,30071,1.009613,29588.5,29441,False,position-field proxy; censored; not trade_excursions
523,118.0,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,33,True,S1,reject,30084,30084,30084,1.007043,29515.25,29407.75,False,position-field proxy; censored; not trade_excursions
524,273.5,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,34,True,S1,reject,"30122,30123",30123,30123,1.007859,29672.5,29514,False,position-field proxy; censored; not trade_excursions
525,-43.0,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,35,True,S1,reclaim,30297,30297,30297,1.007814,29625.5,29770,False,position-field proxy; censored; not trade_excursions
526,-69.42857199999708,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,38,True,S2,acceptance,30357,30357,30357,1.007663,29688.5,29500,False,position-field proxy; censored; not trade_excursions
527,-88.0,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,38,True,S2,acceptance,"30416,30417",30417,30417,1.007578,29648.25,29470,False,position-field proxy; censored; not trade_excursions
528,-97.5,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,40,True,S1,breakout_retest,30557,30557,30557,1.010665,29552,29375.75,False,position-field proxy; censored; not trade_excursions
529,168.0,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,40,True,S2,reject,30616,30616,30616,1.007866,29584.5,29455.25,False,position-field proxy; censored; not trade_excursions
531,-147.5,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,41,True,S3,reclaim,30713,30713,30713,1.011945,29370,29688.5,False,position-field proxy; censored; not trade_excursions
532,311.0,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,42,True,S1,acceptance,30744,30744,30744,1.011762,29461.5,29240.25,False,position-field proxy; censored; not trade_excursions
533,-54.5,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,43,True,S2,reject,30962,30962,30962,1.010278,29349.5,29238.5,False,position-field proxy; censored; not trade_excursions
534,-66.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,44,True,S2,breakout_retest,31002,31002,31002,1.007226,29365.25,29240.25,False,position-field proxy; censored; not trade_excursions
535,-31.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,44,True,S1,reject,31057,31057,31057,1.012672,29376.25,29273.5,False,position-field proxy; censored; not trade_excursions
536,124.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,45,True,S1,reject,31070,31070,31070,1.010104,29411.25,29331,False,position-field proxy; censored; not trade_excursions
537,-79.5,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,45,True,S1,reject,31155,31155,31155,1.009766,29400,29256,False,position-field proxy; censored; not trade_excursions
538,30.5,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,45,True,S1,reject,31192,31192,31192,1.010662,29406.25,29338.5,False,position-field proxy; censored; not trade_excursions
