trade_date,session,version,scenario,condition,direction,ref_price,fired,first_touch_ct
2026-08-20,ASIA,3,S1,reject,short,29395.0,FIRED,08-20 21:36
2026-08-20,ASIA,3,S2,acceptance,short,29331.0,FIRED,08-20 23:27
2026-08-20,ASIA,3,S3,reject,short,29485.0,NOT_FIRED,
2026-08-20,LONDON,2,S1,breakout_retest,short,29515.25,FIRED,08-20 03:23
2026-08-20,LONDON,2,S2,reject,short,29557.5,FIRED,08-20 05:12
2026-08-20,LONDON,2,S3,reject,short,29617.0,NOT_FIRED,
2026-08-20,NY,2,S1,acceptance,short,29433.75,FIRED,08-20 09:47
2026-08-20,NY,2,S2,reject,short,29617.0,NOT_FIRED,
2026-08-20,NY,2,S3,acceptance,short,29375.75,FIRED,08-20 08:48
2026-08-21,LONDON,4,S1,reject,short,29470.25,FIRED,08-21 08:28
2026-08-21,LONDON,4,S2,breakout_retest,short,29358.25,NOT_FIRED,
2026-08-21,LONDON,4,S3,reclaim,long,29470.25,FIRED,08-21 08:28
2026-08-21,NY,1,S1,reject,short,29470.25,FIRED,08-21 08:30
2026-08-21,NY,1,S2,acceptance,short,29358.25,FIRED,08-21 08:33
2026-08-21,NY,1,S3,breakout_retest,short,29273.5,FIRED,08-21 08:54
2026-08-24,ASIA,5,S1,reclaim,long,29243.75,NO_BARS,
2026-08-24,ASIA,5,S2,reject,short,29288.0,NO_BARS,
2026-08-24,ASIA,5,S3,sweep_reclaim,long,29297.75,NO_BARS,
2026-08-24,ASIA,5,S4,acceptance,short,29243.75,NO_BARS,
2026-08-24,NY,8,S1,acceptance,short,29150.0,FIRED,08-24 12:21
2026-08-24,NY,8,S2,reject,short,29220.25,FIRED,08-24 11:22
2026-08-24,NY,8,S3,sweep_reclaim,long,29082.5,NOT_FIRED,
2026-08-25,ASIA,16,S1,hold,long,29228.5,NO_BARS,
2026-08-25,ASIA,16,S2,breakout_retest,long,29310.0,NO_BARS,
2026-08-25,ASIA,16,S3,sweep_reclaim,short,29310.0,NO_BARS,
2026-08-25,ASIA,16,S4,reject,short,29502.88,NO_BARS,
2026-08-25,LONDON,2,S1,breakout_retest,long,29327.75,FIRED,08-25 04:11
2026-08-25,LONDON,2,S2,hold,long,29297.75,FIRED,08-25 08:29
2026-08-25,LONDON,2,S3,sweep_reclaim,long,29243.75,NOT_FIRED,
2026-08-25,NY,2,S1,acceptance,short,29243.75,FIRED,08-25 09:38
2026-08-25,NY,2,S2,acceptance,short,29220.25,FIRED,08-25 09:42
2026-08-25,NY,2,S3,reject,short,29279.25,FIRED,08-25 10:29
2026-08-25,NY,2,S4,reject,short,29377.0,NOT_FIRED,
2026-08-26,ASIA,10,S1,reject,short,29539.38,FIRED,08-26 23:16
2026-08-26,ASIA,10,S2,sweep_reclaim,short,29577.25,NOT_FIRED,
2026-08-26,ASIA,10,S3,breakout_retest,short,29533.5,FIRED,08-26 23:11
2026-08-26,LONDON,15,S1,reject,short,29212.5,NO_BARS,
2026-08-26,LONDON,15,S2,acceptance,short,29095.5,NO_BARS,
2026-08-26,LONDON,15,S3,sweep_reclaim,long,29095.5,NO_BARS,
2026-08-27,ASIA,13,S1,reject,short,29618.47,NO_BARS,
2026-08-27,ASIA,13,S2,breakout_retest,short,29591.5,NO_BARS,
2026-08-27,ASIA,13,S3,reject,short,29642.0,NO_BARS,
2026-08-27,ASIA,13,S4,sweep_reclaim,long,29402.25,NO_BARS,
2026-08-27,ASIA,13,S5,sweep_reclaim,short,29707.5,NO_BARS,
2026-08-27,LONDON,7,S1,reject,short,29539.38,FIRED,08-27 08:22
2026-08-27,LONDON,7,S2,acceptance,short,29486.95,NOT_FIRED,
2026-08-27,NY,5,S1,sweep_reclaim,long,29548.74,NOT_FIRED,
2026-08-27,NY,5,S2,breakout_retest,long,29575.25,FIRED,08-27 14:06
2026-08-27,NY,5,S3,reject,short,29611.04,FIRED,08-27 14:21
2026-08-27,NY,5,S4,sweep_reclaim,long,29526.0,NOT_FIRED,
2026-08-28,LONDON,6,S1,sweep_reclaim,short,29707.5,NOT_FIRED,
2026-08-28,LONDON,6,S2,reject,short,29663.45,NOT_FIRED,
2026-08-28,LONDON,6,S3,sweep_reclaim,long,29541.12,NOT_FIRED,
2026-08-28,NY,7,S1,sweep_reclaim,long,29445.53,FIRED,08-28 13:50
2026-08-28,NY,7,S2,breakout_retest,long,29531.05,NOT_FIRED,
2026-08-28,NY,7,S3,reject,short,29577.75,NOT_FIRED,
2026-08-31,NY,7,S1,hold,long,29422.25,NOT_FIRED,
2026-08-31,NY,7,S2,reject,long,29410.98,NOT_FIRED,
2026-08-31,NY,7,S3,reject,short,29445.5,FIRED,08-31 14:35
2026-09-01,ASIA,10,S1,sweep_reclaim,long,29016.5,NO_BARS,
2026-09-01,ASIA,10,S2,reject,short,29317.25,NO_BARS,
2026-09-01,LONDON,6,S1,reject,short,29123.25,FIRED,09-01 07:59
2026-09-01,LONDON,6,S2,reject,short,29138.0,NOT_FIRED,
2026-09-01,NY,5,S1,reject,short,29100.5,FIRED,09-01 13:15
2026-09-01,NY,5,S2,reject,short,29162.0,NOT_FIRED,
2026-09-01,NY,5,S3,sweep_reclaim,long,29082.75,FIRED,09-01 13:30
2026-09-02,ASIA,15,S1,reject,short,29113.9,NOT_FIRED,
2026-09-02,ASIA,15,S2,reject,short,29075.0,NOT_FIRED,
2026-09-02,LONDON,6,S1,reject,long,29014.42,NOT_FIRED,
2026-09-02,LONDON,6,S2,reject,long,29001.75,NOT_FIRED,
2026-09-02,LONDON,6,S3,sweep_reclaim,long,28927.25,NOT_FIRED,
2026-09-02,LONDON,6,S4,breakout_retest,long,29171.25,NOT_FIRED,
2026-09-02,NY,12,S1,sweep_reclaim,long,29050.13,NOT_FIRED,
2026-09-02,NY,12,S2,reclaim,long,29108.47,NOT_FIRED,
2026-09-02,NY,12,S3,reject,short,29166.8,FIRED,09-02 14:09
2026-09-03,ASIA,7,S1,breakout_retest,long,29643.5,NOT_FIRED,
2026-09-03,ASIA,7,S2,reclaim,long,29597.25,NOT_FIRED,
2026-09-03,ASIA,7,S3,sweep_reclaim,short,29643.5,NOT_FIRED,
2026-09-03,LONDON,2,S1,reject,short,29219.97,FIRED,09-03 08:18
2026-09-03,LONDON,2,S2,sweep_reclaim,short,29293.0,NOT_FIRED,
2026-09-03,LONDON,2,S3,sweep_reclaim,long,29075.0,NOT_FIRED,
2026-09-03,NY,7,S1,breakout_retest,long,29543.75,FIRED,09-03 11:58
2026-09-03,NY,7,S2,reclaim,long,29512.29,FIRED,09-03 11:38
2026-09-03,NY,7,S3,reject,short,29543.75,FIRED,09-03 11:58
2026-09-04,LONDON,3,S1,sweep_reclaim,short,29720.0,NOT_FIRED,
2026-09-04,LONDON,3,S2,reject,short,29503.38,NOT_FIRED,
2026-09-04,LONDON,3,S3,sweep_reclaim,long,29278.0,NOT_FIRED,
2026-09-04,NY,6,S1,reject,short,29579.56,NOT_FIRED,
2026-09-04,NY,6,S2,sweep_reclaim,short,29720.0,NOT_FIRED,
2026-09-04,NY,6,S3,sweep_reclaim,long,29144.5,NOT_FIRED,
